,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,17,36,15,1,31,26,27,25,22,0,85,3,3,6,3,91,0,3,0,6,88,3,0,0,9,39,2,0,59,0,100,0,0,0,0,97,0,0,3,0,83,9,3,3,2,81,6,5,3,5,81,6,2,2,9,29,3,0,68,0,100,0,0,0,0,91,0,0,3,6,83,17
1,Chernihivs'ka oblast,UA-74,24,44,6,6,20,33,31,13,23,0,100,0,0,0,0,87,0,0,13,0,42,0,0,58,0,100,0,0,0,0,93,0,7,0,0,100,0,0,0,0,100,0,0,0,0,77,0,6,5,12,38,0,0,62,0,100,0,0,0,0,87,0,13,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,24,33,13,2,28,28,31,29,12,0,96,4,0,0,0,92,4,0,4,0,92,4,4,0,0,52,0,0,0,48,100,0,0,0,0,100,0,0,0,0,89,8,0,3,0,89,0,0,4,7,89,0,4,7,0,46,1,0,0,53,92,0,0,4,4,89,11,0,0,0,92,8
3,Crimea,UA-43,22,35,16,1,26,35,36,29,0,0,100,0,0,0,0,45,0,0,55,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,33,20,1,27,35,30,32,3,0,87,0,8,4,1,93,1,2,2,2,96,0,0,1,3,98,0,1,1,0,96,0,2,0,2,98,1,0,1,0,87,0,3,0,10,89,5,2,2,2,90,3,0,2,5,97,1,1,1,0,95,0,3,0,2,96,1,0,1,2,99,1
5,Donetsk Oblast,UA-14,23,35,10,2,30,33,37,29,0,1,88,0,0,12,0,91,1,0,7,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,5,0,0,84,15,0,1,0,97,1,0,2,0,100,0,0,0,0,99,0,0,0,1,99,0,0,1,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,16,36,17,3,28,26,24,36,14,0,91,1,4,4,0,91,3,4,2,0,87,4,5,2,2,96,0,0,0,4,54,0,0,0,46,92,6,2,0,0,86,8,1,1,4,86,3,0,7,4,91,1,4,2,2,94,0,2,0,4,40,0,0,0,60,86,7,3,0,4,92,8
7,Kharkiv Oblast,UA-63,15,34,14,0,37,36,26,28,0,10,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,92,2,2,2,2,100,0,0,0,0,100,0,0,0,0,74,0,26,0,0,98,0,0,2,0,100,0,0,0,0,90,4,2,2,2,98,0,0,0,2,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,15,44,10,2,29,46,23,29,2,0,100,0,0,0,0,86,0,4,10,0,65,0,0,0,35,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,0,0,10,58,0,0,3,39,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,30,15,3,27,23,29,30,18,0,95,0,0,5,0,93,2,2,0,3,88,0,5,2,5,42,0,57,0,1,93,5,2,0,0,95,2,0,3,0,86,7,5,2,0,86,7,0,5,2,90,2,0,3,5,35,0,63,0,2,86,12,2,0,0,88,2,2,3,5,90,10
10,Kirovohrads'ka oblast,UA-35,19,35,21,0,25,26,33,33,8,0,82,4,5,5,4,86,0,14,0,0,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,44,0,0,56,0,90,0,0,5,5,79,4,4,0,13,95,0,0,0,5,90,0,10,0,0,90,0,0,10,0,36,0,2,60,2,95,5
11,Kyiv city,UA-30,17,33,15,4,31,16,15,19,50,0,96,0,1,1,2,96,0,0,3,1,96,1,1,2,0,96,0,4,0,0,100,0,0,0,0,99,0,0,0,1,85,14,0,0,1,95,0,3,0,2,96,1,1,2,0,91,1,6,2,0,97,1,0,0,2,98,0,0,0,2,80,20
12,Kyivs'ka oblast,UA-32,18,27,13,7,35,15,16,22,47,0,95,5,0,0,0,90,5,0,2,3,95,0,0,5,0,92,3,0,5,0,95,0,3,2,0,100,0,0,0,0,38,57,2,3,0,90,2,0,8,0,90,2,0,6,2,88,2,2,8,0,90,6,2,2,0,95,0,0,0,5,33,67
13,Luhans'ka oblast,UA-09,21,33,11,5,30,35,29,36,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,23,33,15,1,28,23,23,34,20,0,94,0,2,3,1,48,51,1,0,0,92,3,0,4,1,86,2,6,4,2,90,2,1,5,2,90,6,0,0,4,83,11,3,1,2,40,2,1,56,1,87,2,4,6,1,83,4,7,4,2,82,4,2,8,4,87,8,0,0,5,84,16
15,Mykolaivs'ka oblast,UA-48,18,29,15,3,35,35,30,24,11,0,84,16,0,0,0,68,0,32,0,0,84,0,0,0,16,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,80,0,5,15,0,58,0,0,0,42,84,0,0,0,16,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
16,Odessa Oblast,UA-51,20,32,18,3,27,29,33,38,0,0,77,22,1,0,0,88,0,1,11,0,99,1,0,0,0,99,0,1,0,0,99,0,1,0,0,99,0,0,1,0,68,0,1,30,1,94,1,3,0,2,94,0,3,3,0,97,0,3,0,0,97,0,3,0,0,97,0,1,2,0,99,1
17,Poltavs'ka oblast,UA-53,22,32,17,5,24,33,30,30,5,2,99,0,1,0,0,99,0,0,1,0,91,0,3,5,1,67,32,0,1,0,89,3,7,1,0,99,0,0,1,0,89,3,7,0,1,97,3,0,0,0,93,0,0,6,1,60,38,0,1,1,87,3,9,1,0,97,0,1,2,0,96,4
18,Rivnens'ka oblast,UA-56,23,29,20,1,27,23,29,31,17,0,89,0,7,4,0,89,11,0,0,0,92,0,4,4,0,96,0,4,0,0,26,2,0,72,0,96,4,0,0,0,72,19,3,0,6,77,6,0,17,0,96,0,0,4,0,96,0,4,0,0,22,3,0,74,1,92,4,4,0,0,77,23
19,Sevastopol' city,UA-40,7,41,25,0,27,43,31,26,0,0,100,0,0,0,0,5,0,0,95,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,20,33,7,7,33,34,22,35,9,0,100,0,0,0,0,100,0,0,0,0,90,0,0,10,0,95,5,0,0,0,65,0,35,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,0,10,0,95,5,0,0,0,54,2,44,0,0,95,0,0,0,5,100,0
21,Ternopil's'ka oblast,UA-61,20,37,11,3,29,34,24,28,14,0,94,0,2,0,4,88,8,2,2,0,98,0,0,0,2,96,0,0,0,4,91,0,0,4,5,43,55,0,2,0,89,5,2,2,2,84,0,4,10,2,94,0,0,4,2,94,0,2,0,4,89,0,0,4,7,36,61,0,2,1,89,11
22,Vinnyts'ka oblast,UA-05,23,36,12,4,25,29,30,26,14,1,93,1,0,6,0,94,0,5,1,0,53,46,1,0,0,97,1,0,2,0,94,5,1,0,0,99,0,0,0,1,87,8,4,1,0,88,6,0,2,4,42,0,58,0,0,97,1,0,2,0,94,5,1,0,0,99,0,0,0,1,88,12
23,Volyns'ka oblast,UA-07,17,33,14,7,29,27,21,35,15,2,86,3,7,4,0,83,7,7,3,0,96,0,0,4,0,89,3,8,0,0,77,3,0,17,3,35,0,1,0,64,70,6,6,12,6,75,3,0,9,13,86,7,0,7,0,89,3,8,0,0,75,3,0,19,3,31,0,1,0,68,89,11
24,Zakarpats'ka oblast,UA-21,32,30,20,1,17,29,21,39,11,0,100,0,0,0,0,93,7,0,0,0,97,0,0,1,2,98,0,2,0,0,100,0,0,0,0,63,0,37,0,0,97,1,2,0,0,93,0,0,7,0,95,0,0,3,2,97,2,1,0,0,98,2,0,0,0,56,0,43,0,1,97,3
25,Zaporiz'ka oblast,UA-23,21,32,17,2,28,27,30,40,3,0,79,0,3,3,15,97,0,0,3,0,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,87,7,0,3,3,72,3,20,2,3,97,0,0,0,3,97,0,3,0,0,97,3,0,0,0,100,0,0,0,0,93,7
26,Zhytomyrs'ka oblast,UA-18,10,49,10,1,30,31,21,20,28,0,100,0,0,0,0,94,0,3,3,0,88,9,3,0,0,97,0,3,0,0,50,48,1,1,0,91,3,3,0,3,88,12,0,0,0,97,0,0,0,3,88,0,12,0,0,94,0,6,0,0,39,58,2,1,0,91,3,3,0,3,85,15
