,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,18,38,14,3,27,31,29,27,13,0,96,3,0,1,0,97,0,0,3,0,92,2,3,2,1,41,0,0,59,0,97,1,2,0,0,99,0,0,1,0,87,6,1,6,0,96,1,0,3,0,94,0,3,2,1,32,0,0,67,1,97,1,2,0,0,97,0,0,3,0,92,8
1,Chernihivs'ka oblast,UA-74,23,35,13,2,27,30,29,16,25,0,100,0,0,0,0,100,0,0,0,0,48,0,1,51,0,100,0,0,0,0,90,0,10,0,0,100,0,0,0,0,98,0,2,0,0,95,0,5,0,0,45,0,0,55,0,98,2,0,0,0,90,0,10,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,27,30,11,5,27,27,36,29,8,0,98,0,0,0,2,96,0,0,4,0,98,0,0,0,2,54,0,1,0,45,98,0,0,0,2,98,2,0,0,0,100,0,0,0,0,94,0,4,0,2,96,0,2,0,2,46,0,1,0,53,96,2,0,0,2,98,2,0,0,0,96,4
3,Crimea,UA-43,19,34,18,1,28,28,42,30,0,0,100,0,0,0,0,55,0,0,45,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,35,18,3,24,34,32,31,3,0,83,1,13,2,1,97,2,1,0,0,97,1,1,0,1,98,2,0,0,0,97,3,0,0,0,99,0,0,1,0,80,0,3,1,16,93,2,2,3,0,97,0,2,0,1,97,2,1,0,0,96,3,0,1,0,99,0,0,1,0,99,1
5,Donetsk Oblast,UA-14,20,35,18,2,25,36,35,28,1,0,97,0,0,3,0,94,0,0,5,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,6,0,0,0,98,1,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,33,16,1,29,31,35,25,9,0,90,1,3,4,2,93,5,0,1,1,95,0,3,0,2,99,1,0,0,0,49,0,0,0,51,95,3,1,0,1,93,1,0,3,3,86,5,3,6,0,97,1,0,0,2,99,1,0,0,0,44,0,0,0,56,94,4,1,0,1,99,1
7,Kharkiv Oblast,UA-63,22,35,16,4,23,33,34,27,0,6,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,96,2,0,2,0,100,0,0,0,0,100,0,0,0,0,81,0,19,0,0,98,1,0,1,0,99,0,0,0,1,96,2,0,2,0,99,0,0,0,1,97,2,0,0,1,100,0
8,Khersons'ka oblast,UA-65,19,36,22,1,22,33,32,35,0,0,95,5,0,0,0,91,0,0,9,0,65,0,0,0,35,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,5,0,100,0,0,0,0,59,0,0,0,41,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,5
9,Khmel'nyts'ka oblast,UA-68,26,34,14,5,21,30,28,28,14,0,96,0,2,1,1,94,3,0,0,3,96,3,1,0,0,34,0,65,0,1,87,6,0,7,0,96,1,0,3,0,93,1,3,0,3,91,1,1,7,0,89,3,7,1,0,29,0,70,0,1,87,6,0,7,0,93,4,0,3,0,97,3
