,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,22,33,13,0,32,27,26,28,19,0,100,0,0,0,0,91,2,2,5,0,98,2,0,0,0,53,0,0,47,0,98,2,0,0,0,98,0,0,2,0,85,6,2,7,0,96,0,0,2,2,93,0,3,2,2,40,1,0,59,0,96,2,2,0,0,98,0,0,2,0,89,11
1,Chernihivs'ka oblast,UA-74,17,39,16,11,17,31,31,17,21,0,100,0,0,0,0,100,0,0,0,0,40,0,0,60,0,100,0,0,0,0,81,0,19,0,0,100,0,0,0,0,80,20,0,0,0,100,0,0,0,0,37,0,0,63,0,100,0,0,0,0,81,0,19,0,0,100,0,0,0,0,57,43
2,Chernivets'ka oblast,UA-77,23,29,23,5,20,24,27,33,16,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,60,1,0,0,39,97,0,0,3,0,95,5,0,0,0,97,3,0,0,0,100,0,0,0,0,95,0,0,5,0,52,1,0,0,47,89,0,0,6,5,95,5,0,0,0,97,3
3,Crimea,UA-43,18,37,20,1,24,32,31,37,0,0,100,0,0,0,0,48,0,0,52,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,33,17,2,27,32,35,28,5,0,79,0,17,0,4,91,4,1,4,0,96,1,1,0,2,100,0,0,0,0,98,0,1,0,1,98,0,1,0,1,79,0,0,0,21,87,1,4,7,1,94,0,1,2,3,99,1,0,0,0,93,0,1,3,3,97,0,2,0,1,99,1
5,Donetsk Oblast,UA-14,29,32,13,2,24,33,31,36,0,0,96,0,0,4,0,90,0,0,10,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,1,0,2,94,6,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,19,33,18,2,28,26,31,27,16,0,98,0,0,2,0,100,0,0,0,0,92,2,4,2,0,92,0,2,2,4,68,0,0,3,29,94,4,0,0,2,90,6,2,2,0,85,4,0,11,0,94,2,2,2,0,92,0,2,2,4,48,0,0,3,49,90,4,0,0,6,90,10
7,Kharkiv Oblast,UA-63,20,37,12,2,29,39,25,27,0,9,100,0,0,0,0,97,3,0,0,0,97,0,0,0,3,94,6,0,0,0,100,0,0,0,0,100,0,0,0,0,66,2,32,0,0,94,0,3,3,0,97,0,0,0,3,94,6,0,0,0,100,0,0,0,0,100,0,0,0,0,93,7
8,Khersons'ka oblast,UA-65,18,27,12,5,38,37,34,29,0,0,100,0,0,0,0,93,0,0,7,0,67,0,0,0,33,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,43,0,0,0,57,100,0,0,0,0,93,0,0,0,7,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,14,41,12,4,29,35,23,29,12,1,100,0,0,0,0,98,2,0,0,0,92,2,2,2,2,61,0,39,0,0,90,2,0,6,2,96,2,2,0,0,92,4,4,0,0,94,0,0,4,2,94,0,2,2,2,51,0,48,0,1,85,3,0,8,4,90,6,2,0,2,96,4
