date,location,generic_terms,geography,safe_places,travel
2023-01-06,sennar,0.0,0.0,0.0,0.0
2023-01-06,south darfur,0.0,0.0,0.0,0.0
2023-01-06,south kordofan,0.0,0.0,0.0,0.0
2023-01-06,west darfur,0.0,0.0,0.0,0.0
2023-01-06,west kordofan,0.0,0.0,0.0,0.0
2023-01-06,white nile,0.0,0.0,0.0,0.0
2023-01-07,al jazirah,0.0,0.0,0.0,0.0
2023-01-07,blue nile,0.0,0.0,0.0,0.0
2023-01-07,central darfur,0.0,0.0,0.0,0.0
2023-01-07,east darfur,0.0,0.0,0.0,0.0
2023-01-07,kassala,0.0,0.0,0.0,0.0
2023-01-07,khartoum,1.6666666666666667,3.333333333333333,4.071428571428571,2.636363636363636
2023-01-07,north darfur,0.0,0.0,0.0,0.0
2023-01-07,north kordofan,0.0,0.0,0.0,0.0
2023-01-07,northern,0.0,0.0,1.1428571428571428,0.0
2023-01-07,red sea,0.0,0.0,0.0,0.0
2023-01-07,river nile,0.0,0.0,0.0,0.0
2023-01-07,sennar,0.0,0.0,0.0,0.0
2023-01-07,south darfur,0.0,0.0,0.0,0.0
2023-01-07,south kordofan,0.0,0.0,0.0,0.0
2023-01-07,west darfur,0.0,0.0,0.0,0.0
2023-01-07,west kordofan,0.0,0.0,0.0,0.0
2023-01-07,white nile,0.0,0.0,0.0,0.0
2023-01-08,al jazirah,0.0,0.0,0.0,0.0
2023-01-08,blue nile,0.0,0.0,0.0,0.0
2023-01-08,central darfur,0.0,0.0,0.0,0.0
2023-01-08,east darfur,0.0,0.0,0.0,0.0
2023-01-08,kassala,0.0,0.0,0.0,0.0
2023-01-08,khartoum,1.0,1.3333333333333333,3.857142857142857,0.9090909090909092
2023-01-08,north darfur,0.0,0.0,0.0,0.0
2023-01-08,north kordofan,0.0,0.0,0.0,0.0
2023-01-08,northern,0.0,0.0,0.0,0.0
2023-01-08,red sea,0.0,17.666666666666668,2.7142857142857144,0.0
2023-01-08,river nile,0.0,0.0,0.0,0.0
2023-01-08,sennar,0.0,0.0,6.0,0.0
2023-01-08,south darfur,0.0,0.0,0.0,0.0
2023-01-08,south kordofan,0.0,0.0,0.0,0.0
2023-01-08,west darfur,0.0,0.0,0.0,0.0
2023-01-08,west kordofan,0.0,0.0,0.0,0.0
2023-01-08,white nile,0.0,0.0,0.0,0.0
2023-01-09,al jazirah,0.0,0.0,0.0,0.0
2023-01-09,blue nile,0.0,0.0,0.0,0.0
2023-01-09,central darfur,0.0,0.0,0.0,0.0
2023-01-09,east darfur,0.0,0.0,0.0,0.0
2023-01-09,kassala,0.0,0.0,0.0,0.0
2023-01-09,khartoum,3.6666666666666665,1.6666666666666667,4.642857142857143,0.7272727272727273
