date,location,anger,fear,sadness,disgust,joy,anger-disgust
2023-04-22,adet,18,1,67,0,287,53
2023-04-22,akon,30,9,56,2,89,31
2023-04-22,el suki,0,0,0,0,1,0
2023-04-22,itang,2,0,3,0,0,2
2023-04-22,jidad,1,0,1,0,0,1
2023-04-22,khartoum,1114,24,29,224,61,1212
2023-04-22,nyala,2,0,0,1,0,2
2023-04-22,raja,11,0,4,3,2,13
2023-04-22,umm badr,0,0,0,0,1,0
2023-04-22,yuai,0,0,0,0,1,0
2023-04-23,adet,26,0,104,0,494,36
2023-04-23,akon,16,10,54,2,95,23
2023-04-23,el suki,0,0,1,0,0,0
2023-04-23,itang,1,0,1,1,1,1
2023-04-23,khartoum,975,13,43,143,47,1041
2023-04-23,nyala,9,0,0,1,0,9
2023-04-23,raja,17,0,6,1,1,16
2023-04-23,yuai,1,0,0,0,0,1
2023-04-24,adet,18,1,94,0,279,44
2023-04-24,akon,15,5,27,0,59,15
2023-04-24,buram,0,0,0,0,1,0
2023-04-24,el suki,0,0,1,0,0,0
2023-04-24,khartoum,814,44,18,79,36,889
2023-04-24,nyala,2,0,0,1,0,2
2023-04-24,raja,14,0,1,1,10,19
2023-04-24,yuai,1,0,0,0,1,3
2023-04-25,adet,26,1,32,1,286,34
2023-04-25,akon,20,4,48,3,44,20
2023-04-25,el suki,0,0,0,0,0,0
2023-04-25,itang,1,0,1,1,1,1
2023-04-25,khartoum,699,11,46,101,134,758
2023-04-25,nyala,7,0,0,0,0,7
2023-04-25,raja,13,0,4,1,0,16
2023-04-25,yuai,1,0,0,0,0,1
2023-04-26,adet,102,0,53,1,524,54
2023-04-26,akon,34,11,82,0,91,37
2023-04-26,el suki,1,0,0,0,2,1
2023-04-26,khartoum,908,11,42,127,99,1009
2023-04-26,leer,0,0,0,0,0,0
2023-04-26,nyala,7,0,1,3,1,8
2023-04-26,raja,34,0,7,2,13,35
2023-04-26,yuai,1,0,0,0,0,2
2023-04-27,adet,152,1,54,2,723,107
2023-04-27,akon,42,5,78,4,79,45
2023-04-27,itang,0,0,0,0,1,0
2023-04-27,jidad,0,0,0,0,0,0
2023-04-27,khartoum,901,15,29,160,59,984
2023-04-27,nekemte,1,0,1,1,0,1
2023-04-27,nyala,5,0,0,1,1,13
2023-04-27,raja,13,0,3,1,4,14
2023-04-27,yuai,5,0,0,0,0,5
2023-04-28,adet,1,0,0,0,7,1
2023-04-28,akon,0,0,2,0,0,0
2023-04-28,khartoum,8,0,0,3,2,11
2023-04-29,adet,30,2,40,1,407,21
2023-04-29,akon,153,9,85,1,80,176
2023-04-29,botor,0,0,0,0,2,0
2023-04-29,el suki,0,0,0,0,0,0
2023-04-29,itang,1,0,1,1,3,1
2023-04-29,jidad,0,0,0,0,0,0
2023-04-29,khartoum,665,6,30,121,118,725
2023-04-29,leer,0,0,0,0,0,0
2023-04-29,nyala,10,0,0,2,0,10
2023-04-29,raja,24,0,4,3,0,26
2023-04-29,umm badr,0,0,0,0,0,0
2023-04-29,yuai,0,0,0,0,0,1
2023-04-30,adet,7,0,19,0,99,10
2023-04-30,akon,30,4,27,0,36,36
2023-04-30,el suki,0,0,0,0,0,0
2023-04-30,khartoum,256,4,60,27,13,278
2023-04-30,nyala,0,0,0,0,0,0
2023-04-30,raja,1,0,2,0,0,1
2023-04-30,yuai,0,0,0,0,0,0
2023-05-01,adet,19,0,7,0,99,16
2023-05-01,akon,14,2,27,1,29,14
2023-05-01,el suki,0,0,0,0,0,0
2023-05-01,jidad,0,0,0,0,0,0
2023-05-01,khartoum,146,0,3,27,22,160
2023-05-01,leer,0,0,0,0,0,0
2023-05-01,nyala,1,0,0,1,0,1
2023-05-01,raja,5,0,1,1,0,6
2023-05-01,umm badr,0,0,1,0,0,0
2023-05-01,yuai,0,0,0,0,0,0
2023-05-01,zalingei,0,0,0,0,0,0
2023-05-02,adet,1,0,2,0,13,1
2023-05-02,akon,15,1,11,0,4,16
2023-05-02,khartoum,16,0,1,3,3,17
2023-05-02,raja,4,0,3,1,1,4
2023-05-02,yuai,1,0,0,1,0,2
2023-05-04,adet,1,0,1,0,5,0
2023-05-04,akon,4,2,17,0,15,4
2023-05-04,khartoum,36,1,8,11,4,40
2023-05-04,nyala,3,0,0,0,0,4
2023-05-04,raja,4,0,1,0,1,4
2023-05-05,adet,11,0,21,1,67,10
2023-05-05,akon,20,1,15,0,26,21
2023-05-05,el suki,0,0,0,1,0,0
2023-05-05,khartoum,55,0,3,8,11,61
2023-05-05,raja,13,0,7,1,1,15
2023-05-05,umm badr,0,0,0,0,0,0
2023-05-05,zalingei,1,1,1,0,0,1
2023-05-06,adet,7,0,10,0,26,2
2023-05-06,akon,10,0,24,0,23,11
2023-05-06,khartoum,34,0,2,5,8,36
2023-05-06,nyala,0,0,0,0,0,0
2023-05-06,raja,5,0,0,1,1,6
2023-05-07,adet,4,0,8,1,18,3
