date,location,arriving_IDP,leaving_IDP,fatalities,event_count
2023-05-10,white nile,211164.0,0.0,0.0,0.0
2023-05-11,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-11,blue nile,4145.0,0.0,0.0,0.0
2023-05-11,central darfur,90280.0,90280.0,0.0,0.0
2023-05-11,east darfur,7000.0,0.0,0.0,0.0
2023-05-11,gedaref,42240.0,0.0,0.0,0.0
2023-05-11,kassala,29170.0,0.0,0.0,0.0
2023-05-11,khartoum,19585.0,937282.0,0.0,0.0
2023-05-11,north darfur,29300.0,24350.0,0.0,0.0
2023-05-11,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-11,northern,188055.0,0.0,0.0,0.0
2023-05-11,red sea,22817.0,0.0,0.0,0.0
2023-05-11,river nile,186115.0,0.0,0.0,0.0
2023-05-11,sennar,120725.0,0.0,0.0,0.0
2023-05-11,south darfur,89820.0,96910.0,0.0,0.0
2023-05-11,south kordofan,9179.0,0.0,0.0,0.0
2023-05-11,west darfur,273220.0,277020.0,0.0,0.0
2023-05-11,west kordofan,686.0,0.0,0.0,0.0
2023-05-11,white nile,211164.0,0.0,0.0,0.0
2023-05-12,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-12,blue nile,4145.0,0.0,0.0,0.0
2023-05-12,central darfur,90280.0,90280.0,0.0,0.0
2023-05-12,east darfur,7000.0,0.0,0.0,0.0
2023-05-12,gedaref,42240.0,0.0,1.0,1.0
2023-05-12,kassala,29170.0,0.0,0.0,0.0
2023-05-12,khartoum,19585.0,937282.0,0.0,0.0
2023-05-12,north darfur,29300.0,24350.0,0.0,0.0
2023-05-12,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-12,northern,188055.0,0.0,0.0,0.0
2023-05-12,red sea,22817.0,0.0,0.0,0.0
2023-05-12,river nile,186115.0,0.0,0.0,0.0
2023-05-12,sennar,120725.0,0.0,0.0,0.0
2023-05-12,south darfur,89820.0,96910.0,0.0,0.0
2023-05-12,south kordofan,9179.0,0.0,0.0,0.0
2023-05-12,west darfur,273220.0,277020.0,0.0,0.0
2023-05-12,west kordofan,686.0,0.0,0.0,0.0
2023-05-12,white nile,211164.0,0.0,0.0,0.0
2023-05-13,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-13,blue nile,4145.0,0.0,0.0,0.0
2023-05-13,central darfur,90280.0,90280.0,0.0,0.0
2023-05-13,east darfur,7000.0,0.0,0.0,0.0
2023-05-13,gedaref,42240.0,0.0,0.0,0.0
2023-05-13,kassala,29170.0,0.0,0.0,0.0
2023-05-13,khartoum,19585.0,937282.0,14.0,1.0
2023-05-13,north darfur,29300.0,24350.0,0.0,0.0
2023-05-13,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-13,northern,188055.0,0.0,0.0,0.0
2023-05-13,red sea,22817.0,0.0,0.0,0.0
2023-05-13,river nile,186115.0,0.0,0.0,0.0
2023-05-13,sennar,120725.0,0.0,0.0,0.0
2023-05-13,south darfur,89820.0,96910.0,0.0,0.0
2023-05-13,south kordofan,9179.0,0.0,0.0,0.0
2023-05-13,west darfur,273220.0,277020.0,0.0,0.0
2023-05-13,west kordofan,686.0,0.0,0.0,0.0
2023-05-13,white nile,211164.0,0.0,0.0,0.0
2023-05-14,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-14,blue nile,4145.0,0.0,0.0,0.0
2023-05-14,central darfur,90280.0,90280.0,0.0,0.0
2023-05-14,east darfur,7000.0,0.0,0.0,0.0
2023-05-14,gedaref,42240.0,0.0,0.0,0.0
2023-05-14,kassala,29170.0,0.0,0.0,0.0
2023-05-14,khartoum,19585.0,937282.0,2.0,11.0
2023-05-14,north darfur,29300.0,24350.0,0.0,0.0
2023-05-14,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-14,northern,188055.0,0.0,0.0,0.0
2023-05-14,red sea,22817.0,0.0,0.0,0.0
2023-05-14,river nile,186115.0,0.0,0.0,0.0
2023-05-14,sennar,120725.0,0.0,0.0,0.0
2023-05-14,south darfur,89820.0,96910.0,0.0,0.0
2023-05-14,south kordofan,9179.0,0.0,0.0,0.0
2023-05-14,west darfur,273220.0,277020.0,0.0,0.0
2023-05-14,west kordofan,686.0,0.0,0.0,0.0
2023-05-14,white nile,211164.0,0.0,0.0,0.0
2023-05-15,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-15,blue nile,4145.0,0.0,0.0,0.0
2023-05-15,central darfur,90280.0,90280.0,0.0,0.0
2023-05-15,east darfur,7000.0,0.0,0.0,0.0
2023-05-15,gedaref,42240.0,0.0,0.0,0.0
2023-05-15,kassala,29170.0,0.0,0.0,0.0
2023-05-15,khartoum,19585.0,937282.0,0.0,1.0
2023-05-15,north darfur,29300.0,24350.0,0.0,0.0
2023-05-15,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-15,northern,188055.0,0.0,0.0,0.0
2023-05-15,red sea,22817.0,0.0,0.0,0.0
2023-05-15,river nile,186115.0,0.0,0.0,0.0
2023-05-15,sennar,120725.0,0.0,0.0,0.0
2023-05-15,south darfur,89820.0,96910.0,0.0,0.0
2023-05-15,south kordofan,9179.0,0.0,0.0,0.0
2023-05-15,west darfur,273220.0,277020.0,0.0,0.0
2023-05-15,west kordofan,686.0,0.0,0.0,0.0
2023-05-15,white nile,211164.0,0.0,0.0,0.0
