location,Y,X(s),covariate num.,r^2,offset
blue nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
blue nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
blue nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9435953000201295,1
blue nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
blue nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.19744164997689095,2
blue nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
blue nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.23661758757390605,3
blue nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9644461904998332,-4
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9685972241872272,-4
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-3
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-3
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-2
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-2
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,1
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,1
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,2
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,2
central darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9644461904998332,3
central darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9685972241872272,3
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3024277162337441,-4
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04469429064568131,-3
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.17403653258369145,-2
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.002395820416414174,-1
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.002395820416414174,0
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.17403653258369145,1
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04469429064568131,2
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
kassala,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3024277162337441,3
kassala,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7904910484280254,-4
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6913980990533483,-4
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9653795656476077,-3
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.8589517016186016,-3
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-2
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-2
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,-1
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,0
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,1
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.0,1
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.9653795656476077,2
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.8589517016186016,2
khartoum,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7904910484280254,3
khartoum,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.6913980990533483,3
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.4118130159032445,-4
north darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3854836854714728,-4
north darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7906837420473599,-3
