date,location,arriving_IDP,leaving_IDP,anger,fear,sadness,disgust,joy,anger-disgust
2023-05-05,northern,188055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,red sea,22817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,river nile,186115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,sennar,120725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,south darfur,89820.0,96910.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,south kordofan,9179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,south sudan,2458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,sudan,0.0,2458.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,west darfur,273220.0,277020.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,west kordofan,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05,white nile,211164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06,south sudan,2710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-06,sudan,0.0,2710.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07,south sudan,2516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-07,sudan,0.0,2516.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08,south sudan,2332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08,sudan,0.0,2332.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-09,south sudan,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-09,sudan,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-10,south sudan,2665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-10,sudan,0.0,2665.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-11,south sudan,1488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-11,sudan,0.0,1488.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,aj jazirah,59175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,blue nile,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,central darfur,1780.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,gedaref,5870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,kassala,1695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,khartoum,26845.0,607075.0,349.0,0.0,5.0,52.0,17.0,363.0
2023-05-12,north darfur,24300.0,18770.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,north kordofan,20930.0,8040.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,northern,112510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,red sea,14925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,river nile,116445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,sennar,41635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,south darfur,45490.0,47100.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,south kordofan,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,south sudan,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,sudan,0.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,west darfur,156565.0,160365.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12,white nile,212265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-13,south sudan,1589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-13,sudan,0.0,1589.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-14,south sudan,1728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-14,sudan,0.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,south sudan,1804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,sudan,0.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-16,south sudan,1691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-16,sudan,0.0,1691.0,0.0,0.0,0.0,0.0,0.0,0.0
