date,ISO,topic,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,وثائق,قنصلية
2021-03-01,IL,safe_places,56,2,0,0,6,1.0,0.25,0.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,29.0
2021-04-01,IL,safe_places,71,2,0,0,8,1.476923076923077,0.0,0.0,0.24615384615384617,0.0,0.15042735042735042,0.28717948717948716,0.0,0.0,0.0,0.0,0.0
2021-05-01,IL,safe_places,48,1,0,0,5,0.5681818181818181,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,45.0,16.0,0.0
2021-06-01,IL,safe_places,51,2,0,0,6,1.125,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,88.0,0.0,38.0
2021-07-01,IL,safe_places,41,2,0,0,6,0.84,0.36,0.0,0.12,0.0,0.09818181818181818,0.16363636363636364,0.0,0.0,38.0,0.0,0.0
2021-08-01,IL,safe_places,48,2,0,0,7,0.7241379310344828,0.0,0.0,0.1206896551724138,0.0,0.12068965517241378,0.13275862068965516,0.0,0.0,41.0,0.0,0.0
2021-09-01,IL,safe_places,68,3,0,0,9,1.337837837837838,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,80.0,0.0,0.0
2021-10-01,IL,safe_places,72,2,0,0,9,0.935064935064935,0.0,0.0,0.23376623376623376,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
2021-11-01,IL,safe_places,72,3,0,0,12,1.68,0.12,0.0,0.0,0.0,21.0,0.0,0.0,0.0,56.0,0.0,0.0
2021-12-01,IL,safe_places,71,3,0,0,9,1.2692307692307694,0.23076923076923078,0.0,0.46153846153846156,0.0,0.20512820512820515,0.15384615384615385,0.0,0.0,20.0,15.0,0.0
2022-01-01,IL,safe_places,59,3,0,0,7,0.7903225806451613,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,66.0,24.0,0.0
2022-02-01,IL,safe_places,65,3,0,0,9,2.095890410958904,0.0,0.0,0.2465753424657534,0.0,0.217566478646253,0.2610797743755036,0.0,0.0,66.0,0.0,0.0
2022-03-01,IL,safe_places,68,2,0,0,9,1.2,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,61.0,11.0,15.0
2022-04-01,IL,safe_places,69,2,0,0,7,1.1666666666666667,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,70.0,0.0,0.0
2022-05-01,IL,safe_places,50,2,0,0,11,0.9166666666666666,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,100.0,0.0,0.0
2022-06-01,IL,safe_places,54,2,0,0,8,0.9552238805970149,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,82.0,0.0,15.0
