date,ISO,topic,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة
2020-09-01,SY,travel,0,0,0,0,24,0.0,108.0,12.0,0.0,51.0,47.0,0.0,0.0,26.0,0.0,63.0,0.0,71.0,20.0
2020-10-01,SY,travel,0,0,0,0,30,0.0,120.0,8.571428571428571,0.0,40.0,47.0,0.0,0.0,46.0,0.0,92.0,0.0,99.0,12.0
2020-11-01,SY,travel,0,0,0,0,29,0.0,103.57142857142858,16.571428571428573,0.0,42.0,50.0,0.0,0.0,35.0,0.0,60.0,0.0,84.0,21.0
2020-12-01,SY,travel,0,13,0,0,22,0.0,118.80000000000001,22.0,0.0,38.0,50.0,0.0,0.0,23.0,0.0,47.0,0.0,85.0,13.0
2021-01-01,SY,travel,0,0,0,0,31,0.0,85.25,19.375,0.0,32.0,58.0,0.0,0.0,34.0,0.0,80.0,0.0,82.0,22.0
2021-02-01,SY,travel,0,8,0,0,0,0.0,29.0,5.0,0.0,46.0,46.0,0.0,0.0,28.0,0.0,58.0,0.0,100.0,9.0
2021-03-01,SY,travel,0,0,0,0,24,0.0,88.0,32.0,0.0,37.0,64.0,0.0,0.0,20.0,0.0,22.0,0.0,77.0,17.0
2021-04-01,SY,travel,0,5,0,0,18,0.0,360.0,18.0,0.0,21.0,67.0,0.0,0.0,17.0,0.0,69.0,0.0,60.0,7.0
2021-05-01,SY,travel,0,0,0,0,25,0.0,150.0,20.833333333333336,0.0,46.0,56.0,0.0,0.0,15.0,0.0,59.0,0.0,81.0,15.0
2021-06-01,SY,travel,0,0,0,0,33,0.0,127.875,8.25,0.0,46.0,59.0,0.0,0.0,13.0,0.0,58.0,0.0,75.0,23.0
2021-07-01,SY,travel,0,19,0,0,28,0.0,108.0,8.0,0.0,40.0,50.0,0.0,0.0,31.0,0.0,44.0,0.0,52.0,19.0
2021-08-01,SY,travel,0,8,0,0,21,0.0,151.20000000000002,0.0,0.0,42.0,48.0,0.0,0.0,39.0,0.0,68.0,0.0,56.0,22.0
2021-09-01,SY,travel,0,9,0,0,13,0.0,95.33333333333333,13.0,0.0,39.0,49.0,0.0,0.0,42.0,0.0,40.0,0.0,56.0,17.0
2021-10-01,SY,travel,0,9,0,0,42,0.0,103.0909090909091,11.454545454545455,0.0,39.0,55.0,0.0,0.0,21.0,0.0,72.0,0.0,60.0,25.0
2021-11-01,SY,travel,0,0,0,0,30,0.0,93.75,18.75,0.0,33.0,47.0,0.0,0.0,17.0,0.0,75.0,0.0,54.0,19.0
2021-12-01,SY,travel,0,0,0,0,23,0.0,99.66666666666667,15.333333333333334,0.0,36.0,57.0,0.0,0.0,11.0,0.0,49.0,0.0,39.0,11.0
2022-01-01,SY,travel,0,7,0,0,21,0.0,256.2,16.8,0.0,21.0,55.0,0.0,0.0,34.0,0.0,46.0,0.0,73.0,27.0
2022-02-01,SY,travel,0,12,0,0,18,0.0,190.8,10.8,0.0,35.0,65.0,0.0,0.0,27.0,0.0,52.0,0.0,66.0,19.0
2022-03-01,SY,travel,0,6,0,0,24,0.0,164.0,20.0,0.0,29.0,61.0,0.0,0.0,33.0,0.0,56.0,0.0,56.0,17.0
2022-04-01,SY,travel,0,17,0,0,16,0.0,140.0,20.0,0.0,21.0,100.0,0.0,0.0,28.0,0.0,72.0,0.0,51.0,20.0
2022-05-01,SY,travel,0,13,0,0,25,0.0,95.83333333333334,25.0,0.0,42.0,62.0,0.0,0.0,23.0,0.0,50.0,0.0,49.0,10.0
2022-06-01,SY,travel,0,0,0,0,7,0.0,168.0,10.5,0.0,31.0,71.0,0.0,0.0,50.0,0.0,66.0,0.0,41.0,17.0
2022-07-01,SY,travel,0,5,0,0,26,0.0,104.0,11.142857142857142,0.0,41.0,64.0,0.0,0.0,34.0,0.0,50.0,0.0,46.0,19.0
2022-08-01,SY,travel,0,0,0,0,5,0.0,180.0,15.0,0.0,33.0,55.0,0.0,0.0,46.0,0.0,59.0,0.0,51.0,19.0
2022-09-01,SY,travel,0,8,0,0,100,0.0,176.0,20.0,0.0,39.0,61.0,0.0,0.0,55.0,0.0,71.0,0.0,42.0,16.0
2022-10-01,SY,travel,0,5,0,0,33,0.0,239.25,16.5,0.0,36.0,55.0,0.0,0.0,34.0,0.0,64.0,0.0,49.0,17.0
2022-11-01,SY,travel,0,12,0,0,14,0.0,149.33333333333334,9.333333333333334,0.0,31.0,50.0,0.0,0.0,59.0,0.0,46.0,0.0,40.0,11.0
2022-12-01,SY,travel,0,10,0,0,30,0.0,198.75,11.25,0.0,27.0,63.0,0.0,0.0,46.0,0.0,48.0,0.0,35.0,16.0
2023-01-01,SY,travel,0,10,0,0,14,0.0,171.5,10.5,0.0,27.0,64.0,0.0,0.0,40.0,0.0,52.0,0.0,56.0,29.0
2023-02-01,SY,travel,0,8,0,0,12,0.0,128.0,0.0,0.0,29.0,72.0,0.0,0.0,30.0,0.0,44.0,0.0,46.0,21.0
2023-03-01,SY,travel,0,0,0,0,17,0.0,140.25,21.25,0.0,18.0,83.0,0.0,0.0,36.0,0.0,48.0,0.0,43.0,19.0
2023-04-01,SY,travel,0,9,0,0,9,0.0,121.5,27.0,0.0,25.0,88.0,0.0,0.0,21.0,0.0,62.0,0.0,47.0,14.0
2023-05-01,SY,travel,0,5,0,0,11,0.0,110.0,0.0,0.0,30.0,68.0,0.0,0.0,48.0,0.0,60.0,0.0,41.0,18.0
