date,ISO,topic,السكن,مكان السكن,الطريق إلى,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,ليئارسإيف لزانم,نانبليف لزانم,ندرألايف لزانم,قارعلايف لزانم,ايكرتيف لزانم
2019-11-01,SY,geography,36,0,0,0,56,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,SY,geography,24,0,0,0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,SY,geography,18,0,0,0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,SY,geography,18,0,4,0,75,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,SY,geography,23,0,0,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,SY,geography,14,0,4,0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,SY,geography,20,0,4,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,SY,geography,26,0,7,0,79,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,SY,geography,9,0,10,0,83,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,SY,geography,18,0,4,0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,SY,geography,32,0,9,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,SY,geography,37,0,4,0,100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,SY,geography,28,0,5,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,SY,geography,41,0,6,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,SY,geography,23,0,0,0,63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,SY,geography,34,0,6,0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,SY,geography,27,0,5,0,57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,SY,geography,22,0,5,0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,SY,geography,22,0,0,0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,SY,geography,32,0,7,0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,SY,geography,34,0,6,0,81,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,SY,geography,37,0,4,0,80,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,SY,geography,30,0,0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,SY,geography,28,0,2,0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,SY,geography,29,0,0,0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,SY,geography,25,0,0,0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,SY,geography,33,0,0,0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,SY,geography,25,0,0,0,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,SY,geography,24,0,4,0,72,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,SY,geography,28,0,0,0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,SY,geography,27,0,4,0,76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,SY,geography,19,0,0,0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,SY,geography,25,0,8,0,82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,SY,geography,16,0,6,0,85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,SY,geography,33,0,6,0,95,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,SY,geography,34,0,3,0,86,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,SY,geography,29,0,3,0,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,SY,geography,34,0,4,0,70,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,SY,geography,27,0,6,0,79,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,SY,geography,24,0,4,0,93,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,SY,geography,19,0,5,0,72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,SY,geography,23,0,0,0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,SY,geography,26,0,5,0,89,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
