date,ISO,topic,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ
2022-06-01,SY,safe_places,48,3,0,0,6,1.434782608695652,0.13043478260869565,0.13043478260869565,0.13043478260869565
2022-07-01,SY,safe_places,41,3,0,0,6,1.4814814814814814,0.14814814814814814,0.14814814814814814,0.2222222222222222
2022-08-01,SY,safe_places,46,3,0,0,6,1.0909090909090908,0.13636363636363635,0.0,0.20454545454545453
2022-09-01,SY,safe_places,49,3,0,0,7,1.09375,0.0,0.0,0.14583333333333334
2022-10-01,SY,safe_places,59,3,0,0,6,2.025,0.075,0.0,0.0
2022-11-01,SY,safe_places,48,3,0,0,6,1.3411764705882352,0.2823529411764706,0.07058823529411765,0.1411764705882353
2022-12-01,SY,safe_places,51,3,0,0,6,1.170731707317073,0.2195121951219512,0.0,0.0
2023-01-01,SY,safe_places,46,3,0,0,6,1.5862068965517242,0.0,0.0,0.20689655172413793
2023-02-01,SY,safe_places,42,3,0,0,6,1.975609756097561,0.4390243902439024,0.2926829268292683,0.2195121951219512
2023-03-01,SY,safe_places,51,2,0,0,6,1.9518072289156625,0.21686746987951805,0.14457831325301204,0.0
2023-04-01,SY,safe_places,55,2,0,0,6,1.0434782608695652,0.13043478260869565,0.0,0.19565217391304346
2023-05-01,SY,safe_places,46,3,0,0,6,1.1724137931034482,0.06896551724137931,0.0,0.0
