date,ISO,topic,السكن,مكان السكن,منطقة آمنة,حدود,اجتياز,السكن1,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,منازل في إسرائيل,فتح معبر حدودي2,منازل في لبنان,منازل في الأردن,منازل في العراق,منازل في تركيا,فتح معبر حدودي3,الطريق إلى إسرائيل,الطريق إلى لبنان,الطريق إلى الأردن,الطريق إلى العراق,فتح معبر حدودي4,الطريق إلى تركيا,منازل في فلسطين,منازل في سوريا,منازل في مصر,فتح معبر حدودي5,الطريق إلى فلسطين,الطريق إلى سوريا,الطريق إلى مصر,منازل في السعودية,فتح معبر حدودي6,الطريق إلى السعودية,منازل في الكويت,الطريق إلى الكويت,منازل في الإمارات العربية المتحدة,فتح معبر حدودي7,منازل في اليمن,الطريق إلى الإمارات العربية المتحدة,الطريق إلى اليمن,منازل في عمان,فتح معبر حدودي8,الطريق إلى عمان,منازل في الصحراء الغربية,منازل في الجزائر,الطريق إلى الصحراء الغربية,فتح معبر حدودي9,الطريق إلى الجزائر,منازل في مالي,منازل في موريتانيا,منازل في النيجر,فتح معبر حدودي10,منازل في تونس,منازل في المغرب,منازل في ليبيا,الطريق إلى مالي,فتح معبر حدودي11,الطريق إلى موريتانيا,الطريق إلى النيجر,الطريق إلى تونس,الطريق إلى المغرب,فتح معبر حدودي12,الطريق إلى ليبيا,منازل في السنغال,الطريق إلى السنغال,منازل في السودان,فتح معبر حدودي13,منازل في تشاد,الطريق إلى السودان,الطريق إلى تشاد,منازل في الكاميرون,فتح معبر حدودي14,منازل في جمهورية أفريقيا الوسطى,الطريق إلى الكاميرون,الطريق إلى جمهورية أفريقيا الوسطى,منازل في إثيوبيا,فتح معبر حدودي15,منازل في جيبوتي,الطريق إلى إثيوبيا,الطريق إلى جيبوتي
2019-02-01,EG,geography,7,0,0,54,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,EG,geography,8,0,0,51,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,EG,geography,7,0,0,52,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,EG,geography,7,1,0,55,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-01,EG,geography,9,0,0,54,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,EG,geography,11,0,0,60,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,EG,geography,17,0,0,56,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,EG,geography,17,0,0,62,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,EG,geography,14,1,0,65,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,EG,geography,10,0,0,52,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,EG,geography,9,0,0,58,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,EG,geography,9,0,0,69,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,EG,geography,9,0,0,55,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,EG,geography,6,0,0,59,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
