date,ISO,topic,search_count
2023-01-01,Kassala,safe_places,0.0
2023-01-02,Kassala,safe_places,0.0
2023-01-03,Kassala,safe_places,0.0
2023-01-04,Kassala,safe_places,0.0
2023-01-05,Kassala,safe_places,0.0
2023-01-06,Kassala,safe_places,0.0
2023-01-07,Kassala,safe_places,0.0
2023-01-08,Kassala,safe_places,0.0
2023-01-09,Kassala,safe_places,0.0
2023-01-10,Kassala,safe_places,0.0
2023-01-11,Kassala,safe_places,0.0
2023-01-12,Kassala,safe_places,0.0
2023-01-13,Kassala,safe_places,0.0
2023-01-14,Kassala,safe_places,0.0
2023-01-15,Kassala,safe_places,0.0
2023-01-16,Kassala,safe_places,0.0
2023-01-17,Kassala,safe_places,0.0
2023-01-18,Kassala,safe_places,0.0
2023-01-19,Kassala,safe_places,0.0
2023-01-20,Kassala,safe_places,0.0
2023-01-21,Kassala,safe_places,0.0
2023-01-22,Kassala,safe_places,0.0
2023-01-23,Kassala,safe_places,0.0
2023-01-24,Kassala,safe_places,0.0
2023-01-25,Kassala,safe_places,0.0
2023-01-26,Kassala,safe_places,0.0
2023-01-27,Kassala,safe_places,0.0
2023-01-28,Kassala,safe_places,0.0
2023-01-29,Kassala,safe_places,0.0
2023-01-30,Kassala,safe_places,0.0
2023-01-31,Kassala,safe_places,0.0
2023-02-01,Kassala,safe_places,0.0
2023-02-02,Kassala,safe_places,0.0
2023-02-03,Kassala,safe_places,0.0
2023-02-04,Kassala,safe_places,0.0
2023-02-05,Kassala,safe_places,0.0
2023-02-06,Kassala,safe_places,0.0
2023-02-07,Kassala,safe_places,0.0
2023-02-08,Kassala,safe_places,0.0
2023-02-09,Kassala,safe_places,0.0
2023-02-10,Kassala,safe_places,0.0
2023-02-11,Kassala,safe_places,0.0
2023-02-12,Kassala,safe_places,7.142857142857143
2023-02-13,Kassala,safe_places,0.0
2023-02-14,Kassala,safe_places,7.142857142857143
2023-02-15,Kassala,safe_places,0.0
2023-02-16,Kassala,safe_places,0.0
2023-02-17,Kassala,safe_places,0.0
2023-02-18,Kassala,safe_places,0.0
2023-02-19,Kassala,safe_places,0.0
2023-02-20,Kassala,safe_places,0.0
2023-02-21,Kassala,safe_places,0.0
2023-02-22,Kassala,safe_places,0.0
2023-02-23,Kassala,safe_places,0.0
2023-02-24,Kassala,safe_places,0.0
2023-02-25,Kassala,safe_places,3.0714285714285716
2023-02-26,Kassala,safe_places,0.0
2023-02-27,Kassala,safe_places,0.0
2023-02-28,Kassala,safe_places,0.0
2023-03-01,Kassala,safe_places,0.0
2023-03-02,Kassala,safe_places,0.0
2023-03-03,Kassala,safe_places,0.0
