date,location,search_count
2023-06-18,Al Jazirah,0.0
2023-06-19,Al Jazirah,0.0
2023-06-20,Al Jazirah,0.0
2023-06-21,Al Jazirah,0.0
2023-06-22,Al Jazirah,0.0
2023-06-23,Al Jazirah,0.0
2023-06-24,Al Jazirah,0.0
2023-06-25,Al Jazirah,0.0
2023-06-26,Al Jazirah,0.0
2023-06-27,Al Jazirah,0.0
2023-06-28,Al Jazirah,0.0
2023-06-29,Al Jazirah,0.0
2023-06-30,Al Jazirah,0.0
2023-07-01,Al Jazirah,0.0
2023-07-02,Al Jazirah,0.0
2023-07-03,Al Jazirah,0.0
2023-07-04,Al Jazirah,0.0
2023-07-05,Al Jazirah,0.0
2023-07-06,Al Jazirah,0.0
2023-07-07,Al Jazirah,0.0
2023-07-08,Al Jazirah,0.0
2023-07-09,Al Jazirah,0.0
2023-07-10,Al Jazirah,0.0
2023-07-11,Al Jazirah,0.0
2023-07-12,Al Jazirah,0.0
2023-07-13,Al Jazirah,0.0
2023-07-14,Al Jazirah,0.0
2023-07-15,Al Jazirah,0.0
2023-07-16,Al Jazirah,0.0
2023-07-17,Al Jazirah,0.0
2023-07-18,Al Jazirah,0.0
2023-07-19,Al Jazirah,0.0
2023-07-20,Al Jazirah,61.0
2023-07-21,Al Jazirah,0.0
2023-07-22,Al Jazirah,58.0
2023-07-23,Al Jazirah,80.0
2023-01-01,Blue Nile,0.0
2023-01-02,Blue Nile,0.0
2023-01-03,Blue Nile,0.0
2023-01-04,Blue Nile,0.0
2023-01-05,Blue Nile,0.0
2023-01-06,Blue Nile,0.0
2023-01-07,Blue Nile,0.0
2023-01-08,Blue Nile,0.0
2023-01-09,Blue Nile,0.0
2023-01-10,Blue Nile,0.0
2023-01-11,Blue Nile,0.0
2023-01-12,Blue Nile,0.0
2023-01-13,Blue Nile,0.0
2023-01-14,Blue Nile,0.0
2023-01-15,Blue Nile,0.0
2023-01-16,Blue Nile,0.0
2023-01-17,Blue Nile,0.0
2023-01-18,Blue Nile,0.0
2023-01-19,Blue Nile,0.0
2023-01-20,Blue Nile,0.0
2023-01-21,Blue Nile,0.0
2023-01-22,Blue Nile,0.0
2023-01-23,Blue Nile,0.0
2023-01-24,Blue Nile,0.0
2023-01-25,Blue Nile,0.0
2023-01-26,Blue Nile,0.0
2023-01-27,Blue Nile,0.0
2023-01-28,Blue Nile,0.0
2023-01-29,Blue Nile,0.0
2023-01-30,Blue Nile,0.0
2023-01-31,Blue Nile,0.0
2023-02-01,Blue Nile,0.0
2023-02-02,Blue Nile,0.0
2023-02-03,Blue Nile,0.0
2023-02-04,Blue Nile,0.0
2023-02-05,Blue Nile,0.0
2023-02-06,Blue Nile,0.0
2023-02-07,Blue Nile,0.0
2023-02-08,Blue Nile,0.0
2023-02-09,Blue Nile,0.0
2023-02-10,Blue Nile,0.0
2023-02-11,Blue Nile,0.0
2023-02-12,Blue Nile,0.0
2023-02-13,Blue Nile,0.0
2023-02-14,Blue Nile,0.0
2023-02-15,Blue Nile,0.0
2023-02-16,Blue Nile,0.0
2023-02-17,Blue Nile,0.0
2023-02-18,Blue Nile,0.0
2023-02-19,Blue Nile,0.0
2023-02-20,Blue Nile,0.0
2023-02-21,Blue Nile,0.0
2023-02-22,Blue Nile,0.0
2023-02-23,Blue Nile,0.0
2023-02-24,Blue Nile,0.0
2023-02-25,Blue Nile,0.0
2023-02-26,Blue Nile,0.0
2023-02-27,Blue Nile,0.0
2023-02-28,Blue Nile,0.0
2023-03-01,Blue Nile,0.0
2023-03-02,Blue Nile,0.0
2023-03-03,Blue Nile,0.0
2023-03-04,Blue Nile,0.0
2023-03-05,Blue Nile,0.0
2023-03-06,Blue Nile,0.0
2023-03-07,Blue Nile,0.0
2023-03-08,Blue Nile,0.0
2023-03-09,Blue Nile,0.0
2023-03-10,Blue Nile,0.0
2023-03-11,Blue Nile,0.0
2023-03-12,Blue Nile,0.0
2023-03-13,Blue Nile,0.0
2023-03-14,Blue Nile,0.0
2023-03-15,Blue Nile,0.0
2023-03-16,Blue Nile,0.0
2023-03-17,Blue Nile,0.0
2023-03-18,Blue Nile,0.0
2023-03-19,Blue Nile,0.0
2023-03-20,Blue Nile,0.0
2023-03-21,Blue Nile,0.0
2023-03-22,Blue Nile,0.0
2023-03-23,Blue Nile,0.0
2023-03-24,Blue Nile,0.0
2023-03-25,Blue Nile,0.0
2023-03-26,Blue Nile,0.0
2023-03-27,Blue Nile,0.0
2023-03-28,Blue Nile,0.0
2023-03-29,Blue Nile,0.0
2023-03-30,Blue Nile,0.0
2023-03-31,Blue Nile,0.0
2023-04-01,Blue Nile,0.0
2023-04-02,Blue Nile,0.0
2023-04-03,Blue Nile,0.0
2023-04-04,Blue Nile,0.0
2023-04-05,Blue Nile,0.0
2023-04-06,Blue Nile,0.0
2023-04-07,Blue Nile,0.0
2023-04-08,Blue Nile,0.0
2023-04-09,Blue Nile,0.0
2023-04-10,Blue Nile,0.0
2023-04-11,Blue Nile,0.0
2023-04-12,Blue Nile,0.0
2023-04-13,Blue Nile,0.0
2023-04-14,Blue Nile,0.0
2023-04-15,Blue Nile,0.0
2023-04-16,Blue Nile,0.0
2023-04-17,Blue Nile,0.0
2023-04-18,Blue Nile,0.0
2023-04-19,Blue Nile,0.0
2023-04-20,Blue Nile,0.0
2023-04-21,Blue Nile,0.0
2023-04-22,Blue Nile,0.0
2023-04-23,Blue Nile,0.0
2023-04-24,Blue Nile,0.0
2023-04-25,Blue Nile,0.0
2023-04-26,Blue Nile,0.0
2023-04-27,Blue Nile,0.0
2023-04-28,Blue Nile,0.0
2023-04-29,Blue Nile,0.0
2023-04-30,Blue Nile,0.0
2023-05-01,Blue Nile,0.0
2023-05-02,Blue Nile,0.0
2023-05-03,Blue Nile,0.0
2023-05-04,Blue Nile,0.0
2023-05-05,Blue Nile,0.0
2023-05-06,Blue Nile,0.0
2023-05-07,Blue Nile,0.0
2023-05-08,Blue Nile,0.0
2023-05-09,Blue Nile,0.0
2023-05-10,Blue Nile,0.0
2023-05-11,Blue Nile,0.0
2023-05-12,Blue Nile,0.0
2023-05-13,Blue Nile,0.0
2023-05-14,Blue Nile,0.0
2023-05-15,Blue Nile,0.0
2023-05-16,Blue Nile,0.0
2023-05-17,Blue Nile,0.0
2023-05-18,Blue Nile,0.0
2023-05-19,Blue Nile,0.0
2023-05-20,Blue Nile,0.0
2023-05-21,Blue Nile,0.0
2023-05-22,Blue Nile,0.0
2023-05-23,Blue Nile,0.0
2023-05-24,Blue Nile,0.0
2023-05-25,Blue Nile,0.0
2023-05-26,Blue Nile,0.0
2023-05-27,Blue Nile,0.0
2023-05-28,Blue Nile,0.0
2023-05-29,Blue Nile,0.0
2023-05-30,Blue Nile,0.0
2023-05-31,Blue Nile,0.0
2023-06-01,Blue Nile,0.0
2023-06-02,Blue Nile,0.0
2023-06-03,Blue Nile,0.0
2023-06-04,Blue Nile,0.0
2023-06-05,Blue Nile,0.0
2023-06-06,Blue Nile,0.0
2023-06-07,Blue Nile,0.0
2023-06-08,Blue Nile,0.0
2023-06-09,Blue Nile,0.0
2023-06-10,Blue Nile,0.0
2023-06-11,Blue Nile,0.0
2023-06-12,Blue Nile,0.0
2023-06-13,Blue Nile,0.0
2023-06-14,Blue Nile,0.0
2023-06-15,Blue Nile,0.0
2023-06-16,Blue Nile,0.0
2023-06-17,Blue Nile,0.0
2023-06-18,Blue Nile,0.0
2023-06-19,Blue Nile,0.0
2023-06-20,Blue Nile,0.0
2023-06-21,Blue Nile,0.0
2023-06-22,Blue Nile,0.0
