event_date,admin1,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
01 May 2023,Chernihiv,12138,6,48,7,478,4824,313.1674,197.7344,11,1,10109147884
01 May 2023,Dnipropetrovsk,4046,2,16,7,158,1608,96.1055,70.26740000000001,2,2,3369715961
01 May 2023,Donetsk,103173,51,282,168,2340,41004,2458.37,1922.4109,80,191,85927757101
01 May 2023,Kharkiv,24276,12,96,9,834,9648,599.1019,448.3734,23,9,20218295769
01 May 2023,Kherson,26299,13,104,8,976,10452,609.8969,432.172,25,0,21903153752
01 May 2023,Khmelnytskyi,2023,1,1,8,18,804,49.4128,26.998,3,0,1684857985
01 May 2023,Luhansk,4046,2,16,1,98,1608,98.74950000000001,75.9393,4,9,3369715961
01 May 2023,Mykolaiv,2023,1,8,7,78,804,46.6528,31.6178,2,0,1684857980
01 May 2023,Sumy,14161,7,56,7,558,5628,360.6615,239.3837,14,0,11794005869
01 May 2023,Zaporizhia,40460,20,149,18,1382,16080,951.4598,719.0527,28,24,33697159623
02 April 2023,Donetsk,95081,47,320,92,2392,37788,2270.2481,1770.4624,67,51,79029760447
02 April 2023,Kharkiv,26299,13,90,16,916,10452,649.2824,487.6379,15,0,21858135258
02 April 2023,Kherson,34391,17,135,0,1350,13668,797.0189,563.7917,19,0,28582303311
02 April 2023,Luhansk,22253,11,81,17,260,8844,539.9271,420.4857,22,50,18498750664
02 April 2023,Sumy,12138,6,48,7,478,4824,306.1934,208.9752,8,2,10087871757
02 April 2023,Zaporizhia,20230,10,52,24,544,8040,474.995,358.3481,13,0,16815279161
02 February 2023,Chernihiv,8092,4,32,0,320,3216,208.7306,129.6212,6,0,6703193856
02 February 2023,Dnipropetrovsk,4046,2,16,0,160,1608,95.2066,69.0241,3,0,3351596928
02 February 2023,Donetsk,95081,47,271,154,2018,37788,2267.4231,1772.6444999999999,77,70,78783631202
02 February 2023,Kharkiv,40460,20,153,17,1412,16080,1001.1504,742.0281,39,0,33516574542
02 February 2023,Kherson,42483,21,154,39,1426,16884,983.4205,695.7668,39,3,35194780070
02 February 2023,Luhansk,18207,9,65,14,286,7236,441.8695,343.2752,18,24,15091251881
02 February 2023,Mykolaiv,4046,2,9,8,98,1608,93.2256,63.0996,3,0,3352202193
02 February 2023,Sumy,20230,10,80,0,800,8040,516.5394,341.9227,20,0,16757984640
02 February 2023,Zaporizhia,36414,18,119,31,1221,14472,854.9461,645.2022,31,1,30177016466
02 January 2023,Chernihiv,6069,3,24,0,240,2412,155.9496,95.77369999999999,6,0,5020129228
02 January 2023,Crimea,6069,3,17,2,46,2412,135.6504,103.3255,4,0,5021958968
02 January 2023,Dnipropetrovsk,12138,6,41,8,418,4824,286.5134,207.47480000000002,12,0,10040258458
02 January 2023,Donetsk,84966,42,287,76,2118,33768,2029.2407,1586.5411,76,11,70288469299
02 January 2023,Kharkiv,42483,21,168,2,1556,16884,1046.445,786.2083,40,0,35153003632
02 January 2023,Kherson,22253,11,74,37,678,8844,514.4396,362.17560000000003,19,2,18408360331
02 January 2023,Kyiv City,2023,1,8,0,80,804,50.5097,30.6717,1,0,1673376410
02 January 2023,Luhansk,22253,11,74,22,384,8844,541.4894,418.8483,20,30,18407750422
02 January 2023,Mykolaiv,4046,2,9,8,98,1608,93.58,63.5681,5,0,3346752819
02 January 2023,Sumy,12138,6,48,0,480,4824,306.5421,208.8003,12,0,10040258460
02 January 2023,Zaporizhia,56644,28,196,36,1744,22512,1330.7441000000001,1007.8882,44,0,46855149393
02 June 2023,Chernihiv,6069,3,24,0,240,2412,156.8862,98.69290000000001,6,0,5058197952
02 June 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.5712,34.3964,1,0,1686065984
02 June 2023,Donetsk,93058,46,270,126,2448,36984,2219.8681,1733.1708,81,13,77573610192
02 June 2023,Kharkiv,62713,31,248,12,2168,24924,1553.4878,1152.7781,62,2,52274732461
02 June 2023,Kherson,14161,7,49,8,498,5628,326.2477,232.7851,13,0,11803676360
02 June 2023,Luhansk,12138,6,48,4,232,4824,295.8771,228.0961,12,0,10118828126
02 June 2023,Mykolaiv,4046,2,9,8,98,1608,93.58,63.5681,5,0,3372740841
02 June 2023,Sumy,30345,15,120,7,1198,12060,768.6593,521.0436,30,1,25290989759
02 June 2023,Zaporizhia,26299,13,93,22,943,10452,617.7866,468.2327,25,6,21920681139
02 March 2023,Chernihiv,10115,5,40,0,400,4020,261.02,162.8628,10,0,8391033775
02 March 2023,Crimea,2023,1,8,1,18,804,45.132,33.5932,2,0,1678805153
02 March 2023,Dnipropetrovsk,10115,5,40,0,400,4020,238.13819999999998,172.4472,9,0,8391033765
02 March 2023,Donetsk,103173,51,352,110,2460,41004,2461.0539,1922.8348,81,3,85592733260
02 March 2023,Kharkiv,22253,11,88,7,878,8844,550.347,407.993,20,1,18469904857
02 March 2023,Kherson,52598,26,194,44,1948,20904,1218.542,861.7538,30,60,43633375617
02 March 2023,Luhansk,8092,4,25,10,134,3216,196.6122,152.60129999999998,8,0,6713425415
02 March 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1678206753
02 March 2023,Sumy,30345,15,120,0,1200,12060,770.2322,517.4255,23,0,25173101325
02 March 2023,Zaporizhia,34391,17,129,22,1294,13668,809.3820000000001,611.2695,18,13,28539209592
02 May 2023,Chernihiv,14161,7,56,0,560,5628,365.2775,227.1207,14,0,11794005869
02 May 2023,Crimea,2023,1,1,8,18,804,44.9502,34.1017,2,0,1684857986
02 May 2023,Dnipropetrovsk,8092,4,32,0,320,3216,190.36849999999998,137.71609999999998,8,0,6739431925
02 May 2023,Donetsk,109242,54,291,174,2634,43416,2602.1417,2035.5075,86,282,90982331063
02 May 2023,Kharkiv,30345,15,120,14,1196,12060,748.7601,560.8887,29,2,25272869721
02 May 2023,Kherson,28322,14,112,28,1112,11256,656.2511,463.4268,25,4,23588011732
02 May 2023,Luhansk,2023,1,8,0,80,804,49.2265,37.9863,2,0,1684857981
02 May 2023,Mykolaiv,2023,1,8,0,80,804,46.6128,31.5498,2,0,1684857981
02 May 2023,Sumy,32368,16,128,0,1280,12864,823.1595,548.9529,32,0,26957727705
02 May 2023,Zaporizhia,14161,7,52,8,465,5628,332.2008,250.4067,13,24,11796985193
03 April 2023,Chernihiv,2023,1,8,7,78,804,52.2935,32.56,2,2,1681311960
