event_date,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
20 June 2023,299404,148,1051,210,8362,118992,7191.3157,5348.6761,286,565,249829079129
20 March 2023,283220,140,1015,199,7964,112560,6802.3993,5070.4807,256,170,235230746774
20 May 2023,287266,142,1023,226,8530,114168,6898.0525,5158.0932,189,102,239346902357
21 April 2023,186116,92,615,160,4798,73968,4479.1199,3378.6619,175,0,154823591855
21 February 2023,224553,111,776,147,6422,89244,5383.9193,4055.5144,198,161,186229983976
21 January 2023,285243,141,1008,221,7898,113364,6836.3491,5123.6914,232,115,236214197159
21 June 2023,418761,209,1399,358,12458,166428,10058.4791,7520.8478,273,778,349407205939
21 March 2023,218484,108,780,163,5470,86832,5273.8724,3958.6188,197,78,181458948099
21 May 2023,234668,116,808,198,6964,93264,5649.7636,4259.2828,147,134,195525255839
22 April 2023,254898,126,890,211,6978,101304,6094.2534,4580.8217,170,91,212122395136
22 February 2023,273105,136,952,236,7704,108540,6563.0809,4929.3132,221,28,226491197393
22 January 2023,173978,86,604,134,5076,69144,4192.2186,3146.3175,143,28,144082242188
22 June 2023,289289,144,944,282,8588,114972,6957.0083,5180.5361,264,247,241377948785
22 March 2023,339864,183,1194,308,9548,135072,8157.911,6064.0826,262,245,282273217383
22 May 2023,252875,125,951,126,8178,100500,6116.7549,4526.1198,229,159,210688546608
23 April 2023,228599,113,808,159,6574,90852,5457.3114,4120.8692,148,138,190215630612
23 February 2023,352002,174,1310,165,11006,139896,8470.1038,6305.6544,315,245,291920566639
23 January 2023,265013,131,964,149,8115,105324,6418.3014,4793.6297,228,52,219470102456
23 June 2023,315588,158,1118,217,9894,125424,7578.6147,5650.0817,299,469,263320231385
23 March 2023,317611,160,1146,221,8810,126228,7628.5604,5713.6719,293,58,263803364801
23 May 2023,242760,121,897,122,7742,96480,5866.0565,4394.2248,228,143,202262386882
24 April 2023,256921,128,932,151,7734,102108,6185.4782000000005,4635.9095,219,463,213769956266
24 February 2023,216461,108,779,133,5520,86028,5245.0896,3926.5714,198,11,179532824611
24 January 2023,313565,156,1145,150,9800,124620,7568.7907,5630.4426,280,117,259680118944
24 June 2023,285243,141,939,286,8290,113364,6858.1514,5085.1427,200,584,238088838739
24 March 2023,236691,117,810,207,6066,94068,5705.7823,4294.6918,213,18,196642166083
24 May 2023,234668,118,879,133,7528,93264,5652.862,4234.6673,145,257,195518718689
25 April 2023,236691,118,866,136,6501,94068,5685.5656,4288.2441,217,471,196953257191
25 February 2023,279174,139,1041,159,7680,110952,6690.6754,5041.2698,227,201,231601507896
25 January 2023,271082,137,944,228,8768,107736,6502.474,4896.1038,208,10,224495042057
25 June 2023,271082,134,980,177,8546,107736,6554.6978,4885.3937,180,403,226265787316
25 March 2023,262990,130,942,190,7288,104520,6347.4532,4753.8426,213,188,218565430034
25 May 2023,283220,140,979,208,8702,112560,6802.7725,4994.8688,234,104,235972983337
26 April 2023,321657,163,1133,280,9540,127836,7731.4164,5741.9768,201,297,267633611224
26 February 2023,271082,134,1016,110,7732,107736,6513.5895,4881.3809,229,187,224889877722
26 January 2023,293335,147,1020,317,8834,116580,7031.1735,5290.4219,235,697,242937246678
26 June 2023,327726,162,1093,291,9592,130248,7846.955,5873.5388,310,172,273559206772
26 March 2023,256921,128,939,136,7726,102108,6185.3898,4632.1305,201,109,213506618751
26 May 2023,230622,114,800,159,7502,91656,5559.1743,4148.6775,203,254,192153205614
27 April 2023,297381,148,985,273,8557,118188,7148.2663,5328.8108,233,10,247434001389
27 February 2023,289289,144,1004,215,7654,114972,6990.1005,5169.1848,260,117,240002736914
27 January 2023,222530,111,817,102,6814,88440,5356.0705,4029.4196,210,25,184283844256
27 June 2023,218484,108,709,213,5620,86832,5223.9063,3950.2749,197,420,182374375217
27 March 2023,248829,124,882,192,7068,98892,6007.0093,4501.6749,214,69,206775117784
27 May 2023,273105,135,989,193,8220,108540,6587.3426,4928.139,172,145,227630421006
28 April 2023,232645,115,773,211,6960,92460,5608.3501,4182.4156,209,35,193565487168
28 February 2023,246806,122,892,160,6776,98088,5979.6433,4468.7351,224,240,204753191920
28 January 2023,265013,131,978,139,7930,105324,6384.3186,4752.2708,216,211,219547111571
28 June 2023,299404,151,1009,275,9096,118992,7182.0263,5369.1144,203,393,249906535520
28 March 2023,204323,101,724,122,5148,81204,4941.9052,3735.9164,192,201,169844380862
28 May 2023,265013,131,880,231,7870,105324,6409.7254,4696.1441,188,212,220881341379
29 April 2023,285243,141,1008,161,9458,113364,6872.0764,5095.1442,161,408,237564975370
29 January 2023,202300,100,737,111,6185,80400,4898.1523,3695.4943,168,22,167597964453
29 June 2023,246806,122,752,341,6826,98088,5904.4122,4421.7451,205,200,206003818917
29 March 2023,271082,136,966,211,7594,107736,6504.7241,4880.1923,229,181,225300038393
29 May 2023,267036,132,937,209,8364,106128,6437.8778,4793.4534,243,189,222570451750
30 April 2023,216461,107,737,178,6630,86028,5224.6241,3916.3962,129,169,180279804027
30 January 2023,256921,128,892,199,8048,102108,6167.6554,4604.8034,226,74,212853538391
30 June 2023,271082,134,848,350,7228,107736,6523.8604,4931.1948,259,332,226289767905
30 March 2023,293335,147,1075,177,8848,116580,7029.0876,5266.2446,252,159,243787424971
30 May 2023,198254,98,644,184,5328,78792,4779.6773,3543.7463,184,197,165243586859
31 January 2023,216461,107,779,125,6448,86028,5209.4824,3892.6131,187,59,179324358271
31 March 2023,182070,91,678,92,4964,72360,4397.8845,3306.9355,169,4,151308228334
31 May 2023,333795,165,1186,265,10190,132660,8036.6816,6019.545,215,227,278211191771
