,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,17,37,17,2,27,31,22,26,20,1,87,3,9,1,0,71,22,1,5,1,77,11,0,12,0,76,0,7,12,5,13,1,86,0,0,89,3,7,0,1,80,7,9,0,4,95,5
1,Chernihivs'ka oblast,UA-74,28,18,18,0,36,18,36,32,14,0,90,0,0,10,0,65,35,0,0,0,90,0,0,10,0,27,0,70,0,3,70,0,0,7,23,82,9,9,0,0,82,18,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,20,34,14,4,28,27,32,31,9,1,91,7,0,0,2,58,37,1,3,1,75,8,0,17,0,83,0,0,6,11,6,1,0,92,1,85,0,11,0,4,91,0,5,2,2,98,2
3,Crimea,UA-43,21,31,19,2,27,33,34,33,0,0,100,0,0,0,0,41,0,0,0,59,100,0,0,0,0,77,0,0,20,3,97,1,0,0,2,100,0,0,0,0,98,0,1,0,1,100,0
4,Dnipropetrovsk Oblast,UA-12,19,32,20,3,26,31,31,34,3,1,66,1,29,0,4,63,12,23,0,2,91,4,0,5,0,72,0,0,17,11,81,3,3,5,8,85,3,8,0,4,77,3,14,3,3,100,0
5,Donetsk Oblast,UA-14,20,36,16,2,26,34,30,34,1,1,91,1,5,2,1,92,4,0,0,4,96,1,0,3,0,79,0,0,11,10,97,0,0,1,2,100,0,0,0,0,85,0,15,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,37,17,4,24,25,23,35,15,2,82,7,9,1,1,58,37,2,3,0,81,13,0,6,0,80,0,5,11,4,67,3,1,20,9,16,1,3,0,80,69,11,13,2,5,100,0
7,Kharkiv Oblast,UA-63,19,34,15,2,30,24,23,27,0,26,94,1,3,2,0,90,9,1,0,0,97,1,0,2,0,60,0,0,4,36,97,2,0,0,1,97,1,2,0,0,81,0,18,0,1,100,0
8,Khersons'ka oblast,UA-65,24,35,12,3,26,41,30,27,2,0,92,4,0,4,0,65,9,2,18,6,100,0,0,0,0,3,0,0,97,0,100,0,0,0,0,100,0,0,0,0,88,0,8,4,0,100,0
9,Khmel'nyts'ka oblast,UA-68,16,35,20,5,24,30,25,27,17,1,75,6,15,0,4,56,40,1,2,1,53,16,0,31,0,81,0,1,12,6,8,88,0,2,2,65,6,25,0,4,62,16,18,2,2,95,5
10,Kirovohrads'ka oblast,UA-35,21,35,14,1,29,27,20,40,8,5,74,8,15,3,0,57,11,16,16,0,87,9,0,4,0,82,0,4,8,6,91,5,2,0,2,91,2,7,0,0,22,1,3,74,0,98,2
11,Kyiv city,UA-30,19,31,16,3,31,15,16,17,51,1,88,5,4,0,3,70,27,1,2,0,76,5,0,19,0,77,0,5,12,6,75,6,6,2,11,88,1,9,0,2,72,4,17,2,5,97,3
12,Kyivs'ka oblast,UA-32,16,29,17,5,33,16,17,21,45,1,82,9,5,1,3,73,23,2,1,1,80,10,0,10,0,88,0,2,5,5,78,2,7,5,8,90,2,8,0,0,81,2,10,1,6,35,65
13,Luhans'ka oblast,UA-09,22,36,18,1,23,36,29,35,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,90,0,0,6,4,98,0,0,0,2,96,0,4,0,0,92,2,4,0,2,100,0
14,Lviv Oblast,UA-46,19,33,15,3,30,22,24,30,19,5,73,11,7,2,7,9,90,0,1,0,64,12,0,24,0,57,0,5,20,18,50,12,7,12,19,52,6,33,0,9,43,16,25,3,13,94,6
15,Mykolaivs'ka oblast,UA-48,17,30,5,5,43,25,37,35,3,0,92,8,0,0,0,39,7,3,51,0,96,4,0,0,0,63,0,0,32,5,85,0,3,4,8,85,8,7,0,0,85,3,12,0,0,96,4
16,Odessa Oblast,UA-51,17,31,19,3,30,33,30,34,3,0,56,42,2,0,0,79,9,0,9,3,90,3,0,7,0,77,0,0,18,5,86,4,2,3,5,95,3,1,0,1,84,2,10,1,3,100,0
17,Poltavs'ka oblast,UA-53,20,35,15,3,27,30,28,27,11,4,80,8,7,1,4,74,18,2,5,1,81,6,0,13,0,6,0,0,0,94,78,4,7,4,7,73,12,15,0,0,65,3,22,4,6,100,0
18,Rivnens'ka oblast,UA-56,23,34,18,4,21,27,29,26,15,3,83,6,9,2,0,57,32,2,8,1,73,21,1,5,0,72,0,8,12,8,77,5,0,1,17,5,0,95,0,0,53,7,8,0,32,100,0
19,Sevastopol' city,UA-40,29,39,16,0,16,40,28,32,0,0,100,0,0,0,0,3,0,0,0,97,100,0,0,0,0,91,0,0,9,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,24,34,19,4,19,33,33,28,6,0,100,0,0,0,0,65,25,5,0,5,93,7,0,0,0,54,0,0,0,46,87,7,0,0,6,11,89,0,0,0,93,0,7,0,0,100,0
21,Ternopil's'ka oblast,UA-61,20,26,16,4,34,23,22,37,17,1,78,4,9,4,5,59,37,3,1,0,81,8,0,10,1,84,0,2,9,5,66,7,2,16,9,70,1,19,1,9,7,93,0,0,0,99,1
22,Vinnyts'ka oblast,UA-05,15,32,20,2,31,24,27,32,16,1,78,15,3,1,3,69,29,1,1,0,10,1,0,89,0,61,0,2,14,23,63,10,7,12,8,74,5,16,0,5,61,7,25,3,4,96,4
23,Volyns'ka oblast,UA-07,15,42,14,4,25,32,23,28,13,4,81,2,12,5,0,48,42,3,7,0,60,20,0,20,0,75,0,4,17,4,81,5,0,2,12,55,5,37,0,3,6,0,0,0,94,100,0
24,Zakarpats'ka oblast,UA-21,28,27,12,3,30,24,27,30,18,1,81,5,5,5,4,59,34,0,5,2,74,16,2,8,0,82,0,4,6,8,80,4,2,4,10,73,2,18,0,7,9,0,91,0,0,96,4
25,Zaporiz'ka oblast,UA-23,16,30,13,4,37,33,31,32,2,2,37,1,0,0,62,86,11,0,1,2,96,4,0,0,0,83,0,0,14,3,91,0,2,2,5,96,0,2,0,2,86,3,11,0,0,100,0
26,Zhytomyrs'ka oblast,UA-18,23,36,12,4,25,30,18,16,35,1,76,6,6,6,6,50,46,4,0,0,57,24,0,19,0,76,0,6,12,6,3,1,0,0,96,55,14,18,4,9,67,5,17,0,11,100,0
