,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,20,37,8,1,34,30,20,29,21,0,87,2,8,0,3,69,23,2,6,0,78,13,0,7,2,69,0,6,9,16,13,1,86,0,0,94,3,3,0,0,82,2,11,0,5,94,6
1,Chernihivs'ka oblast,UA-74,33,34,8,0,25,20,40,10,30,0,100,0,0,0,0,50,25,0,0,25,100,0,0,0,0,13,0,74,13,0,67,0,0,0,33,67,33,0,0,0,67,33,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,17,29,18,7,29,25,24,32,17,2,94,0,0,0,6,65,35,0,0,0,94,6,0,0,0,91,0,0,9,0,7,0,0,93,0,88,6,3,0,3,83,8,6,0,3,100,0
3,Crimea,UA-43,21,33,18,2,26,31,34,35,0,0,100,0,0,0,0,46,0,0,0,54,100,0,0,0,0,88,0,0,7,5,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,32,16,3,31,29,35,29,5,2,65,1,33,0,1,53,22,19,3,3,90,3,0,7,0,52,0,0,23,25,78,1,0,13,8,85,4,2,0,9,55,6,20,3,16,98,2
5,Donetsk Oblast,UA-14,22,37,17,3,21,30,38,32,0,0,97,2,0,0,1,90,3,0,2,5,97,2,0,1,0,85,0,0,12,3,95,2,0,0,3,100,0,0,0,0,93,2,5,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,14,37,13,5,31,29,24,25,20,2,73,10,3,0,14,43,49,2,4,2,74,18,0,8,0,81,0,9,6,4,65,5,5,14,11,13,0,2,0,85,69,9,13,3,6,98,2
7,Kharkiv Oblast,UA-63,19,36,16,1,28,30,26,26,0,18,90,8,2,0,0,93,7,0,0,0,93,0,0,7,0,57,0,1,4,38,95,3,0,0,2,93,0,7,0,0,78,0,22,0,0,100,0
8,Khersons'ka oblast,UA-65,22,28,10,3,37,31,33,36,0,0,95,0,0,0,5,90,0,5,5,0,100,0,0,0,0,5,0,0,95,0,79,0,9,4,8,95,0,5,0,0,100,0,0,0,0,90,10
9,Khmel'nyts'ka oblast,UA-68,17,35,18,3,27,28,19,31,18,4,80,4,12,0,4,59,37,4,0,0,79,13,0,8,0,79,0,8,11,2,11,86,0,1,2,80,0,14,0,6,69,12,12,0,7,100,0
10,Kirovohrads'ka oblast,UA-35,19,38,9,1,33,37,31,29,3,0,95,5,0,0,0,54,27,3,16,0,89,0,0,11,0,67,0,4,12,17,89,0,11,0,0,77,9,9,5,0,17,1,1,80,1,100,0
11,Kyiv city,UA-30,17,37,12,5,29,18,19,17,46,0,91,2,6,0,1,67,30,1,0,2,81,6,0,13,0,85,0,0,9,6,77,6,5,3,9,88,4,5,1,2,82,3,10,0,5,98,2
12,Kyivs'ka oblast,UA-32,22,30,14,4,30,18,16,19,47,0,92,3,5,0,0,74,22,4,0,0,81,15,0,4,0,95,0,0,5,0,68,8,4,8,12,77,12,2,2,7,90,0,3,5,2,29,71
13,Luhans'ka oblast,UA-09,17,35,22,5,21,36,32,31,0,1,100,0,0,0,0,84,10,0,0,6,93,0,4,3,0,97,0,0,0,3,97,0,0,0,3,100,0,0,0,0,93,4,3,0,0,100,0
14,Lviv Oblast,UA-46,17,34,20,3,26,23,26,32,16,3,80,9,6,0,5,10,89,0,1,0,71,10,0,19,0,58,0,4,19,19,56,10,6,12,16,59,5,22,0,14,50,16,21,0,13,94,6
15,Mykolaivs'ka oblast,UA-48,21,23,16,5,35,28,23,40,9,0,78,18,4,0,0,38,2,0,58,2,100,0,0,0,0,61,0,0,29,10,90,10,0,0,0,100,0,0,0,0,90,0,5,5,0,100,0
16,Odessa Oblast,UA-51,15,36,16,4,29,33,37,29,1,0,61,39,0,0,0,86,7,0,4,3,95,1,0,4,0,84,0,0,12,4,84,8,1,1,6,99,0,0,0,1,93,1,5,0,1,100,0
17,Poltavs'ka oblast,UA-53,25,34,8,0,33,26,26,32,8,8,89,0,9,0,2,68,24,2,3,3,91,9,0,0,0,7,0,0,0,93,83,4,9,4,0,76,12,10,0,2,81,2,11,6,0,100,0
18,Rivnens'ka oblast,UA-56,19,40,12,2,27,37,26,28,7,2,76,12,9,0,3,39,54,3,4,0,68,24,0,8,0,79,0,9,9,3,76,9,3,9,3,5,0,95,0,0,56,6,7,4,27,97,3
19,Sevastopol' city,UA-40,30,23,25,2,20,26,38,33,3,0,100,0,0,0,0,3,0,0,0,97,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,16,29,26,3,26,30,24,37,3,6,92,0,8,0,0,74,20,6,0,0,100,0,0,0,0,65,0,0,5,30,79,7,0,7,7,11,89,0,0,0,79,0,14,0,7,92,8
21,Ternopil's'ka oblast,UA-61,25,20,23,7,25,17,20,40,21,2,85,5,2,2,6,43,54,0,2,1,90,5,0,5,0,85,0,5,8,2,72,17,0,9,2,74,0,13,0,13,7,92,0,0,1,100,0
22,Vinnyts'ka oblast,UA-05,20,31,14,1,34,28,23,29,17,3,78,2,11,0,9,63,32,2,2,1,8,2,0,90,0,59,0,8,21,12,60,21,5,7,7,76,6,16,0,2,73,6,8,2,11,100,0
23,Volyns'ka oblast,UA-07,24,36,11,4,25,35,20,29,15,1,81,12,4,0,3,39,58,0,3,0,56,31,0,13,0,68,0,6,13,13,84,0,0,4,12,73,3,21,0,3,7,0,0,0,93,100,0
24,Zakarpats'ka oblast,UA-21,34,32,11,0,23,29,32,29,8,2,90,2,2,0,6,53,44,2,0,1,75,13,0,12,0,88,0,2,6,4,84,2,0,2,12,82,6,4,0,8,10,0,89,0,1,98,2
25,Zaporiz'ka oblast,UA-23,18,33,18,0,31,33,38,29,0,0,33,1,1,0,65,90,7,3,0,0,97,3,0,0,0,67,0,0,26,7,90,0,3,0,7,97,0,3,0,0,87,3,10,0,0,100,0
26,Zhytomyrs'ka oblast,UA-18,7,31,16,2,44,23,19,27,31,0,83,11,6,0,0,50,43,0,0,7,74,10,0,16,0,67,0,14,4,15,4,0,0,1,95,78,5,17,0,0,78,0,17,5,0,100,0
