,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,34,13,3,29,28,24,26,20,2,79,9,6,0,6,70,17,7,5,1,83,11,0,5,1,86,1,2,7,4,14,1,84,0,1,92,5,3,0,0,92,1,5,1,1,96,4
1,Chernihivs'ka oblast,UA-74,18,36,18,2,26,23,17,22,38,0,89,6,5,0,0,73,23,4,0,0,73,14,0,13,0,24,0,72,3,1,80,0,0,0,20,77,9,14,0,0,95,0,0,0,5,100,0
2,Chernivets'ka oblast,UA-77,22,33,13,3,29,25,26,31,18,0,83,6,11,0,0,71,23,0,1,5,78,10,2,10,0,74,0,10,9,7,6,0,0,94,0,93,0,2,0,5,83,6,9,0,2,98,2
3,Crimea,UA-43,21,34,15,3,27,36,34,30,0,0,99,1,0,0,0,44,1,0,0,55,100,0,0,0,0,89,1,0,9,1,98,0,0,1,1,99,0,1,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,36,16,2,26,33,31,31,4,1,55,2,38,0,5,60,14,25,1,0,93,4,1,2,0,64,0,1,22,13,86,2,0,4,8,95,1,3,0,1,83,1,9,2,5,100,0
5,Donetsk Oblast,UA-14,22,34,16,4,24,36,38,25,1,0,97,0,3,0,0,89,4,1,0,6,97,2,0,0,1,91,0,0,2,7,96,0,1,0,3,100,0,0,0,0,98,0,2,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,32,21,3,26,25,29,28,15,3,82,5,9,1,3,58,36,1,2,3,85,8,0,6,1,85,0,3,6,6,73,5,5,10,7,13,1,0,0,86,82,7,7,1,3,100,0
7,Kharkiv Oblast,UA-63,20,32,17,1,30,28,23,26,2,21,92,0,5,2,1,92,6,1,0,1,95,1,0,4,0,45,0,0,5,50,86,5,1,1,7,99,0,1,0,0,83,0,16,0,1,100,0
8,Khersons'ka oblast,UA-65,21,32,19,4,24,40,23,34,3,0,89,0,4,0,7,69,9,8,14,0,83,7,0,10,0,3,0,0,97,0,96,4,0,0,0,100,0,0,0,0,71,2,18,9,0,96,4
9,Khmel'nyts'ka oblast,UA-68,23,34,12,4,27,25,23,28,22,2,82,5,7,0,6,70,25,4,1,0,70,18,1,11,0,80,0,2,9,9,10,88,0,0,2,73,6,17,1,3,70,18,5,1,6,100,0
10,Kirovohrads'ka oblast,UA-35,24,40,14,2,20,35,28,24,10,3,90,0,10,0,0,74,11,3,11,1,82,10,0,8,0,72,0,1,14,13,81,5,2,4,8,84,2,12,0,2,18,0,0,82,0,100,0
11,Kyiv city,UA-30,18,32,17,3,30,16,16,19,49,0,88,6,5,1,0,74,22,0,2,2,80,8,0,12,0,74,0,6,11,9,70,6,8,2,14,89,3,5,0,3,79,7,9,3,2,97,3
12,Kyivs'ka oblast,UA-32,18,37,15,3,27,19,16,16,49,0,85,2,9,0,4,80,13,2,0,5,86,8,0,5,1,83,0,7,6,4,80,9,1,4,6,91,1,5,0,3,90,3,4,2,1,34,66
13,Luhans'ka oblast,UA-09,22,39,14,2,23,41,31,27,1,0,100,0,0,0,0,100,0,0,0,0,97,0,3,0,0,95,0,0,4,1,97,0,0,0,3,100,0,0,0,0,99,0,1,0,0,100,0
