,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,15,28,16,3,38,15,28,25,25,7,76,10,5,2,7,64,34,2,0,0,89,0,3,8,0,70,0,7,19,4,12,0,87,0,1,94,0,6,0,0,79,2,5,14,0,86,14
1,Chernihivs'ka oblast,UA-74,29,29,17,0,25,24,24,17,21,14,100,0,0,0,0,78,22,0,0,0,100,0,0,0,0,9,0,87,3,1,88,0,0,0,12,59,25,16,0,0,70,0,20,10,0,100,0
2,Chernivets'ka oblast,UA-77,21,36,14,0,29,22,24,33,9,12,87,4,0,0,9,61,21,6,6,6,87,0,0,13,0,65,0,9,23,3,6,0,0,93,1,80,4,0,4,12,75,18,7,0,0,77,23
3,Crimea,UA-43,25,31,16,2,26,29,33,38,0,0,99,1,0,0,0,50,1,0,0,49,100,0,0,0,0,76,0,0,21,3,99,0,0,0,1,100,0,0,0,0,97,0,3,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,22,31,17,3,27,27,31,36,2,4,59,4,29,0,8,59,8,32,1,0,98,0,0,2,0,53,0,1,39,7,83,2,1,4,10,90,4,2,1,3,68,1,27,3,1,100,0
5,Donetsk Oblast,UA-14,21,32,13,4,30,30,31,35,2,2,99,0,1,0,0,87,0,1,0,12,97,3,0,0,0,68,0,1,20,11,86,1,1,0,12,99,0,0,0,1,83,0,17,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,32,12,1,34,17,15,24,24,20,74,8,9,6,3,42,48,6,3,1,84,6,7,3,0,50,0,13,30,7,54,2,6,15,23,11,3,0,0,86,65,10,16,7,2,78,22
7,Kharkiv Oblast,UA-63,21,37,13,3,26,23,22,24,1,30,100,0,0,0,0,85,10,0,1,4,97,1,0,2,0,65,0,0,12,23,85,4,1,3,7,96,1,3,0,0,75,1,22,1,1,96,4
8,Khersons'ka oblast,UA-65,35,35,8,5,17,28,30,31,7,4,93,7,0,0,0,82,0,12,0,6,100,0,0,0,0,2,0,0,98,0,82,6,0,6,6,93,0,0,0,7,77,0,23,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,21,36,17,4,22,19,18,21,31,11,72,19,6,0,3,66,14,0,17,3,77,13,0,10,0,54,0,16,28,2,7,88,0,1,4,72,6,13,0,9,61,16,16,2,5,70,30
10,Kirovohrads'ka oblast,UA-35,15,28,10,0,47,21,39,19,12,9,67,11,20,0,2,81,13,6,0,0,89,0,0,11,0,60,0,2,38,0,76,3,6,6,9,86,3,7,0,4,20,0,1,79,0,96,4
11,Kyiv city,UA-30,21,34,15,3,27,13,16,21,47,3,79,8,8,0,5,36,60,1,3,0,68,3,0,29,0,37,0,6,39,18,35,10,8,13,34,57,9,23,0,11,41,13,31,6,9,86,14
12,Kyivs'ka oblast,UA-32,17,36,18,1,28,16,17,21,44,2,88,1,11,0,0,76,24,0,0,0,91,3,0,4,2,73,0,6,17,4,65,5,9,6,15,88,2,5,0,5,77,5,14,1,3,23,77
