,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,20,31,17,3,29,25,24,30,18,3,79,6,4,0,11,74,18,4,4,0,86,0,0,14,0,76,0,4,14,6,12,0,88,0,0,98,0,0,0,2,95,0,2,3,0,100,0
1,Chernihivs'ka oblast,UA-74,21,38,12,6,23,26,17,27,28,2,80,0,20,0,0,86,7,7,0,0,86,0,0,7,7,18,0,77,1,4,81,0,0,6,13,81,13,0,0,6,86,7,7,0,0,100,0
2,Chernivets'ka oblast,UA-77,18,36,18,1,27,26,33,29,11,1,84,2,10,0,4,70,26,2,2,0,88,5,0,7,0,88,0,5,5,2,6,1,0,93,0,90,2,0,0,8,86,7,2,0,5,100,0
3,Crimea,UA-43,24,30,17,2,27,32,40,28,0,0,100,0,0,0,0,41,0,0,0,59,100,0,0,0,0,83,0,0,13,4,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,32,16,5,26,32,31,34,3,0,62,2,34,0,2,66,8,25,0,1,97,2,0,1,0,66,0,1,22,11,88,3,3,1,5,94,2,1,0,3,86,4,5,4,1,99,1
5,Donetsk Oblast,UA-14,14,38,18,1,29,37,39,24,0,0,97,0,1,2,0,97,3,0,0,0,100,0,0,0,0,88,0,0,12,0,100,0,0,0,0,99,0,1,0,0,99,1,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,29,19,4,27,25,29,31,14,1,81,5,8,4,2,62,34,1,3,0,88,8,3,1,0,78,0,1,15,6,77,9,1,11,2,15,1,0,0,84,80,5,9,2,4,99,1
7,Kharkiv Oblast,UA-63,24,25,18,0,33,22,28,28,2,20,91,2,2,0,5,96,4,0,0,0,96,2,0,2,0,59,0,1,6,34,98,0,0,2,0,96,2,0,0,2,89,0,11,0,0,100,0
8,Khersons'ka oblast,UA-65,24,34,15,4,23,37,39,24,0,0,82,4,0,0,14,82,14,0,4,0,95,5,0,0,0,5,0,0,95,0,95,0,0,5,0,100,0,0,0,0,90,0,10,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,29,16,1,29,24,31,27,17,1,79,5,8,1,7,73,22,1,4,0,86,5,0,9,0,81,0,3,11,5,9,90,0,0,1,71,8,16,1,4,77,17,3,1,2,96,4
10,Kirovohrads'ka oblast,UA-35,22,35,14,3,26,24,33,35,8,0,81,0,8,0,11,83,2,15,0,0,97,3,0,0,0,77,0,2,13,8,86,8,3,3,0,83,8,9,0,0,21,0,0,79,0,97,3
11,Kyiv city,UA-30,24,28,15,4,29,15,18,17,50,0,86,6,5,1,2,81,17,0,2,0,86,2,0,12,0,73,0,3,17,7,76,8,7,3,6,91,2,5,0,2,81,4,8,3,4,97,3
12,Kyivs'ka oblast,UA-32,19,30,22,2,27,13,17,19,51,0,81,7,8,0,4,83,13,1,1,2,94,3,0,3,0,86,0,0,10,4,80,11,0,0,9,95,0,5,0,0,92,0,5,3,0,33,67
13,Luhans'ka oblast,UA-09,22,32,19,4,23,32,39,29,0,0,98,0,2,0,0,100,0,0,0,0,98,0,2,0,0,93,0,0,0,7,100,0,0,0,0,98,0,0,0,2,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,20,33,18,3,26,23,25,30,20,2,72,9,13,2,4,9,90,0,1,0,72,6,0,22,0,67,0,1,15,17,51,14,6,13,16,59,5,25,0,11,48,17,17,2,16,93,7
15,Mykolaivs'ka oblast,UA-48,18,17,20,5,40,19,35,38,8,0,63,33,0,4,0,30,9,2,59,0,87,0,0,13,0,60,0,0,36,4,87,0,0,0,13,100,0,0,0,0,77,0,23,0,0,100,0
16,Odessa Oblast,UA-51,25,31,13,2,29,36,34,28,2,0,53,47,0,0,0,90,3,0,5,2,91,2,0,7,0,76,0,0,19,5,93,1,1,2,3,97,0,3,0,0,85,1,12,1,1,100,0
17,Poltavs'ka oblast,UA-53,17,35,19,3,26,28,30,25,10,7,86,2,10,1,1,81,11,4,2,2,96,0,0,4,0,7,0,0,1,92,80,7,6,2,5,81,9,9,0,1,81,2,6,1,10,100,0
18,Rivnens'ka oblast,UA-56,19,35,12,2,32,28,24,26,22,0,85,5,10,0,0,68,30,0,2,0,78,16,0,6,0,79,0,0,21,0,86,7,0,2,5,6,0,94,0,0,49,2,2,3,44,100,0
19,Sevastopol' city,UA-40,27,27,19,2,25,30,18,49,3,0,100,0,0,0,0,1,0,0,0,99,100,0,0,0,0,67,0,0,22,11,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,21,41,18,5,15,28,29,34,9,0,97,3,0,0,0,84,10,6,0,0,93,0,0,7,0,77,0,0,6,17,93,4,0,3,0,22,78,0,0,0,84,3,6,0,7,100,0
21,Ternopil's'ka oblast,UA-61,25,27,20,5,23,25,31,28,13,3,88,2,4,4,2,70,29,1,0,0,82,12,2,4,0,88,0,4,6,2,79,8,1,8,4,80,4,6,2,8,7,93,0,0,0,100,0
