,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,15,37,7,1,40,27,15,31,21,6,83,8,3,0,6,54,38,3,4,1,80,6,0,14,0,63,0,7,24,6,16,1,79,1,3,88,5,4,2,1,72,4,20,4,0,93,7
1,Chernihivs'ka oblast,UA-74,21,31,19,4,25,32,21,21,24,2,84,16,0,0,0,84,16,0,0,0,91,0,0,9,0,10,0,83,5,2,56,0,0,11,33,91,0,0,9,0,77,0,8,7,8,100,0
2,Chernivets'ka oblast,UA-77,16,37,22,4,21,22,26,25,17,10,79,0,8,0,13,60,26,8,4,2,82,5,0,13,0,54,0,3,42,1,6,0,0,92,2,84,8,2,0,6,79,5,14,0,2,100,0
3,Crimea,UA-43,26,29,16,2,27,26,35,39,0,0,100,0,0,0,0,50,0,0,0,50,100,0,0,0,0,81,0,0,17,2,99,0,0,0,1,100,0,0,0,0,99,0,1,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,36,16,1,27,30,26,32,6,6,60,3,30,0,7,49,28,22,1,0,89,2,0,9,0,39,0,0,39,22,59,6,3,14,18,73,10,7,1,9,46,5,41,3,5,97,3
5,Donetsk Oblast,UA-14,19,32,17,3,29,34,33,31,0,2,91,1,5,1,2,90,2,1,2,5,97,2,0,1,0,65,0,0,29,6,84,0,0,2,14,98,1,0,1,0,71,3,26,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,17,38,15,6,24,21,18,33,20,8,77,4,2,0,17,56,41,0,3,0,83,9,1,7,0,66,0,5,24,5,65,4,2,17,12,20,1,1,1,77,79,6,11,2,2,98,2
7,Kharkiv Oblast,UA-63,14,33,22,2,29,20,21,24,2,33,92,5,1,2,0,82,18,0,0,0,92,1,0,7,0,32,0,0,14,54,73,4,1,4,18,97,3,0,0,0,53,2,43,0,2,100,0
8,Khersons'ka oblast,UA-65,16,38,9,3,34,31,24,44,1,0,89,3,0,0,8,75,9,5,7,4,97,3,0,0,0,5,0,0,95,0,92,0,0,0,8,100,0,0,0,0,97,0,3,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,27,30,12,0,31,21,17,27,24,11,64,10,8,0,18,51,38,2,9,0,68,9,0,23,0,60,0,10,25,5,7,87,0,1,5,70,3,18,3,6,48,22,27,2,1,93,7
10,Kirovohrads'ka oblast,UA-35,26,36,15,1,22,28,30,28,12,2,76,15,6,0,3,47,27,7,19,0,86,7,0,7,0,50,0,0,40,10,64,5,10,8,13,81,13,0,3,3,15,1,6,77,1,96,4
11,Kyiv city,UA-30,19,33,16,3,29,13,15,20,49,3,75,10,4,0,11,42,55,1,2,0,71,3,0,26,0,51,0,4,29,16,41,15,7,8,29,58,6,25,3,8,46,15,29,3,7,91,9
