,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,13,36,12,3,36,21,20,25,27,7,80,9,3,2,6,61,38,1,0,0,83,5,2,10,0,69,0,8,20,3,12,0,85,0,3,90,4,4,0,2,75,3,10,12,0,86,14
1,Chernihivs'ka oblast,UA-74,28,39,14,2,17,30,17,21,24,8,100,0,0,0,0,84,16,0,0,0,91,0,0,9,0,9,0,85,6,0,67,0,0,6,27,67,20,13,0,0,72,0,14,14,0,100,0
2,Chernivets'ka oblast,UA-77,20,37,15,1,27,21,26,25,16,12,92,2,0,0,6,63,21,6,4,6,85,0,0,15,0,64,0,10,24,2,7,0,0,92,1,85,5,0,2,8,81,12,7,0,0,85,15
3,Crimea,UA-43,26,30,16,2,26,28,35,37,0,0,100,0,0,0,0,50,0,0,0,50,100,0,0,0,0,76,0,0,22,2,98,0,0,0,2,100,0,0,0,0,99,0,1,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,23,32,16,2,27,28,30,34,3,5,64,4,25,0,7,57,13,29,1,0,96,1,0,3,0,51,0,0,39,10,73,2,1,6,18,86,4,4,2,4,64,2,29,3,2,99,1
5,Donetsk Oblast,UA-14,21,32,14,4,29,35,29,33,1,2,98,0,1,1,0,89,0,1,0,10,97,3,0,0,0,68,0,0,23,9,85,0,1,0,14,98,0,0,1,1,82,0,18,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,36,15,1,30,18,16,27,23,16,85,5,5,3,2,54,42,3,1,0,88,5,4,3,0,65,0,9,22,4,66,4,4,12,14,19,2,0,1,78,79,7,10,3,1,89,11
7,Kharkiv Oblast,UA-63,20,36,15,2,27,23,21,25,1,30,98,2,0,0,0,87,9,0,1,3,96,1,0,3,0,56,0,0,14,30,84,2,1,1,12,97,1,2,0,0,71,2,24,1,2,97,3
8,Khersons'ka oblast,UA-65,29,33,9,6,23,28,33,33,4,2,96,4,0,0,0,81,7,6,3,3,100,0,0,0,0,3,0,0,97,0,86,3,0,4,7,96,0,0,0,4,86,0,14,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,23,32,18,2,25,19,17,23,29,12,73,19,3,0,5,64,21,0,14,1,79,11,0,10,0,60,0,16,21,3,8,86,0,1,5,72,3,15,3,7,60,12,24,1,3,79,21
10,Kirovohrads'ka oblast,UA-35,14,29,12,1,44,22,36,20,15,7,57,18,22,0,3,53,27,11,9,0,79,4,0,17,0,43,0,2,48,7,55,3,12,12,18,79,8,9,0,4,12,1,1,86,0,95,5
11,Kyiv city,UA-30,20,33,17,2,28,13,15,21,47,4,82,9,5,0,4,43,54,1,2,0,75,3,0,22,0,46,0,5,33,16,43,10,7,11,29,63,7,19,2,9,49,13,27,4,7,91,9
12,Kyivs'ka oblast,UA-32,19,35,15,2,29,16,16,20,46,2,89,5,6,0,0,75,23,0,2,0,89,4,0,6,1,72,0,4,22,2,64,6,7,6,17,88,1,5,1,5,75,7,15,2,1,28,72
13,Luhans'ka oblast,UA-09,25,29,18,7,21,33,30,36,0,1,100,0,0,0,0,99,1,0,0,0,99,0,1,0,0,76,0,0,20,4,92,0,0,1,7,100,0,0,0,0,99,0,1,0,0,100,0
14,Lviv Oblast,UA-46,19,33,14,3,31,17,24,31,17,11,82,8,5,0,5,11,88,0,1,0,90,3,0,7,0,70,0,8,16,6,70,6,4,5,15,80,9,6,4,1,70,7,15,2,6,96,4
15,Mykolaivs'ka oblast,UA-48,17,32,14,6,31,30,34,31,3,2,78,22,0,0,0,36,1,2,57,4,97,3,0,0,0,25,0,0,74,1,81,0,3,0,16,97,0,3,0,0,84,0,6,7,3,100,0
16,Odessa Oblast,UA-51,19,28,17,4,32,27,37,35,0,1,59,41,0,0,0,93,0,0,2,5,98,1,0,1,0,50,0,0,45,5,84,1,0,0,15,98,0,1,0,1,72,0,28,0,0,97,3
17,Poltavs'ka oblast,UA-53,21,31,21,4,23,17,33,25,13,12,84,4,4,2,6,72,22,1,5,0,88,6,0,6,0,6,0,0,1,93,66,8,3,6,17,78,17,3,2,0,64,1,17,9,9,81,19
18,Rivnens'ka oblast,UA-56,16,40,9,6,29,20,18,27,27,8,93,5,2,0,0,61,27,8,4,0,89,7,0,4,0,66,0,12,22,0,60,1,1,7,31,8,1,91,0,0,60,3,9,0,28,96,4
19,Sevastopol' city,UA-40,18,37,17,1,27,47,25,28,0,0,100,0,0,0,0,2,0,0,0,98,100,0,0,0,0,56,0,0,38,6,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,17,21,19,5,38,14,20,42,14,10,95,2,0,0,3,79,12,0,5,4,92,8,0,0,0,61,0,0,22,17,79,0,2,0,19,16,84,0,0,0,92,3,0,5,0,100,0
21,Ternopil's'ka oblast,UA-61,14,35,17,0,34,19,21,30,21,9,82,8,3,1,6,56,36,4,4,0,95,3,0,2,0,69,0,9,21,1,70,1,2,12,15,67,6,9,8,10,9,90,0,0,1,93,7
22,Vinnyts'ka oblast,UA-05,20,33,18,4,25,21,15,27,25,12,89,7,3,0,1,72,19,1,7,1,11,0,0,89,0,57,0,14,24,5,53,11,2,2,32,72,10,4,12,2,66,11,16,6,1,79,21
23,Volyns'ka oblast,UA-07,17,44,10,3,26,20,18,23,27,12,74,16,8,2,0,61,33,2,4,0,85,6,0,9,0,60,0,21,15,4,56,6,4,4,30,70,5,20,5,0,7,0,1,0,92,85,15
24,Zakarpats'ka oblast,UA-21,36,25,10,4,25,18,24,37,14,7,89,5,2,1,3,79,18,2,0,1,89,3,0,8,0,78,0,2,17,3,79,2,2,3,14,87,3,0,1,9,15,0,83,1,1,96,4
