,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,32,19,3,25,24,31,24,21,0,81,6,11,0,2,81,12,1,4,2,90,0,0,10,0,90,0,2,4,4,12,0,88,0,0,92,6,2,0,0,84,8,2,2,4,100,0
1,Chernihivs'ka oblast,UA-74,26,37,5,9,23,26,18,25,30,1,80,8,12,0,0,87,13,0,0,0,91,0,5,4,0,22,0,73,3,2,91,5,0,0,4,84,8,8,0,0,91,0,0,4,5,100,0
2,Chernivets'ka oblast,UA-77,23,28,16,3,30,22,37,33,8,0,89,4,7,0,0,80,18,0,2,0,85,2,2,11,0,93,0,0,5,2,8,1,0,91,0,89,4,7,0,0,98,2,0,0,0,100,0
3,Crimea,UA-43,20,30,16,2,32,29,37,34,0,0,100,0,0,0,0,45,0,0,0,55,100,0,0,0,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,22,31,15,3,29,31,32,36,1,0,68,0,30,0,2,77,2,20,0,1,100,0,0,0,0,90,0,0,3,7,90,4,0,2,4,99,1,0,0,0,95,0,4,1,0,100,0
5,Donetsk Oblast,UA-14,18,33,17,3,29,31,32,35,2,0,97,0,1,2,0,98,0,0,0,2,96,4,0,0,0,99,0,0,0,1,93,2,1,0,4,98,0,2,0,0,98,1,0,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,22,33,18,0,27,26,31,32,11,0,92,3,5,0,0,61,39,0,0,0,97,1,0,2,0,93,0,1,1,5,66,6,3,20,5,12,0,0,0,88,96,4,0,0,0,100,0
7,Kharkiv Oblast,UA-63,20,32,17,3,28,23,28,38,1,10,99,0,1,0,0,98,2,0,0,0,100,0,0,0,0,95,0,0,1,4,99,0,0,0,1,98,2,0,0,0,99,0,0,0,1,100,0
8,Khersons'ka oblast,UA-65,22,31,18,2,27,38,26,30,5,1,80,10,10,0,0,83,3,3,0,11,96,0,0,4,0,3,0,0,97,0,86,3,0,4,7,96,4,0,0,0,86,0,11,0,3,100,0
9,Khmel'nyts'ka oblast,UA-68,19,41,9,3,28,32,23,27,17,1,80,3,17,0,0,77,21,1,0,1,84,1,0,15,0,84,0,1,7,8,9,90,0,1,0,82,1,17,0,0,81,11,3,2,3,100,0
10,Kirovohrads'ka oblast,UA-35,31,21,19,5,24,22,28,38,11,1,76,9,12,3,0,78,13,6,3,0,93,0,0,7,0,83,0,0,7,10,86,11,0,3,0,89,7,4,0,0,17,0,0,83,0,100,0
11,Kyiv city,UA-30,18,30,19,5,28,18,21,26,35,0,86,5,8,0,1,69,29,1,1,0,88,0,0,12,0,77,0,1,11,11,75,7,3,5,10,81,3,11,0,5,76,8,6,1,9,97,3
12,Kyivs'ka oblast,UA-32,20,33,15,4,28,22,17,26,34,1,87,3,10,0,0,91,9,0,0,0,95,0,0,5,0,97,0,0,0,3,84,7,2,1,6,96,0,2,0,2,97,0,2,0,1,47,53
13,Luhans'ka oblast,UA-09,30,28,11,3,28,26,30,42,2,0,99,0,1,0,0,100,0,0,0,0,99,0,1,0,0,96,0,0,0,4,96,4,0,0,0,99,0,1,0,0,99,0,0,0,1,100,0
14,Lviv Oblast,UA-46,20,33,18,3,26,26,28,34,11,1,87,3,9,0,1,8,92,0,0,0,96,0,0,4,0,100,0,0,0,0,87,5,1,4,3,93,0,3,0,4,84,9,2,0,5,100,0
15,Mykolaivs'ka oblast,UA-48,19,28,22,3,28,31,34,33,2,0,89,4,5,0,2,59,3,0,38,0,100,0,0,0,0,68,0,0,32,0,96,2,0,2,0,100,0,0,0,0,91,2,0,7,0,100,0
16,Odessa Oblast,UA-51,21,34,15,3,27,34,32,33,1,0,64,35,1,0,0,95,5,0,0,0,99,0,0,1,0,90,0,0,8,2,96,0,0,0,4,97,2,1,0,0,94,1,5,0,0,100,0
17,Poltavs'ka oblast,UA-53,19,34,16,2,29,28,31,32,8,1,87,2,10,0,1,95,5,0,0,0,95,0,1,4,0,7,0,0,0,93,93,4,1,1,1,86,4,10,0,0,90,0,1,1,8,99,1
18,Rivnens'ka oblast,UA-56,25,36,11,2,26,28,23,31,16,2,73,2,25,0,0,60,38,1,0,1,98,2,0,0,0,90,0,3,5,2,88,5,2,0,5,5,0,95,0,0,58,10,1,0,31,98,2
19,Sevastopol' city,UA-40,35,13,22,5,25,15,47,38,0,0,100,0,0,0,0,3,0,0,0,97,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,15,32,20,4,29,36,25,32,2,5,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,84,0,0,0,16,93,3,0,2,2,24,76,0,0,0,95,0,5,0,0,100,0
21,Ternopil's'ka oblast,UA-61,18,33,20,3,26,27,33,26,12,2,87,4,9,0,0,56,44,0,0,0,95,0,0,5,0,96,0,2,2,0,76,6,0,16,2,81,2,4,0,13,5,95,0,0,0,100,0
22,Vinnyts'ka oblast,UA-05,21,31,14,3,31,27,22,32,19,0,80,8,11,1,0,83,13,1,1,2,7,0,0,93,0,90,0,2,5,3,75,16,2,1,6,87,3,9,0,1,92,2,1,0,5,99,1
23,Volyns'ka oblast,UA-07,18,38,20,3,21,32,21,27,20,0,74,2,22,0,2,56,42,2,0,0,97,0,0,3,0,88,0,6,0,6,88,3,6,3,0,70,2,23,0,5,5,0,0,0,95,97,3
