,geoName,geoCode,a,the,and,be,of,in,to,Київ,Харків,Одеса,Дніпро,Донецьк,Запоріжжя,Львів,Кривий Ріг,Миколаїв,Севастополь,Маріуполь,Луганськ,Вінниця,Макіївка,Сімферополь,Чернігів,Херсон,Полтава,Хмельницький,Черкаси,Чернівці,Житомир,Суми,Рівне,Горлівка,Івано-Франківськ,Тернопіль,Ужгород,Кропивницький,луцьк,Біла Церква
0,Cherkas'ka oblast,UA-71,0.10772501771793054,0.1927710843373494,0.10205527994330262,0.011339475549255847,0.15308291991495393,0.1343556042351223,0.15188024826579044,0.10514786418400877,0.0,0.0067245727094424204,0.022415242364808068,0.0,0.0022415242364808067,0.01971522453450164,0.0,0.006571741511500548,0.0,0.0021183635641466966,0.0,0.014828544949026877,0.0021183635641466966,0.0,0.0021183635641466966,0.00635509069244009,0.010591817820733483,0.0,1.0,0.012048192771084338,0.0,0.0019873307663644266,0.003974661532728853,0.0,0.0,0.0,0.006286013619696176,0.004190675746464117,0.006286013619696176,0.01906527207732027
1,Chernihivs'ka oblast,UA-74,0.23809523809523808,0.3333333333333333,0.12380952380952381,0.0761904761904762,0.18095238095238095,0.3333333333333333,0.34615384615384615,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.08860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012195121951219513,0.012195121951219513,0.03252032520325203,0.016260162601626015,0.013888888888888888,0.0,0.0,0.0,0.0,0.04545454545454545,0.0,0.0,0.0
2,Chernivets'ka oblast,UA-77,0.037825059101654845,0.06382978723404255,0.0591016548463357,0.009456264775413711,0.06619385342789598,0.08592471358428805,0.07610474631751228,0.019639934533551555,0.0,0.0,0.0,0.0,0.0,0.02015677491601344,0.0,0.0,0.0,0.0,0.0,0.004074241738343142,0.0,0.0,0.0019741171309497698,0.0,0.0,0.0,0.0,1.0,0.0,0.002151565861821659,0.002151565861821659,0.0,0.003585943103036099,0.00416281221091582,0.0,0.0,0.001387604070305273,0.0
3,Crimea,UA-43,0.55,0.7857142857142858,0.44523809523809527,0.05238095238095238,0.7857142857142858,0.9377880184331797,0.8110599078341014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050151975683890584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Dnipropetrovsk Oblast,UA-12,0.6666666666666666,1.0,0.5666666666666667,0.13333333333333333,0.9666666666666667,0.8823529411764706,1.0,0.058823529411764705,0.0,0.014705882352941176,0.4411764705882353,0.0,0.014705882352941176,0.05714285714285714,0.3571428571428571,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0813953488372093,0.0813953488372093,0.03191489361702128,0.0,0.0,0.03191489361702128,0.031578947368421054,0.021052631578947368,0.0,0.0,0.010416666666666666,0.0,0.020833333333333332,0.010416666666666666,0.0
5,Donetsk Oblast,UA-14,0.625,1.0,0.5625,0.125,0.8125,0.8888888888888888,0.861111111111111,0.027777777777777776,0.0,0.010416666666666666,0.03125,0.0,0.0,0.010752688172043012,0.0,0.0,0.06451612903225806,0.041666666666666664,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,0.0,0.03125,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Ivano-Frankivs'ka oblast,UA-26,0.06818181818181819,0.13636363636363638,0.08522727272727273,0.01278409090909091,0.12357954545454546,0.11505681818181819,0.13636363636363638,0.034090909090909095,0.004261363636363637,0.0014662756598240471,0.008797653958944282,0.0,0.0,0.09639498432601881,0.0,0.0023510971786833857,0.0,0.0,0.0,0.0013774104683195595,0.0,0.0,0.002964426877470356,0.007411067193675889,0.001482213438735178,0.006818181818181819,0.0,0.02556818181818182,0.0017045454545454547,0.0,0.0,0.0,1.0,0.014438502673796792,0.008021390374331552,0.0,0.0016042780748663102,0.0013774104683195595
7,Kharkiv Oblast,UA-63,0.38636363636363635,0.75,0.38636363636363635,0.11363636363636363,0.6363636363636364,0.9375,1.0,0.03125,0.40625,0.015306122448979591,0.0,0.0,0.0,0.015463917525773196,0.0,0.0,0.007731958762886598,0.0,0.0,0.007575757575757575,0.0,0.0,0.008426966292134831,0.025280898876404497,0.05898876404494382,0.03225806451612903,0.0,0.0,0.024193548387096774,0.03125,0.0,0.0,0.0,0.0,0.015306122448979591,0.0,0.0,0.0
8,Khersons'ka oblast,UA-65,0.03782894736842105,0.05263157894736842,0.02631578947368421,0.008223684210526315,0.039473684210526314,0.04360902255639097,0.048120300751879695,0.006015037593984962,0.0,0.0037151702786377707,0.005572755417956657,0.0,0.0,0.0011318619128466328,0.001697792869269949,0.0011318619128466328,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0,0.0,1.0,0.0,0.006654567453115548,0.0,0.0,0.0012099213551119176,0.0011318619128466328,0.002829654782116582,0.0,0.0,0.0,0.0010741138560687433,0.0,0.0,0.0
9,Khmel'nyts'ka oblast,UA-68,0.07575757575757576,0.11363636363636363,0.050505050505050504,0.006313131313131313,0.06944444444444445,0.09986225895316803,0.09297520661157024,0.034435261707988975,0.0034435261707988977,0.009039256198347107,0.0038739669421487604,0.0,0.0025826446280991736,0.041035353535353536,0.0015782828282828283,0.0015782828282828283,0.0,0.001321353065539112,0.0,0.017177589852008457,0.0,0.0,0.0,0.0,0.002319109461966605,1.0,0.0,0.0,0.022727272727272728,0.004801536491677336,0.0352112676056338,0.0,0.006402048655569782,0.03424657534246575,0.001556662515566625,0.0,0.0062266500622665,0.0
