,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,24,36,17,2,21,28,27,29,14,2,80,8,12,0,0,81,16,1,2,0,92,0,0,8,0,98,0,0,0,2,12,1,86,0,1,96,2,2,0,0,92,4,0,0,4,98,2
1,Chernihivs'ka oblast,UA-74,21,27,20,0,32,19,24,29,27,1,94,0,6,0,0,89,11,0,0,0,94,0,0,6,0,14,0,83,3,0,89,0,6,5,0,63,21,12,0,4,89,0,5,0,6,100,0
2,Chernivets'ka oblast,UA-77,17,32,19,1,31,32,35,25,6,2,97,0,3,0,0,97,3,0,0,0,94,0,0,6,0,91,0,0,6,3,5,0,0,95,0,86,5,3,0,6,79,17,2,0,2,100,0
3,Crimea,UA-43,21,33,17,1,28,35,35,30,0,0,99,1,0,0,0,44,0,0,0,56,100,0,0,0,0,81,0,0,18,1,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,19,3,24,30,35,33,2,0,57,1,39,0,3,61,8,30,0,1,97,1,0,2,0,82,0,0,8,10,91,1,3,0,5,91,1,0,0,8,86,1,7,5,1,100,0
5,Donetsk Oblast,UA-14,20,36,22,2,20,35,34,30,1,0,90,0,9,1,0,90,3,0,0,7,100,0,0,0,0,90,0,0,7,3,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,32,18,5,20,29,25,32,9,5,82,4,8,0,6,55,43,1,1,0,90,6,0,4,0,88,0,2,4,6,75,5,1,19,0,10,0,1,0,89,76,10,11,0,3,98,2
7,Kharkiv Oblast,UA-63,19,27,25,3,26,18,25,25,1,31,96,0,0,0,4,82,15,0,3,0,96,2,2,0,0,68,0,0,4,28,85,6,0,3,6,96,0,2,0,2,96,0,4,0,0,100,0
8,Khersons'ka oblast,UA-65,0,51,12,12,25,28,36,36,0,0,84,16,0,0,0,84,0,0,16,0,100,0,0,0,0,3,0,0,97,0,84,0,0,0,16,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,18,37,15,7,23,34,25,26,14,1,80,4,14,0,2,63,33,1,3,0,83,0,0,17,0,83,0,2,13,2,7,91,0,1,1,77,1,18,0,4,73,16,5,1,5,100,0
10,Kirovohrads'ka oblast,UA-35,9,43,22,9,17,27,27,34,12,0,67,7,23,0,3,65,25,3,7,0,100,0,0,0,0,90,0,0,5,5,70,0,11,11,8,67,11,15,0,7,13,0,0,87,0,100,0
11,Kyiv city,UA-30,17,36,15,3,29,15,14,19,51,1,81,9,8,0,2,47,50,2,1,0,74,1,0,25,0,74,0,3,10,13,55,13,9,5,18,64,2,27,0,7,64,17,8,1,10,93,7
12,Kyivs'ka oblast,UA-32,22,26,22,1,29,13,17,20,50,0,85,4,8,1,2,85,11,2,1,1,97,1,0,2,0,90,0,4,6,0,78,8,4,1,9,86,4,9,0,1,87,2,8,0,3,36,64
13,Luhans'ka oblast,UA-09,25,33,17,0,25,31,41,25,0,3,100,0,0,0,0,93,5,0,0,2,100,0,0,0,0,98,0,0,0,2,98,0,0,0,2,100,0,0,0,0,98,0,2,0,0,100,0
14,Lviv Oblast,UA-46,19,36,16,3,26,25,30,33,11,1,80,5,11,1,3,8,92,0,0,0,91,2,0,7,0,80,0,2,5,13,68,7,4,18,3,72,3,18,0,7,58,9,17,1,15,100,0
15,Mykolaivs'ka oblast,UA-48,14,47,16,0,23,35,32,27,6,0,84,8,0,4,4,40,8,1,50,1,96,0,0,4,0,73,0,0,27,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0
16,Odessa Oblast,UA-51,16,33,15,5,31,29,34,35,2,0,48,49,2,0,1,89,8,1,2,0,96,0,1,3,0,81,0,0,17,2,91,3,1,5,0,99,0,1,0,0,96,0,4,0,0,100,0
17,Poltavs'ka oblast,UA-53,21,38,17,5,19,29,23,31,12,5,83,2,15,0,0,85,15,0,0,0,85,2,0,13,0,4,0,0,0,96,70,7,9,7,7,76,14,10,0,0,71,0,17,1,11,95,5
18,Rivnens'ka oblast,UA-56,22,29,19,4,26,20,24,36,18,2,89,0,8,3,0,66,30,2,2,0,97,3,0,0,0,89,0,3,6,2,79,7,0,7,7,4,0,96,0,0,54,3,3,1,39,100,0
19,Sevastopol' city,UA-40,30,33,19,2,16,36,38,26,0,0,100,0,0,0,0,4,0,0,0,96,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,25,29,16,6,24,25,34,31,9,1,87,0,13,0,0,81,19,0,0,0,100,0,0,0,0,70,0,5,0,25,93,0,3,0,4,13,87,0,0,0,87,0,13,0,0,100,0
21,Ternopil's'ka oblast,UA-61,26,34,12,4,24,30,28,28,8,6,84,0,13,0,3,50,47,3,0,0,93,0,0,7,0,87,0,0,7,6,73,5,0,17,5,75,0,14,0,11,5,95,0,0,0,100,0
22,Vinnyts'ka oblast,UA-05,15,35,23,3,24,30,28,29,12,1,85,5,7,0,3,79,20,1,0,0,9,0,0,91,0,87,0,1,6,6,67,9,1,9,14,92,0,8,0,0,87,4,3,3,3,97,3
