,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,33,14,3,29,26,16,33,25,0,80,4,14,2,0,75,19,2,3,1,82,10,2,6,0,75,0,5,11,9,13,0,87,0,0,94,4,2,0,0,91,2,7,0,0,98,2
1,Chernihivs'ka oblast,UA-74,22,35,15,0,28,23,16,21,40,0,92,0,8,0,0,85,15,0,0,0,85,0,0,15,0,29,0,71,0,0,79,7,0,0,14,85,15,0,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,18,28,15,5,34,26,26,34,13,1,82,2,14,2,0,74,19,0,7,0,89,3,0,8,0,76,0,2,12,10,6,0,0,94,0,86,9,0,0,5,82,11,5,0,2,97,3
3,Crimea,UA-43,19,34,21,4,22,37,33,29,1,0,99,0,1,0,0,46,0,0,0,54,100,0,0,0,0,86,0,0,14,0,99,0,0,0,1,99,0,1,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,38,15,1,28,37,27,32,3,1,53,2,41,1,3,61,11,26,2,0,92,2,0,6,0,56,0,0,28,16,91,2,0,2,5,90,2,3,0,5,80,2,15,2,1,100,0
5,Donetsk Oblast,UA-14,23,37,20,1,19,38,30,32,0,0,96,0,3,0,1,89,5,1,1,4,100,0,0,0,0,75,0,0,7,18,92,0,0,1,7,100,0,0,0,0,91,1,7,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,24,31,17,2,26,27,25,31,14,3,78,5,11,1,5,59,35,2,3,1,80,14,1,5,0,83,0,1,13,3,72,3,2,17,6,13,2,0,0,85,76,9,10,0,5,97,3
7,Kharkiv Oblast,UA-63,17,27,25,1,30,25,29,19,0,27,93,0,5,2,0,86,10,0,0,4,100,0,0,0,0,36,0,0,6,58,84,5,7,2,2,93,5,0,0,2,82,0,12,4,2,100,0
8,Khersons'ka oblast,UA-65,17,31,18,4,30,42,18,40,0,0,87,9,0,0,4,83,9,0,0,8,91,5,0,4,0,4,0,0,96,0,100,0,0,0,0,95,0,5,0,0,87,0,4,9,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,31,19,1,24,23,25,32,19,1,75,7,12,1,5,69,30,1,0,0,69,12,0,19,0,76,0,1,12,11,8,90,0,1,1,72,1,24,0,3,69,24,6,1,0,98,2
10,Kirovohrads'ka oblast,UA-35,22,32,18,5,23,30,28,27,12,3,81,3,14,0,2,70,15,5,10,0,91,3,0,6,0,76,0,2,3,19,81,11,6,2,0,81,5,14,0,0,20,0,0,80,0,100,0
11,Kyiv city,UA-30,14,38,14,5,29,19,16,17,48,0,85,8,6,0,1,80,17,1,2,0,82,3,0,15,0,71,0,4,15,10,74,7,7,3,9,89,2,5,0,4,80,2,13,1,4,97,3
12,Kyivs'ka oblast,UA-32,18,28,21,2,31,18,16,19,46,1,74,5,14,6,1,84,13,0,2,1,84,8,0,8,0,79,0,4,13,4,71,12,5,5,7,92,4,3,0,1,84,5,9,1,1,28,72
13,Luhans'ka oblast,UA-09,28,29,13,3,27,29,41,29,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,76,0,0,12,12,95,0,0,0,5,95,0,5,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,19,34,14,4,29,24,26,31,17,2,73,9,15,1,2,7,92,0,1,0,68,9,0,23,0,62,0,4,17,17,50,13,5,16,16,58,4,27,0,11,45,21,16,2,16,94,6
15,Mykolaivs'ka oblast,UA-48,22,34,21,4,19,33,40,25,0,2,73,18,9,0,0,51,4,0,45,0,96,0,0,4,0,56,0,0,42,2,96,0,0,0,4,93,0,4,0,3,81,0,16,3,0,100,0
16,Odessa Oblast,UA-51,19,38,16,3,24,36,31,31,2,0,60,40,0,0,0,84,10,0,5,1,97,1,0,2,0,77,0,0,21,2,96,1,1,1,1,99,1,0,0,0,89,0,9,1,1,99,1
