,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,33,17,4,25,27,26,25,22,0,81,5,13,1,0,89,10,0,1,0,91,0,0,6,3,92,0,0,5,3,11,0,89,0,0,91,7,1,0,1,91,1,0,5,3,100,0
1,Chernihivs'ka oblast,UA-74,21,32,21,2,24,27,30,24,19,0,95,0,5,0,0,95,5,0,0,0,93,3,0,2,2,28,0,70,2,0,98,0,0,2,0,89,7,4,0,0,95,0,0,5,0,98,2
2,Chernivets'ka oblast,UA-77,17,35,14,2,32,32,35,29,4,0,91,3,3,0,3,82,18,0,0,0,95,0,0,5,0,99,0,0,0,1,8,0,0,92,0,91,3,3,0,3,94,6,0,0,0,100,0
3,Crimea,UA-43,22,31,19,1,27,32,32,36,0,0,99,1,0,0,0,47,0,0,0,53,100,0,0,0,0,96,0,0,2,2,97,1,0,0,2,99,0,1,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,31,19,3,28,31,33,34,2,0,71,0,28,0,1,73,8,19,0,0,100,0,0,0,0,90,0,0,3,7,98,1,0,0,1,97,1,0,0,2,92,2,3,3,0,100,0
5,Donetsk Oblast,UA-14,21,35,14,2,28,38,30,32,0,0,98,0,2,0,0,95,3,0,0,2,91,8,0,1,0,95,0,0,2,3,96,2,0,0,2,98,1,1,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,16,37,17,3,27,33,27,28,10,2,90,2,8,0,0,58,42,0,0,0,95,1,0,4,0,99,0,0,0,1,79,7,1,13,0,13,0,0,0,87,83,11,3,1,2,100,0
7,Kharkiv Oblast,UA-63,17,32,17,3,31,25,30,34,0,11,98,0,1,0,1,95,4,0,0,1,100,0,0,0,0,89,0,0,2,9,98,1,0,0,1,97,2,1,0,0,98,0,2,0,0,100,0
8,Khersons'ka oblast,UA-65,14,40,18,1,27,37,32,27,4,0,95,4,1,0,0,85,9,3,3,0,97,2,0,1,0,4,0,0,96,0,93,2,0,3,2,99,1,0,0,0,92,3,5,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,20,32,18,3,27,34,28,27,10,1,87,7,5,0,1,65,35,0,0,0,88,1,0,11,0,93,0,1,5,1,9,88,0,1,2,76,6,13,0,5,81,15,2,0,2,100,0
10,Kirovohrads'ka oblast,UA-35,25,27,18,4,26,34,33,24,7,2,65,7,26,0,2,74,24,2,0,0,97,0,0,3,0,80,0,0,12,8,76,9,5,5,5,94,3,3,0,0,15,0,0,85,0,100,0
11,Kyiv city,UA-30,18,35,17,3,27,21,21,26,32,0,88,6,5,0,1,63,35,1,1,0,85,0,0,15,0,71,0,1,14,14,67,8,5,7,13,74,2,16,0,8,74,8,7,1,10,97,3
12,Kyivs'ka oblast,UA-32,20,36,17,3,24,22,19,24,35,0,92,1,7,0,0,82,15,1,0,2,99,0,0,1,0,89,0,2,2,7,87,3,1,1,8,93,3,1,0,3,96,1,1,0,2,44,56
13,Luhans'ka oblast,UA-09,24,32,15,4,25,36,31,31,1,1,99,1,0,0,0,98,1,0,0,1,100,0,0,0,0,95,0,0,1,4,97,1,0,1,1,98,0,2,0,0,98,1,1,0,0,100,0
14,Lviv Oblast,UA-46,18,34,18,4,26,31,29,30,8,2,87,5,7,0,1,7,93,0,0,0,97,0,0,3,0,98,0,1,1,0,89,4,2,1,4,84,4,10,0,2,77,10,5,1,7,98,2
15,Mykolaivs'ka oblast,UA-48,22,35,16,2,25,39,30,28,2,1,85,6,6,3,0,62,3,0,35,0,99,0,0,1,0,76,0,1,22,1,94,1,0,0,5,100,0,0,0,0,98,0,1,1,0,99,1
16,Odessa Oblast,UA-51,19,35,15,3,28,31,32,35,2,0,59,40,1,0,0,93,5,0,0,2,95,0,0,5,0,84,0,0,13,3,97,2,1,0,0,99,1,0,0,0,95,2,2,0,1,100,0
17,Poltavs'ka oblast,UA-53,17,33,18,4,28,30,30,30,8,2,88,4,7,0,1,87,9,1,1,2,97,0,0,3,0,6,0,0,0,94,86,4,1,1,8,87,5,7,0,1,90,0,2,2,6,100,0
18,Rivnens'ka oblast,UA-56,22,33,14,6,25,26,27,31,16,0,81,3,13,0,3,63,37,0,0,0,92,0,0,8,0,98,0,0,0,2,81,5,0,5,9,5,0,95,0,0,53,10,3,0,34,100,0
19,Sevastopol' city,UA-40,11,37,14,1,37,37,33,30,0,0,100,0,0,0,0,4,0,0,0,96,100,0,0,0,0,92,0,0,8,0,96,0,0,0,4,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,22,34,14,3,27,33,30,35,2,0,95,0,5,0,0,93,7,0,0,0,96,0,0,4,0,87,0,1,2,10,91,5,3,1,0,29,71,0,0,0,96,0,1,1,2,100,0
21,Ternopil's'ka oblast,UA-61,21,30,20,4,25,28,32,29,10,1,82,8,6,3,1,58,42,0,0,0,97,0,0,3,0,97,0,0,0,3,75,9,1,13,2,82,0,9,0,9,5,95,0,0,0,100,0
22,Vinnyts'ka oblast,UA-05,17,35,16,2,30,30,28,30,12,0,83,7,6,1,3,87,11,0,2,0,10,0,0,90,0,91,0,1,4,4,75,10,4,4,7,83,3,13,0,1,91,1,1,0,7,98,2
23,Volyns'ka oblast,UA-07,20,34,15,6,25,31,19,31,19,0,74,10,16,0,0,58,42,0,0,0,95,0,0,5,0,95,0,2,3,0,85,7,0,6,2,83,0,15,0,2,5,0,0,0,95,100,0
24,Zakarpats'ka oblast,UA-21,38,28,13,2,19,30,29,29,12,0,87,4,6,3,0,68,32,0,0,0,99,0,0,1,0,97,0,1,2,0,96,3,0,1,0,90,5,1,0,4,12,0,88,0,0,100,0
25,Zaporiz'ka oblast,UA-23,21,31,18,5,25,28,35,36,1,0,57,1,0,0,42,91,5,0,0,4,98,1,0,1,0,90,0,0,5,5,96,0,1,1,2,99,1,0,0,0,95,1,2,1,1,99,1
26,Zhytomyrs'ka oblast,UA-18,22,34,17,2,25,28,27,24,21,0,90,0,8,0,2,82,17,0,0,1,94,0,0,6,0,92,0,0,2,6,5,0,0,0,95,89,4,6,0,1,87,0,3,0,10,98,2
