,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,35,17,3,24,29,28,26,16,1,81,8,6,0,5,77,14,6,3,0,85,9,1,5,0,86,0,0,11,3,15,0,85,0,0,93,7,0,0,0,95,0,0,3,2,95,5
1,Chernihivs'ka oblast,UA-74,23,27,19,4,27,23,31,23,23,0,90,5,5,0,0,79,17,0,0,4,86,4,0,10,0,23,0,75,0,2,95,5,0,0,0,90,5,5,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,24,37,15,3,21,26,35,28,10,1,96,2,0,0,2,86,11,3,0,0,89,5,0,6,0,83,0,1,13,3,9,0,0,91,0,86,7,2,0,5,88,5,4,0,3,100,0
3,Crimea,UA-43,22,29,26,2,21,27,34,38,1,0,100,0,0,0,0,45,0,0,0,55,100,0,0,0,0,91,0,0,6,3,99,0,0,0,1,100,0,0,0,0,99,0,1,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,35,16,4,25,35,28,32,5,0,54,0,42,0,4,66,10,23,0,1,96,0,0,4,0,70,0,2,18,10,89,2,1,2,6,93,4,2,0,1,91,0,8,1,0,100,0
5,Donetsk Oblast,UA-14,23,31,19,1,26,30,33,37,0,0,93,0,6,0,1,88,7,0,0,5,96,0,0,4,0,91,0,0,6,3,100,0,0,0,0,100,0,0,0,0,96,0,2,0,2,100,0
6,Ivano-Frankivs'ka oblast,UA-26,20,33,12,3,32,23,25,30,19,3,77,10,5,0,8,43,52,4,1,0,81,12,0,7,0,65,0,8,13,14,81,3,1,15,0,13,0,0,0,87,75,17,8,0,0,98,2
7,Kharkiv Oblast,UA-63,17,37,15,3,28,21,27,25,2,25,94,2,2,0,2,90,8,0,0,2,98,0,0,2,0,61,0,1,1,37,92,0,0,4,4,96,4,0,0,0,96,2,2,0,0,100,0
8,Khersons'ka oblast,UA-65,26,34,12,0,28,36,34,28,0,2,89,11,0,0,0,85,5,10,0,0,100,0,0,0,0,4,0,0,96,0,89,5,0,6,0,95,0,0,0,5,89,0,11,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,16,40,16,4,24,31,24,25,17,3,79,13,4,1,3,60,30,8,2,0,79,5,0,16,0,86,0,0,10,4,8,90,0,1,1,70,6,20,0,4,79,9,4,3,5,100,0
10,Kirovohrads'ka oblast,UA-35,24,28,13,3,32,28,41,22,8,1,90,2,3,0,5,79,6,11,2,2,91,2,0,7,0,82,0,0,4,14,88,2,2,5,3,82,7,7,2,2,25,1,0,74,0,100,0
11,Kyiv city,UA-30,18,34,17,2,29,17,15,19,48,1,80,7,9,1,3,74,22,2,2,0,83,2,0,15,0,73,0,0,22,5,76,5,4,4,11,87,9,3,0,1,79,4,11,2,4,95,5
12,Kyivs'ka oblast,UA-32,21,29,15,6,29,16,19,16,49,0,82,7,9,0,2,79,15,5,1,0,85,4,1,10,0,76,0,6,13,5,82,2,2,0,14,90,3,3,1,3,89,3,4,0,4,33,67
13,Luhans'ka oblast,UA-09,18,26,19,3,34,39,28,33,0,0,100,0,0,0,0,96,0,0,0,4,100,0,0,0,0,91,0,0,9,0,96,4,0,0,0,100,0,0,0,0,96,0,4,0,0,100,0
14,Lviv Oblast,UA-46,22,31,17,5,25,23,24,30,21,2,71,9,13,1,6,8,91,0,1,0,68,8,1,23,0,63,0,5,12,20,50,13,7,15,15,56,4,28,0,12,46,19,20,2,13,94,6
15,Mykolaivs'ka oblast,UA-48,20,30,8,3,39,26,34,38,2,0,80,20,0,0,0,61,13,0,26,0,96,0,0,4,0,72,0,0,22,6,96,0,0,0,4,100,0,0,0,0,86,7,0,4,3,100,0
16,Odessa Oblast,UA-51,20,33,17,3,27,33,34,31,2,0,56,44,0,0,0,84,4,0,7,5,95,1,0,4,0,76,0,0,21,3,93,2,1,0,4,99,0,0,0,1,87,0,12,1,0,100,0
17,Poltavs'ka oblast,UA-53,22,31,20,3,24,26,32,27,10,5,86,7,5,0,2,82,9,5,2,2,89,4,0,7,0,9,0,0,1,90,94,1,3,1,1,83,12,3,0,2,84,2,10,0,4,100,0
18,Rivnens'ka oblast,UA-56,21,30,21,7,21,22,23,29,25,1,79,9,6,0,6,45,42,8,5,0,66,22,0,12,0,77,0,2,15,6,71,11,2,8,8,4,0,96,0,0,48,5,0,1,46,100,0
19,Sevastopol' city,UA-40,14,34,22,4,26,32,32,36,0,0,100,0,0,0,0,3,0,0,0,97,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,17,43,16,1,23,33,32,20,15,0,92,0,8,0,0,96,4,0,0,0,96,0,0,4,0,66,0,2,12,20,86,0,11,3,0,21,78,1,0,0,96,0,0,4,0,100,0
21,Ternopil's'ka oblast,UA-61,22,31,15,5,27,23,25,32,16,4,78,4,2,6,10,51,37,10,1,1,87,9,0,4,0,82,0,4,8,6,75,5,0,16,4,82,0,12,2,4,7,93,0,0,0,100,0
