,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,19,37,13,5,26,29,25,26,20,0,86,0,10,2,2,84,12,2,2,0,92,2,0,6,0,94,0,0,0,6,12,0,88,0,0,88,6,6,0,0,90,6,2,0,2,96,4
1,Chernihivs'ka oblast,UA-74,20,30,11,3,36,25,29,24,21,1,93,0,7,0,0,90,7,3,0,0,84,3,0,13,0,30,0,66,1,3,90,10,0,0,0,90,7,3,0,0,93,3,0,4,0,100,0
2,Chernivets'ka oblast,UA-77,20,27,16,2,35,25,33,34,8,0,93,2,5,0,0,80,18,0,2,0,96,2,0,2,0,93,0,0,5,2,8,0,0,92,0,96,0,2,0,2,91,7,0,0,2,100,0
3,Crimea,UA-43,18,32,18,2,30,28,40,32,0,0,100,0,0,0,0,53,1,0,0,46,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,36,15,2,26,35,33,31,1,0,68,1,29,0,2,81,4,15,0,0,100,0,0,0,0,91,0,0,3,6,98,2,0,0,0,97,0,1,0,2,97,0,3,0,0,100,0
5,Donetsk Oblast,UA-14,23,32,18,3,24,31,36,32,1,0,97,2,1,0,0,96,2,0,0,2,90,10,0,0,0,94,0,0,2,4,96,1,0,0,3,99,1,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,29,24,4,18,23,29,33,15,0,76,11,7,5,1,55,43,0,2,0,100,0,0,0,0,98,0,0,0,2,76,7,3,11,3,9,0,1,0,90,78,12,7,0,3,100,0
7,Kharkiv Oblast,UA-63,19,33,18,2,28,28,26,32,0,14,98,2,0,0,0,93,6,1,0,0,99,1,0,0,0,90,0,0,2,8,94,1,0,0,5,98,2,0,0,0,96,0,3,1,0,100,0
8,Khersons'ka oblast,UA-65,20,29,20,2,29,29,31,39,0,1,100,0,0,0,0,87,2,0,5,6,97,0,0,3,0,4,0,0,96,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,18,40,15,2,25,35,28,26,11,0,88,4,6,0,2,78,21,0,0,1,84,2,0,14,0,96,0,0,4,0,8,90,0,1,1,74,5,20,0,1,77,19,0,3,1,100,0
10,Kirovohrads'ka oblast,UA-35,13,33,25,1,28,35,33,23,8,1,65,19,16,0,0,78,9,10,3,0,96,0,0,4,0,75,0,3,6,16,86,0,11,0,3,89,0,7,0,4,19,0,2,77,2,100,0
11,Kyiv city,UA-30,18,34,17,3,28,22,21,25,32,0,88,5,6,0,1,60,39,0,1,0,85,1,0,14,0,72,0,1,12,15,69,6,5,6,14,75,4,14,0,7,69,12,7,2,10,95,5
12,Kyivs'ka oblast,UA-32,21,33,16,4,26,20,23,21,36,0,91,3,4,1,1,89,9,1,0,1,96,0,1,3,0,95,0,0,2,3,90,3,0,0,7,93,4,2,0,1,95,0,1,0,4,41,59
13,Luhans'ka oblast,UA-09,22,30,17,4,27,34,31,33,2,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,98,0,0,2,0,96,0,0,0,4,94,0,4,0,2,92,0,4,0,4,100,0
14,Lviv Oblast,UA-46,19,32,18,3,28,26,32,35,7,0,87,3,9,1,0,9,91,0,0,0,96,0,0,4,0,95,0,0,3,2,87,4,0,6,3,85,2,7,0,6,79,8,4,0,9,99,1
15,Mykolaivs'ka oblast,UA-48,22,28,21,3,26,26,33,38,3,0,84,12,3,0,1,61,1,2,36,0,93,4,0,3,0,71,0,0,27,2,97,2,0,0,1,99,0,0,0,1,97,1,0,0,2,99,1
16,Odessa Oblast,UA-51,21,33,14,4,28,31,33,35,1,0,62,37,1,0,0,94,4,0,1,1,97,0,0,3,0,88,0,2,10,0,95,2,1,0,2,96,3,1,0,0,98,0,1,0,1,100,0
17,Poltavs'ka oblast,UA-53,19,33,16,4,28,34,28,28,8,2,87,2,7,1,3,84,10,3,3,0,87,3,0,10,0,7,0,0,0,93,83,7,3,1,6,84,3,12,0,1,88,2,1,0,9,97,3
18,Rivnens'ka oblast,UA-56,20,30,18,8,24,25,26,28,20,1,89,6,0,5,0,61,37,0,0,2,100,0,0,0,0,91,0,0,3,6,74,12,0,2,12,4,0,96,0,0,59,4,0,0,37,100,0
19,Sevastopol' city,UA-40,22,32,15,7,24,30,46,24,0,0,100,0,0,0,0,6,0,0,0,94,100,0,0,0,0,90,0,0,3,7,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,18,33,14,2,33,31,32,27,7,3,92,4,0,0,4,91,9,0,0,0,96,2,0,2,0,86,0,1,1,12,91,3,0,0,6,27,73,0,0,0,87,1,6,4,2,100,0
21,Ternopil's'ka oblast,UA-61,23,34,9,1,33,24,34,32,10,0,85,1,11,0,3,59,40,0,1,0,97,0,0,3,0,95,0,0,5,0,81,13,0,3,3,81,1,10,0,8,7,93,0,0,0,100,0
22,Vinnyts'ka oblast,UA-05,21,30,18,2,29,26,32,28,13,1,89,8,2,0,1,86,12,1,1,0,11,0,0,89,0,90,0,0,4,6,89,5,0,0,6,94,2,4,0,0,94,0,1,1,4,99,1
23,Volyns'ka oblast,UA-07,20,35,21,5,19,36,21,31,12,0,75,8,11,3,3,59,38,0,0,3,96,4,0,0,0,96,0,0,4,0,69,18,3,7,3,53,2,43,0,2,3,0,0,0,97,100,0
24,Zakarpats'ka oblast,UA-21,44,24,11,1,20,31,34,29,6,0,87,3,9,0,1,69,30,0,1,0,97,0,0,3,0,99,0,0,1,0,93,0,0,5,2,92,3,2,0,3,16,0,84,0,0,100,0
25,Zaporiz'ka oblast,UA-23,19,32,16,4,29,34,33,31,2,0,61,0,2,0,37,95,3,0,1,1,100,0,0,0,0,93,0,0,3,4,98,0,1,0,1,99,1,0,0,0,99,0,0,0,1,100,0
26,Zhytomyrs'ka oblast,UA-18,21,39,11,8,21,33,24,26,17,0,86,6,6,0,2,88,12,0,0,0,86,2,0,12,0,94,0,6,0,0,4,0,0,0,96,86,6,2,3,3,83,6,6,0,5,94,6
