,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,20,34,18,3,25,29,24,26,19,2,81,5,14,0,0,81,16,1,2,0,90,0,0,10,0,90,0,1,7,2,13,0,87,0,0,98,2,0,0,0,89,2,1,7,1,95,5
1,Chernihivs'ka oblast,UA-74,12,46,12,2,28,34,28,18,19,1,92,6,2,0,0,96,4,0,0,0,92,0,0,6,2,32,0,66,2,0,92,0,2,0,6,87,5,8,0,0,84,7,4,2,3,98,2
2,Chernivets'ka oblast,UA-77,17,33,13,4,33,30,26,32,12,0,89,5,6,0,0,81,18,1,0,0,93,0,0,7,0,97,0,0,3,0,7,0,0,93,0,91,3,1,0,5,91,8,0,0,1,100,0
3,Crimea,UA-43,21,29,17,3,30,30,37,33,0,0,99,1,0,0,0,37,0,0,0,63,100,0,0,0,0,98,1,0,0,1,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,16,3,27,36,29,33,2,0,72,1,25,0,2,72,7,21,0,0,99,0,0,1,0,96,0,0,1,3,95,2,1,1,1,97,1,1,0,1,94,2,2,1,1,100,0
5,Donetsk Oblast,UA-14,19,35,15,2,29,37,30,32,1,0,98,0,2,0,0,96,2,0,0,2,89,10,0,1,0,92,0,0,4,4,99,1,0,0,0,97,3,0,0,0,97,1,1,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,24,35,16,3,22,27,28,34,11,0,82,6,10,0,2,54,46,0,0,0,98,0,0,2,0,94,0,0,2,4,66,5,0,25,4,11,0,0,0,89,88,8,1,0,3,99,1
7,Kharkiv Oblast,UA-63,19,32,18,3,28,26,27,32,1,14,97,1,2,0,0,95,2,0,1,2,100,0,0,0,0,90,0,0,1,9,96,1,0,0,3,95,2,2,0,1,97,0,3,0,0,100,0
8,Khersons'ka oblast,UA-65,15,35,18,8,24,34,31,31,3,1,90,6,4,0,0,90,2,2,0,6,98,0,0,2,0,4,0,0,96,0,94,2,0,0,4,100,0,0,0,0,87,0,10,0,3,100,0
9,Khmel'nyts'ka oblast,UA-68,19,41,13,3,24,35,26,22,16,1,85,6,8,0,1,70,29,0,0,1,92,0,0,8,0,96,0,1,2,1,9,90,0,1,0,76,1,21,0,2,80,16,2,0,2,99,1
10,Kirovohrads'ka oblast,UA-35,18,32,21,2,27,34,31,24,10,1,75,8,16,0,1,75,14,10,1,0,86,0,0,14,0,85,0,0,11,4,87,4,7,0,2,83,4,9,0,4,18,0,1,81,0,98,2
11,Kyiv city,UA-30,19,33,18,3,27,21,21,24,34,0,87,6,6,0,1,63,36,1,0,0,89,0,0,11,0,71,0,1,15,13,70,5,5,7,13,76,2,15,0,7,70,11,7,1,11,97,3
12,Kyivs'ka oblast,UA-32,15,36,20,3,26,22,20,23,35,0,90,3,5,0,2,89,10,0,0,1,96,0,0,4,0,92,0,1,3,4,86,2,3,2,7,97,0,3,0,0,88,3,5,0,4,39,61
13,Luhans'ka oblast,UA-09,20,37,17,1,25,41,26,31,2,0,98,0,2,0,0,97,1,0,0,2,99,0,1,0,0,97,0,0,1,2,97,2,0,0,1,99,1,0,0,0,96,0,4,0,0,100,0
14,Lviv Oblast,UA-46,19,32,18,4,27,29,29,32,9,1,86,2,12,0,0,4,96,0,0,0,96,0,0,4,0,94,0,0,4,2,85,4,2,5,4,87,2,5,0,6,77,10,4,0,9,100,0
15,Mykolaivs'ka oblast,UA-48,21,31,21,3,24,38,28,33,1,0,84,14,1,1,0,54,5,0,41,0,97,0,0,3,0,71,0,0,28,1,95,0,0,1,4,96,3,1,0,0,95,1,4,0,0,100,0
16,Odessa Oblast,UA-51,21,31,18,3,27,34,31,34,1,0,58,42,0,0,0,94,4,0,1,1,99,0,0,1,0,94,0,0,6,0,96,2,0,1,1,97,3,0,0,0,96,2,2,0,0,100,0
17,Poltavs'ka oblast,UA-53,16,31,19,3,31,29,30,26,12,3,89,3,6,0,2,88,6,1,2,3,91,0,0,9,0,5,0,0,0,95,90,4,3,0,3,74,6,18,0,2,82,1,5,2,10,99,1
18,Rivnens'ka oblast,UA-56,20,36,19,3,22,31,23,22,23,1,86,6,6,1,1,67,33,0,0,0,94,0,0,6,0,91,0,0,4,5,84,3,3,3,7,5,0,95,0,0,57,3,2,0,38,100,0
19,Sevastopol' city,UA-40,22,36,12,1,29,39,22,39,0,0,100,0,0,0,0,4,0,0,0,96,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
