,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,20,36,14,8,22,29,21,25,25,0,82,2,10,4,2,77,17,2,4,0,88,0,0,12,0,90,0,0,5,5,12,1,86,0,1,86,5,9,0,0,95,2,3,0,0,90,10
1,Chernihivs'ka oblast,UA-74,14,40,14,2,30,36,26,19,18,1,96,0,4,0,0,86,7,7,0,0,92,4,0,4,0,32,0,65,1,2,86,7,0,3,4,92,4,4,0,0,86,11,0,3,0,100,0
2,Chernivets'ka oblast,UA-77,20,28,20,1,31,26,31,36,6,1,93,0,5,0,2,73,27,0,0,0,95,0,2,3,0,95,0,0,3,2,6,0,0,94,0,88,2,8,0,2,88,2,5,0,5,100,0
3,Crimea,UA-43,22,29,16,2,31,29,39,32,0,0,100,0,0,0,0,51,1,0,0,48,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,33,16,2,28,38,33,29,0,0,69,1,29,0,1,72,6,22,0,0,98,0,0,2,0,89,0,0,5,6,97,2,0,1,0,97,1,1,0,1,92,0,7,1,0,100,0
5,Donetsk Oblast,UA-14,25,31,18,3,23,28,42,28,2,0,98,0,1,1,0,96,2,0,0,2,93,7,0,0,0,94,0,0,1,5,98,0,0,0,2,100,0,0,0,0,99,0,0,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,23,33,20,5,19,26,29,28,15,2,84,8,7,1,0,47,51,0,2,0,94,0,4,2,0,98,0,0,0,2,74,5,1,19,1,10,0,0,0,90,78,10,7,0,5,98,2
7,Kharkiv Oblast,UA-63,19,30,20,3,28,24,28,33,1,14,98,2,0,0,0,97,3,0,0,0,99,0,0,1,0,91,0,0,3,6,96,1,0,0,3,96,2,2,0,0,93,0,6,0,1,100,0
8,Khersons'ka oblast,UA-65,22,33,20,4,21,37,34,28,0,1,98,0,0,0,2,90,2,0,6,2,98,0,0,2,0,5,0,0,95,0,90,2,3,0,5,100,0,0,0,0,95,0,0,3,2,100,0
9,Khmel'nyts'ka oblast,UA-68,17,46,11,0,26,38,30,21,10,1,81,9,5,0,5,76,24,0,0,0,84,0,0,16,0,94,0,2,4,0,9,89,0,1,1,77,3,17,0,3,77,17,1,4,1,98,2
10,Kirovohrads'ka oblast,UA-35,18,33,17,4,28,41,30,20,8,1,60,12,23,0,5,81,8,8,3,0,96,0,0,4,0,81,0,0,8,11,92,4,4,0,0,92,4,4,0,0,19,0,0,81,0,100,0
11,Kyiv city,UA-30,18,35,15,4,28,22,21,24,33,0,90,4,5,0,1,59,40,1,0,0,84,1,0,15,0,71,0,2,13,14,68,8,5,6,13,77,4,13,0,6,71,10,8,1,10,96,4
