,geoName,geoCode,a,the,and,be,of,in,to,Київ,Харків,Одеса,Дніпро,Донецьк,Запоріжжя,Львів,Кривий Ріг,Миколаїв,Севастополь,Маріуполь,Луганськ,Вінниця,Макіївка,Сімферополь,Чернігів,Херсон,Полтава,Хмельницький,Черкаси,Чернівці,Житомир,Суми,Рівне,Горлівка,Івано-Франківськ,Тернопіль,Ужгород,Кропивницький,луцьк,Біла Церква
0,Cherkas'ka oblast,UA-71,0.05831230726100365,0.14942528735632185,0.08017942248388002,0.0,0.07653490328006729,0.09806034482758622,0.1447557471264368,0.06537356321839081,0.009339080459770116,0.0016789358129923803,0.010073614877954282,0.0,0.006715743251969521,0.035488505747126434,0.0,0.001867816091954023,0.0,0.003179261433113231,0.0,0.006358522866226462,0.0,0.0,0.001778872468527641,0.023125342090859334,0.003557744937055282,0.0,1.0,0.0,0.0,0.009537784299339692,0.0,0.0,0.0,0.0,0.003113026819923372,0.0,0.003113026819923372,0.009537784299339692
1,Chernihivs'ka oblast,UA-74,0.10006253908692934,0.25641025641025644,0.11257035647279551,0.006253908692933084,0.150093808630394,0.1087801087801088,0.24864024864024867,0.13986013986013987,0.023310023310023315,0.0,0.0723208415516108,0.0,0.0,0.028490028490028494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.025641025641025644,0.0,0.008547008547008548,0.0,0.019943019943019943,0.01929969671905156,0.0,0.0,0.0,0.01929969671905156,0.0,0.0,0.0,0.0
2,Chernivets'ka oblast,UA-77,0.03125,0.05263157894736842,0.02138157894736842,0.006578947368421052,0.05263157894736842,0.05458089668615984,0.07017543859649122,0.007797270955165692,0.009746588693957114,0.0,0.00706033376123235,0.0,0.004492939666238768,0.016781083142639208,0.0,0.004576659038901602,0.002288329519450801,0.0,0.0,0.009287925696594427,0.0,0.0,0.001998667554963358,0.009993337774816789,0.001998667554963358,0.0,0.0,1.0,0.0,0.0,0.0018575851393188853,0.0,0.007430340557275541,0.004847645429362881,0.0020775623268698058,0.004847645429362881,0.004847645429362881,0.0
3,Crimea,UA-43,0.717948717948718,0.9230769230769231,0.3333333333333333,0.07692307692307693,0.5128205128205128,0.717948717948718,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009324009324009324,0.0,0.0,0.011396011396011395,0.19373219373219372,0.011396011396011395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Dnipropetrovsk Oblast,UA-12,0.45454545454545453,0.8333333333333333,0.5303030303030303,0.10101010101010101,0.6060606060606061,0.888888888888889,1.0,0.05555555555555556,0.0,0.031446540880503145,0.6446540880503144,0.0,0.06289308176100629,0.11904761904761904,0.5208333333333333,0.0,0.01488095238095238,0.01773049645390071,0.0,0.03546099290780142,0.0,0.0,0.0,0.10683760683760683,0.1282051282051282,0.028089887640449437,0.0,0.06554307116104868,0.009363295880149813,0.037037037037037035,0.018518518518518517,0.0,0.037037037037037035,0.010288065843621397,0.07201646090534979,0.04115226337448559,0.07201646090534979,0.0
5,Donetsk Oblast,UA-14,0.5164992826398852,0.7317073170731707,0.3012912482065997,0.06456241032998565,0.5380200860832137,0.6585365853658536,1.0,0.048780487804878044,0.0,0.0,0.01524390243902439,0.01524390243902439,0.0,0.015906680805938492,0.0,0.0,0.04772004241781548,0.0,0.0,0.0,0.0,0.0,0.01524390243902439,0.0,0.01524390243902439,0.0,0.014932802389248382,0.0,0.0,0.03048780487804878,0.0,0.0,0.0,0.0,0.015568240788790867,0.031136481577581733,0.0,0.0
6,Ivano-Frankivs'ka oblast,UA-26,0.036493971977842946,0.07526881720430108,0.05246008471814923,0.006842619745845552,0.0570218312153796,0.09318996415770608,0.13620071684587814,0.035842293906810034,0.017921146953405017,0.0051553984386507575,0.02062159375460303,0.0,0.002062159375460303,0.07225806451612903,0.0015053763440860215,0.0015053763440860215,0.0,0.002625656414103526,0.0,0.00962740685171293,0.0,0.0,0.0018584893136864462,0.008363201911589008,0.007433957254745785,0.0,0.005300620929880357,0.02332273209147357,0.002120248371952143,0.0,0.0,0.0,1.0,0.01596611274030629,0.01596611274030629,0.0,0.006842619745845552,0.0
7,Kharkiv Oblast,UA-63,0.44946236559139785,0.7333333333333333,0.4258064516129032,0.07096774193548387,0.6860215053763441,0.6666666666666667,1.0,0.03333333333333333,0.9,0.023655913978494623,0.015770609318996414,0.0,0.015770609318996414,0.03942652329749104,0.0,0.0,0.015770609318996414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4306878306878307,0.008527131782945736,0.008527131782945736,0.025581395348837205,0.07674418604651162,0.023655913978494623,0.0,0.0,0.03154121863799283,0.0,0.0906367041198502,0.0,0.0,0.0
8,Khersons'ka oblast,UA-65,0.03695408734602464,0.06382978723404256,0.02015677491601344,0.00503919372900336,0.041993281075028,0.03746530989824237,0.03746530989824237,0.0,0.0,0.0,0.0,0.0,0.0,0.010479517307081614,0.0,0.0,0.02095903461416323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00480439258750858,0.0,0.0,0.0
9,Khmel'nyts'ka oblast,UA-68,0.05146198830409357,0.08888888888888889,0.028070175438596492,0.00935672514619883,0.056140350877192984,0.06464646464646466,0.07542087542087542,0.035016835016835016,0.0053872053872053875,0.009876543209876543,0.009876543209876543,0.0,0.0010973936899862824,0.028444444444444446,0.0011851851851851854,0.0,0.0,0.003418803418803419,0.0,0.02165242165242165,0.0,0.0,0.0,0.003864734299516908,0.003864734299516908,1.0,0.0,0.011111111111111112,0.011111111111111112,0.00107095046854083,0.013922356091030789,0.0,0.00321285140562249,0.013333333333333332,0.0011111111111111111,0.0,0.0077777777777777776,0.0037037037037037034
10,Kirovohrads'ka oblast,UA-35,0.1128747795414462,0.19753086419753085,0.10158730158730159,0.022574955908289243,0.12980599647266314,0.19753086419753085,0.21115368241805024,0.06130268199233717,0.01362281822051937,0.02230187176423736,0.07646356033452809,0.0,0.02230187176423736,0.03292181069958848,0.015194681861348529,0.007597340930674264,0.0,0.007139669790272201,0.0,0.03331845902127027,0.0,0.0,0.00918748205569911,0.016078093597473444,0.0068906115417743325,0.0,0.014631915866483767,0.017070568510897728,0.014631915866483767,0.02438652644413961,0.014631915866483767,0.0,0.007315957933241884,0.024691358024691357,0.012345679012345678,1.0,0.0,0.01486791450949157
11,Kyiv city,UA-30,0.16326530612244897,0.32653061224489793,0.16326530612244897,0.01920768307322929,0.28811524609843936,0.3469387755102041,0.3673469387755102,1.0,0.0,0.03147283009589378,0.023604622571920333,0.0,0.011802311285960166,0.313469387755102,0.006530612244897959,0.006530612244897959,0.0,0.004186289900575615,0.0,0.0879120879120879,0.0,0.0,0.012721971905645375,0.029684601113172542,0.055128544924463285,0.06641300588031823,0.033206502940159116,0.0387409200968523,0.08855067450709098,0.013994169096209912,0.09795918367346938,0.0,0.027988338192419825,0.07421150278293134,0.03957946815089672,0.00494743351886209,0.049474335188620905,0.017185821697099892
12,Kyivs'ka oblast,UA-32,0.23242187500000003,0.3541666666666667,0.19921875000000003,0.022135416666666668,0.298828125,0.3125,0.41666666666666674,1.0,0.0,0.004024621212121213,0.0321969696969697,0.0,0.012073863636363636,0.0787037037037037,0.004372427983539095,0.0,0.0,0.007616487455197134,0.0,0.015232974910394268,0.003808243727598567,0.0,0.008432539682539682,0.04637896825396825,0.012648809523809524,0.026562500000000006,0.004427083333333334,0.013281250000000003,0.044270833333333336,0.0,0.0036892361111111114,0.0,0.011067708333333334,0.012354651162790699,0.02059108527131783,0.0,0.024709302325581398,0.6875000000000001
13,Luhans'ka oblast,UA-09,0.32020012507817386,0.7804878048780488,0.4803001876172608,0.0600375234521576,0.3602251407129456,0.6585365853658537,1.0,0.0,0.0,0.0,0.0,0.0,0.032520325203252036,0.027226318774815655,0.0,0.0,0.09982983550765741,0.0,0.05874639391555206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05874639391555206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Lviv Oblast,UA-46,0.03519061583577713,0.06451612903225806,0.03714565004887586,0.007820136852394917,0.05083088954056696,0.08695652173913043,0.0981767180925666,0.028050490883590462,0.002805049088359046,0.0041356492969396195,0.009925558312655087,0.0008271298593879239,0.0033085194375516956,1.0,0.0,0.010752688172043012,0.0,0.0021994134897360706,0.0,0.006598240469208211,0.0,0.0,0.0,0.005441119315973571,0.00777302759424796,0.003634711494775102,0.004543389368468878,0.010904134484325307,0.007269422989550204,0.0026155187445510023,0.013949433304272014,0.0,0.006102877070619006,0.01704199634814364,0.021911138161898963,0.0,0.018259281801582473,0.0013166556945358788
15,Mykolaivs'ka oblast,UA-48,0.7073386383731212,0.6410256410256411,0.22104332449160038,0.04420866489832007,0.596816976127321,0.7435897435897437,1.0,0.1794871794871795,0.0,0.13860013860013862,0.08662508662508664,0.0,0.0,0.07631257631257632,0.045787545787545784,0.7631257631257633,0.0,0.0,0.0,0.0,0.0,0.0,0.042034468263976464,0.367801597309794,0.0,0.043706293706293704,0.0,0.0,0.043706293706293704,0.0,0.0,0.0,0.0,0.0,0.0410913872452334,0.04930966469428009,0.09040105193951348,0.0
16,Odessa Oblast,UA-51,0.5675675675675675,1.0,0.43243243243243246,0.02702702702702703,0.6756756756756757,0.9696969696969696,1.0,0.0606060606060606,0.0,0.7857142857142857,0.0,0.0,0.0,0.07777777777777778,0.0,0.02222222222222222,0.01111111111111111,0.010309278350515464,0.0,0.020618556701030927,0.0,0.0,0.0125,0.2,0.037500000000000006,0.03260869565217391,0.010869565217391304,0.021739130434782608,0.021739130434782608,0.02040816326530612,0.0,0.0,0.0,0.0,0.08888888888888888,0.0,0.02222222222222222,0.0
17,Poltavs'ka oblast,UA-53,0.03333333333333333,0.041666666666666664,0.015277777777777777,0.001388888888888889,0.04722222222222222,0.053030303030303025,0.07007575757575757,0.020833333333333332,0.0037878787878787876,0.0032467532467532474,0.005411255411255411,0.0010822510822510823,0.0027056277056277055,0.016908212560386472,0.0012077294685990338,0.0006038647342995169,0.0,0.000980392156862745,0.0,0.006372549019607844,0.0,0.0,0.0,0.0,1.0,0.00228310502283105,0.005136986301369863,0.0017123287671232878,0.006278538812785387,0.01906779661016949,0.004943502824858757,0.0,0.004943502824858757,0.0017857142857142854,0.006547619047619048,0.0017857142857142854,0.0077380952380952375,0.001736111111111111
18,Rivnens'ka oblast,UA-56,0.041945288753799395,0.06382978723404256,0.029179331306990887,0.003647416413373861,0.04376899696048633,0.04317897371714643,0.06195244055068837,0.015018773466833543,0.003754693366708386,0.003273322422258593,0.011456628477905075,0.0,0.003273322422258593,0.025531914893617023,0.0009118541033434652,0.0009118541033434652,0.0,0.0,0.0,0.00335946248600224,0.0,0.0,0.0,0.0013297872340425534,0.0013297872340425534,0.003754693366708386,0.0030037546933667086,0.0030037546933667086,0.0015018773466833543,0.0,1.0,0.0,0.0,0.009417509591907918,0.0,0.0,0.031391698639693065,0.001302648719062093
19,Sevastopol' city,UA-40,0.009621993127147767,0.030927835051546393,0.016494845360824743,0.0013745704467353953,0.010309278350515464,0.018425093222197854,0.01645097609124808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019741171309497698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Sums'ka oblast,UA-59,0.07230255839822025,0.14942528735632185,0.0674823878383389,0.00482017055988135,0.18798665183537264,0.16009852216748768,0.1814449917898194,0.03735632183908046,0.005336617405582923,0.015637530072173216,0.008687516706762898,0.0,0.0,0.05763546798029557,0.0064039408866995075,0.0,0.0,0.007864488808227467,0.0,0.0,0.0,0.0,0.007471264367816094,0.024904214559386975,0.06724137931034484,0.0,0.016400336417157275,0.0,0.016400336417157275,1.0,0.0,0.0,0.0,0.007864488808227467,0.0,0.0,0.0,0.0
21,Ternopil's'ka oblast,UA-61,0.033854166666666664,0.041666666666666664,0.018229166666666668,0.0026041666666666665,0.033854166666666664,0.043269230769230775,0.0592948717948718,0.016025641025641028,0.0,0.0010548523206751054,0.007383966244725738,0.0015822784810126582,0.0010548523206751054,0.03758169934640523,0.0,0.0024509803921568627,0.0,0.0,0.0,0.005149812734082397,0.0,0.0,0.0,0.0066056910569105695,0.002540650406504065,0.008333333333333333,0.0,0.009523809523809523,0.0,0.0,0.003645833333333334,0.0,0.0067708333333333336,1.0,0.0,0.0,0.0,0.0
22,Vinnyts'ka oblast,UA-05,0.038901601830663615,0.08695652173913043,0.041189931350114416,0.009153318077803204,0.05263157894736842,0.06451612903225806,0.09256661991584852,0.03085553997194951,0.005610098176718092,0.0040920716112531974,0.008184143222506395,0.003069053708439898,0.0,0.023188405797101453,0.0011594202898550727,0.004637681159420291,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00966183574879227,0.010735373054213633,0.012422360248447204,0.0024844720496894407,0.011180124223602483,0.011180124223602483,0.004347826086956522,0.013043478260869563,0.0,0.004347826086956522,0.00644122383252818,0.00322061191626409,0.00322061191626409,0.007514761137949543,0.0
