,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,18,31,20,2,29,21,30,31,18,0,87,2,2,0,9,75,23,0,2,0,87,13,0,0,0,58,0,3,29,10,15,0,85,0,0,89,11,0,0,0,85,2,0,2,11,87,13
1,Chernihivs'ka oblast,UA-74,27,46,9,0,18,20,24,28,28,0,86,0,14,0,0,67,33,0,0,0,60,20,0,20,0,29,0,62,0,9,76,12,0,0,12,86,14,0,0,0,76,0,12,0,12,100,0
2,Chernivets'ka oblast,UA-77,20,35,19,3,23,31,27,23,14,5,82,0,9,0,9,40,58,2,0,0,82,4,0,14,0,67,0,11,15,7,5,0,0,94,1,79,8,13,0,0,61,3,6,0,30,100,0
3,Crimea,UA-43,19,33,20,3,25,31,39,30,0,0,100,0,0,0,0,45,0,0,0,55,100,0,0,0,0,87,1,0,11,1,99,0,0,0,1,99,0,1,0,0,99,1,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,34,14,3,28,33,31,28,7,1,64,6,28,0,2,45,39,13,2,1,82,7,1,10,0,42,0,1,33,24,68,2,3,12,15,79,3,10,0,8,61,6,18,1,14,97,3
5,Donetsk Oblast,UA-14,15,39,17,4,25,37,33,30,0,0,99,0,0,1,0,88,10,0,1,1,99,0,0,1,0,81,0,0,12,7,98,1,0,0,1,99,1,0,0,0,88,0,7,3,2,100,0
6,Ivano-Frankivs'ka oblast,UA-26,22,27,17,4,30,19,26,33,17,5,86,4,4,2,4,29,66,2,1,2,78,13,0,7,2,64,0,6,23,7,61,4,2,17,16,14,0,1,0,85,59,7,7,1,26,96,4
7,Kharkiv Oblast,UA-63,22,25,19,4,30,18,32,31,0,19,98,0,2,0,0,76,23,0,0,1,100,0,0,0,0,65,0,1,9,25,92,2,0,2,4,94,2,2,0,2,83,0,14,0,3,100,0
8,Khersons'ka oblast,UA-65,20,25,20,2,33,29,37,32,2,0,87,6,7,0,0,69,16,0,10,5,93,0,0,7,0,3,0,0,97,0,87,0,6,0,7,100,0,0,0,0,87,0,13,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,17,41,13,4,25,32,25,28,15,0,78,4,18,0,0,49,46,1,3,1,78,8,2,12,0,72,0,5,20,3,10,87,0,0,3,73,8,17,0,2,58,8,9,0,25,98,2
10,Kirovohrads'ka oblast,UA-35,22,36,14,5,23,30,23,34,10,3,75,15,10,0,0,68,32,0,0,0,75,5,0,20,0,75,0,5,15,5,75,5,20,0,0,75,5,20,0,0,16,0,1,80,3,100,0
11,Kyiv city,UA-30,17,37,14,2,30,19,16,18,47,0,92,2,2,1,3,61,35,1,2,1,84,2,0,14,0,78,0,1,14,7,71,9,5,2,13,88,2,4,0,6,75,6,12,1,6,95,5
12,Kyivs'ka oblast,UA-32,17,26,17,5,35,16,17,23,44,0,89,0,11,0,0,60,39,0,0,1,75,16,0,9,0,79,0,5,14,2,62,11,9,4,14,83,0,10,2,5,73,2,12,2,11,28,72
13,Luhans'ka oblast,UA-09,24,35,14,2,25,31,35,32,2,0,100,0,0,0,0,89,11,0,0,0,100,0,0,0,0,73,0,0,18,9,92,6,0,0,2,100,0,0,0,0,97,3,0,0,0,100,0
14,Lviv Oblast,UA-46,18,33,18,3,28,23,23,30,22,2,75,9,9,1,6,5,95,0,0,0,62,13,0,25,0,53,0,4,26,17,43,14,6,13,24,51,4,34,0,11,35,19,16,1,29,96,4
15,Mykolaivs'ka oblast,UA-48,19,35,20,1,25,42,28,30,0,0,67,29,4,0,0,40,23,2,30,5,89,0,0,11,0,45,0,0,47,8,89,5,6,0,0,80,0,20,0,0,80,0,5,0,15,100,0
16,Odessa Oblast,UA-51,18,32,16,2,32,34,29,36,1,0,59,39,1,0,1,88,11,0,0,1,88,3,0,9,0,66,0,2,30,2,82,2,1,1,14,98,2,0,0,0,91,2,5,0,2,100,0
17,Poltavs'ka oblast,UA-53,23,29,11,1,36,30,26,27,12,5,87,5,5,0,3,58,39,0,1,2,84,2,0,14,0,5,0,0,2,93,69,9,6,7,9,80,18,2,0,0,60,0,11,0,29,94,6
18,Rivnens'ka oblast,UA-56,11,38,17,3,31,34,18,21,24,3,70,15,12,0,3,24,71,1,4,0,70,20,3,7,0,57,0,3,34,6,59,13,3,6,19,3,0,97,0,0,29,6,4,0,61,95,5
19,Sevastopol' city,UA-40,24,27,13,3,33,31,36,33,0,0,100,0,0,0,0,5,0,0,0,95,100,0,0,0,0,89,0,0,6,5,100,0,0,0,0,100,0,0,0,0,95,0,5,0,0,100,0
20,Sums'ka oblast,UA-59,20,20,24,6,30,24,26,35,11,4,92,0,8,0,0,65,24,0,6,5,100,0,0,0,0,53,0,4,9,34,85,0,0,0,15,11,88,1,0,0,92,0,8,0,0,100,0
21,Ternopil's'ka oblast,UA-61,18,30,21,1,30,24,28,29,14,5,79,0,9,3,9,22,77,0,0,1,79,9,3,9,0,64,0,7,27,2,57,2,2,26,13,62,2,22,0,14,4,92,1,0,3,97,3
22,Vinnyts'ka oblast,UA-05,22,31,15,5,27,27,27,31,13,2,89,7,0,0,4,70,29,1,0,0,8,0,0,92,0,66,0,0,25,9,73,5,4,12,6,89,0,9,0,2,72,4,3,4,17,93,7
23,Volyns'ka oblast,UA-07,19,31,19,4,27,25,27,30,17,1,87,9,0,0,4,26,74,0,0,0,72,14,3,11,0,91,0,0,5,4,75,7,0,0,18,58,2,35,0,5,4,0,0,0,96,96,4
24,Zakarpats'ka oblast,UA-21,33,28,15,0,24,29,25,30,12,4,81,2,8,0,9,29,68,1,0,2,76,19,0,5,0,76,0,5,8,11,71,7,2,7,13,83,3,6,0,8,6,0,89,0,5,97,3
25,Zaporiz'ka oblast,UA-23,13,32,18,4,33,32,35,33,0,0,48,1,1,0,50,69,20,0,2,9,92,8,0,0,0,69,0,0,27,4,87,0,2,3,8,100,0,0,0,0,94,0,3,0,3,100,0
26,Zhytomyrs'ka oblast,UA-18,21,36,13,1,29,27,24,20,28,1,87,9,4,0,0,55,38,0,5,2,83,0,0,17,0,83,0,0,13,4,5,0,0,0,95,83,4,13,0,0,76,0,16,0,8,91,9
