,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,22,29,21,3,25,21,20,33,23,3,80,13,5,0,2,75,21,3,1,0,92,2,0,6,0,80,0,7,8,5,15,0,84,1,0,88,2,10,0,0,85,2,6,6,1,96,4
1,Chernihivs'ka oblast,UA-74,17,33,16,0,34,29,7,14,50,0,100,0,0,0,0,28,57,0,15,0,100,0,0,0,0,10,0,70,5,15,50,25,25,0,0,65,0,0,0,35,40,40,20,0,0,100,0
2,Chernivets'ka oblast,UA-77,20,35,16,3,26,31,21,29,16,3,91,0,6,0,3,73,15,5,2,5,75,10,0,15,0,73,0,12,13,2,7,0,1,92,0,77,11,10,0,2,75,10,5,2,8,97,3
3,Crimea,UA-43,21,33,17,3,26,29,36,35,0,0,100,0,0,0,0,49,0,0,0,51,100,0,0,0,0,89,0,0,11,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,17,33,20,2,28,29,27,34,9,1,64,3,29,0,4,59,17,18,2,4,90,2,0,8,0,54,0,2,22,22,71,4,0,15,10,79,4,9,0,8,68,1,22,2,7,98,2
5,Donetsk Oblast,UA-14,24,32,15,3,26,33,37,30,0,0,99,1,0,0,0,88,3,1,0,8,100,0,0,0,0,84,0,0,9,7,94,0,1,3,2,100,0,0,0,0,90,0,9,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,24,36,8,0,32,30,23,32,13,2,81,9,4,1,5,58,36,4,2,0,80,17,0,3,0,89,0,10,0,1,65,8,3,16,8,16,0,3,0,81,79,7,10,0,4,99,1
7,Kharkiv Oblast,UA-63,19,28,15,2,36,25,29,29,0,17,93,0,7,0,0,83,13,2,0,2,95,5,0,0,0,60,0,0,9,31,98,2,0,0,0,100,0,0,0,0,77,0,21,2,0,100,0
8,Khersons'ka oblast,UA-65,23,27,13,0,37,26,37,37,0,0,79,14,0,0,7,69,6,12,7,6,79,14,0,7,0,3,0,0,97,0,100,0,0,0,0,92,0,8,0,0,92,0,8,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,14,29,23,0,34,27,29,29,15,0,77,7,10,2,4,58,34,3,2,3,71,17,0,12,0,77,0,12,9,2,9,89,0,1,1,72,4,24,0,0,65,20,14,1,0,95,5
10,Kirovohrads'ka oblast,UA-35,21,27,22,5,25,22,25,43,6,4,98,0,2,0,0,85,9,4,2,0,93,2,0,5,0,83,0,4,4,9,91,0,5,0,4,96,2,2,0,0,30,0,1,69,0,100,0
11,Kyiv city,UA-30,16,35,15,1,33,17,16,23,44,0,94,3,3,0,0,79,20,0,1,0,89,4,0,7,0,83,0,4,6,7,76,7,5,2,10,95,0,3,0,2,83,3,9,1,4,96,4
