,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,24,21,18,3,34,14,20,24,38,4,87,0,13,0,0,61,30,0,9,0,75,3,0,22,0,71,0,11,11,7,8,0,89,0,3,77,15,0,0,8,77,0,11,4,8,80,20
1,Chernihivs'ka oblast,UA-74,13,41,13,6,27,14,25,22,37,2,91,9,0,0,0,77,16,0,0,7,84,0,0,8,8,11,0,87,1,1,72,7,7,7,7,84,16,0,0,0,77,0,23,0,0,100,0
2,Chernivets'ka oblast,UA-77,20,34,16,8,22,17,28,37,15,3,91,0,6,0,3,70,23,0,5,2,85,0,0,15,0,79,0,2,13,6,8,0,0,92,0,78,14,6,0,2,74,11,8,5,2,100,0
3,Crimea,UA-43,24,33,13,2,28,29,38,33,0,0,100,0,0,0,0,66,0,0,0,34,100,0,0,0,0,78,0,0,19,3,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,39,13,3,27,30,31,33,5,1,65,2,31,0,2,71,7,22,0,0,95,2,0,3,0,64,0,0,25,11,89,1,2,0,8,94,4,1,0,1,84,0,14,2,0,99,1
5,Donetsk Oblast,UA-14,21,30,20,3,26,30,43,27,0,0,99,0,0,1,0,97,0,0,0,3,96,4,0,0,0,84,0,0,12,4,93,1,2,0,4,97,2,0,0,1,93,0,6,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,12,37,18,1,32,16,12,28,36,8,72,19,0,0,9,22,67,0,11,0,63,12,0,25,0,47,0,24,23,6,35,12,9,28,16,8,5,0,0,87,38,30,25,2,5,84,16
7,Kharkiv Oblast,UA-63,18,30,15,1,36,21,22,26,1,30,99,0,1,0,0,92,3,0,2,3,99,0,0,1,0,68,0,0,15,17,90,0,1,0,9,100,0,0,0,0,88,2,9,0,1,99,1
8,Khersons'ka oblast,UA-65,16,36,17,4,27,30,32,33,5,0,91,5,0,0,4,74,3,0,15,8,100,0,0,0,0,4,0,0,96,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,26,35,14,3,22,16,23,18,38,5,72,13,7,0,8,53,39,0,7,1,71,8,0,21,0,62,0,11,25,2,8,85,1,1,5,68,15,17,0,0,65,21,14,0,0,100,0
10,Kirovohrads'ka oblast,UA-35,27,37,12,5,19,24,32,32,9,3,75,11,7,0,7,58,14,5,23,0,91,0,0,9,0,52,0,2,28,18,70,7,3,3,17,75,11,11,0,3,21,0,2,76,1,100,0
11,Kyiv city,UA-30,18,35,16,3,28,14,15,20,49,2,78,9,4,1,8,33,63,0,4,0,74,1,0,25,0,43,0,6,30,21,35,11,8,13,33,55,12,22,0,11,42,20,26,2,10,94,6
12,Kyivs'ka oblast,UA-32,22,36,16,0,26,13,17,26,44,0,92,2,3,2,1,72,23,0,3,2,90,1,1,8,0,76,0,6,14,4,67,4,6,2,21,91,3,5,0,1,81,5,13,0,1,39,61
13,Luhans'ka oblast,UA-09,16,32,16,2,34,34,28,37,0,1,97,0,0,0,3,95,5,0,0,0,95,0,5,0,0,91,0,0,9,0,89,0,0,0,11,100,0,0,0,0,97,3,0,0,0,100,0
14,Lviv Oblast,UA-46,17,32,18,2,31,15,18,33,31,3,80,5,8,1,6,5,95,0,0,0,79,6,3,12,0,63,0,13,19,5,57,6,7,9,21,64,11,22,0,3,48,21,25,1,5,99,1
15,Mykolaivs'ka oblast,UA-48,20,36,22,3,19,32,27,33,7,1,80,12,4,0,4,37,6,2,54,1,91,5,0,4,0,31,0,0,69,0,83,4,0,0,13,87,0,4,0,9,80,4,12,4,0,100,0
