,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,23,33,17,3,24,28,26,25,20,1,82,6,11,0,1,81,14,3,0,2,91,0,0,4,5,87,0,4,3,6,10,0,90,0,0,91,3,5,0,1,88,1,5,3,3,95,5
1,Chernihivs'ka oblast,UA-74,16,30,14,3,37,29,27,27,16,1,95,5,0,0,0,87,7,2,2,2,98,0,0,2,0,28,0,67,2,3,89,0,4,0,7,89,4,5,0,2,95,0,5,0,0,100,0
2,Chernivets'ka oblast,UA-77,21,30,20,4,25,29,35,24,12,0,90,4,4,0,2,71,29,0,0,0,92,0,0,8,0,98,0,0,0,2,6,0,0,94,0,92,2,0,0,6,92,6,2,0,0,98,2
3,Crimea,UA-43,25,32,14,2,27,32,38,30,0,0,100,0,0,0,0,42,0,0,0,58,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,16,4,26,33,31,33,2,1,65,1,31,0,3,71,3,25,0,1,97,0,0,3,0,85,0,0,7,8,91,2,2,2,3,96,3,0,0,1,96,1,1,1,1,100,0
5,Donetsk Oblast,UA-14,25,31,17,3,24,32,33,34,1,0,96,0,2,2,0,91,4,1,0,4,87,11,0,2,0,92,0,0,4,4,97,2,0,0,1,99,1,0,0,0,98,1,0,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,36,20,1,22,29,24,32,15,0,79,6,13,0,2,44,55,0,1,0,95,0,2,3,0,96,0,0,1,3,62,5,0,28,5,10,0,0,0,90,80,13,2,0,5,99,1
7,Kharkiv Oblast,UA-63,17,32,17,3,31,25,29,32,1,13,98,0,2,0,0,97,2,1,0,0,99,1,0,0,0,87,0,1,1,11,96,1,2,0,1,98,2,0,0,0,97,0,2,0,1,100,0
8,Khersons'ka oblast,UA-65,23,35,15,3,24,36,28,32,4,0,87,9,2,0,2,96,0,0,2,2,98,0,0,2,0,3,0,0,97,0,96,0,0,0,4,96,4,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,28,29,16,2,25,26,24,27,22,1,88,6,6,0,0,66,31,3,0,0,84,0,0,16,0,94,0,0,4,2,5,94,0,1,0,74,7,16,0,3,68,18,1,5,8,96,4
10,Kirovohrads'ka oblast,UA-35,17,35,14,4,30,39,23,31,5,2,86,8,4,0,2,88,10,0,0,2,96,0,2,2,0,90,0,0,0,10,84,4,4,4,4,90,0,8,0,2,17,0,0,83,0,100,0
11,Kyiv city,UA-30,18,33,18,3,28,19,20,26,34,1,87,7,5,0,1,58,41,0,1,0,84,0,0,16,0,68,0,2,15,15,65,8,5,8,14,74,3,16,0,7,69,12,7,1,11,95,5
12,Kyivs'ka oblast,UA-32,20,35,15,6,24,21,21,21,37,0,89,5,5,0,1,84,14,0,0,2,93,0,1,6,0,94,0,3,1,2,83,6,2,2,7,93,3,3,0,1,92,2,2,0,4,37,63
13,Luhans'ka oblast,UA-09,19,38,16,2,25,36,28,34,2,0,100,0,0,0,0,96,4,0,0,0,98,0,1,1,0,97,0,0,1,2,96,0,0,2,2,100,0,0,0,0,96,0,3,1,0,100,0
14,Lviv Oblast,UA-46,19,32,17,4,28,25,29,33,13,0,83,4,11,0,2,4,96,0,0,0,96,0,0,4,0,91,0,1,2,6,84,4,4,6,2,86,2,8,0,4,69,16,3,0,12,98,2
15,Mykolaivs'ka oblast,UA-48,19,36,18,1,26,31,29,34,5,1,85,14,1,0,0,52,4,0,44,0,99,0,0,1,0,76,0,0,23,1,88,3,0,0,9,99,0,0,0,1,96,1,0,0,3,100,0
16,Odessa Oblast,UA-51,18,33,17,3,29,31,32,35,2,0,56,43,1,0,0,94,4,0,1,1,98,0,0,2,0,91,0,0,6,3,95,3,0,1,1,100,0,0,0,0,95,0,3,1,1,100,0
17,Poltavs'ka oblast,UA-53,20,37,16,4,23,29,24,26,16,5,88,2,8,0,2,85,10,1,1,3,91,0,0,9,0,5,0,0,0,95,92,1,5,1,1,79,7,11,0,3,82,1,7,2,8,100,0
18,Rivnens'ka oblast,UA-56,19,38,9,2,32,32,21,29,17,1,82,5,13,0,0,58,39,1,1,1,92,0,0,8,0,94,0,1,0,5,78,7,3,5,7,4,0,96,0,0,57,6,3,0,34,99,1
19,Sevastopol' city,UA-40,19,30,20,6,25,36,31,33,0,0,100,0,0,0,0,3,0,0,0,97,100,0,0,0,0,90,0,0,7,3,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0
