,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,22,32,18,1,27,24,25,34,14,3,90,6,3,1,0,67,23,3,4,3,79,2,0,18,1,84,0,4,4,8,17,2,78,1,2,86,6,8,0,0,78,4,17,1,0,94,6
1,Chernihivs'ka oblast,UA-74,10,40,14,0,36,29,18,23,28,2,90,10,0,0,0,75,25,0,0,0,82,9,0,9,0,14,0,81,4,1,70,7,7,8,8,76,8,0,0,16,65,14,14,0,7,90,10
2,Chernivets'ka oblast,UA-77,22,35,17,5,21,23,26,34,13,4,89,6,3,0,2,78,22,0,0,0,81,11,0,8,0,81,0,3,10,6,8,0,0,90,2,83,7,3,1,6,67,13,13,2,5,98,2
3,Crimea,UA-43,26,31,18,1,24,30,43,27,0,0,100,0,0,0,0,39,1,0,0,60,100,0,0,0,0,87,0,0,10,3,96,1,0,0,3,100,0,0,0,0,99,1,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,15,33,17,3,32,31,31,33,4,1,66,1,29,0,4,52,25,19,3,1,88,4,0,8,0,53,0,2,22,23,65,4,2,13,16,83,6,4,0,7,48,7,35,1,9,99,1
5,Donetsk Oblast,UA-14,22,32,14,1,31,35,35,29,1,0,95,0,0,5,0,85,6,0,1,8,98,1,0,1,0,78,0,0,10,12,92,1,1,0,6,98,2,0,0,0,74,0,24,2,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,14,41,12,8,25,26,28,24,15,7,83,7,3,4,3,48,48,2,1,1,68,18,0,14,0,78,0,0,9,13,57,7,5,12,19,13,0,1,0,86,59,13,26,0,2,98,2
7,Kharkiv Oblast,UA-63,21,33,14,0,32,23,26,30,2,19,99,1,0,0,0,87,10,0,0,3,93,3,0,4,0,51,0,1,6,42,87,1,1,3,8,97,2,1,0,0,72,1,22,2,3,100,0
8,Khersons'ka oblast,UA-65,16,42,10,0,32,40,27,32,1,0,89,6,0,0,5,80,5,5,5,5,85,5,0,10,0,3,0,0,97,0,89,0,0,5,6,95,0,5,0,0,89,6,0,0,5,100,0
9,Khmel'nyts'ka oblast,UA-68,16,38,16,0,30,28,26,29,14,3,87,7,5,0,1,65,30,1,3,1,70,11,2,17,0,81,0,3,5,11,10,84,0,1,5,77,3,16,0,4,55,23,17,2,3,90,10
10,Kirovohrads'ka oblast,UA-35,18,37,17,1,27,28,28,34,5,5,82,9,3,0,6,57,17,13,13,0,93,7,0,0,0,71,0,5,11,13,66,17,5,2,10,87,7,6,0,0,17,2,8,73,0,97,3
11,Kyiv city,UA-30,20,34,17,2,27,17,15,21,45,2,85,7,4,0,4,41,54,1,3,1,70,6,0,24,0,65,0,5,11,19,47,13,6,8,26,64,4,21,0,11,44,17,29,2,8,97,3
12,Kyivs'ka oblast,UA-32,20,23,17,4,36,15,18,23,43,1,93,1,6,0,0,61,30,0,8,1,87,6,0,7,0,78,1,4,6,11,55,15,3,10,17,78,4,8,1,9,67,8,21,1,3,38,62
13,Luhans'ka oblast,UA-09,25,24,20,1,30,27,34,39,0,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,92,0,2,2,4,98,0,0,0,2,98,0,2,0,0,90,2,8,0,0,100,0
14,Lviv Oblast,UA-46,17,38,16,2,27,21,23,36,14,6,84,7,8,0,1,12,87,0,1,0,74,10,0,16,0,70,0,4,12,14,55,9,5,9,22,69,9,16,0,6,49,14,26,2,9,96,4
15,Mykolaivs'ka oblast,UA-48,15,40,16,1,28,34,37,27,2,0,71,26,0,0,3,34,11,0,55,0,81,7,0,12,0,44,0,2,42,12,84,8,0,0,8,81,8,11,0,0,62,6,23,6,3,100,0
16,Odessa Oblast,UA-51,18,33,16,3,30,31,29,38,2,0,61,38,1,0,0,87,8,0,4,1,97,2,0,1,0,85,0,0,11,4,87,1,1,4,7,94,5,1,0,0,77,5,18,0,0,100,0
17,Poltavs'ka oblast,UA-53,24,31,12,0,33,24,29,31,10,6,88,5,5,2,0,67,26,1,6,0,77,7,1,15,0,6,0,0,0,94,58,2,8,10,22,69,25,4,1,1,66,10,17,2,5,99,1
18,Rivnens'ka oblast,UA-56,18,34,15,5,28,26,27,29,15,3,69,25,4,1,1,51,35,2,10,2,78,12,2,8,0,69,0,7,15,9,51,11,8,4,26,7,0,93,0,0,50,13,8,4,25,98,2
19,Sevastopol' city,UA-40,22,34,15,2,27,30,31,39,0,0,100,0,0,0,0,4,0,0,0,96,100,0,0,0,0,87,0,0,13,0,96,0,0,0,4,100,0,0,0,0,96,0,4,0,0,100,0
20,Sums'ka oblast,UA-59,23,38,11,4,24,27,29,38,5,1,96,0,4,0,0,88,4,4,4,0,92,0,0,8,0,29,0,0,3,68,79,4,7,7,3,13,87,0,0,0,69,15,16,0,0,100,0
21,Ternopil's'ka oblast,UA-61,21,32,18,2,27,27,22,35,14,2,82,7,7,1,3,56,40,1,3,0,82,14,1,3,0,89,0,4,2,5,60,7,5,9,19,75,3,18,0,4,7,90,2,0,1,100,0
22,Vinnyts'ka oblast,UA-05,18,32,15,4,31,21,24,28,19,8,78,11,8,1,2,49,37,1,13,0,12,1,0,87,0,45,0,2,23,30,38,14,5,19,24,64,14,17,0,5,44,11,30,4,11,97,3
