,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,18,37,14,3,28,29,29,27,14,1,79,13,6,0,2,76,17,0,5,2,89,1,0,7,3,87,0,0,5,8,13,0,86,0,1,94,1,5,0,0,92,1,4,0,3,97,3
1,Chernihivs'ka oblast,UA-74,23,35,13,2,27,29,30,16,25,0,90,2,3,0,5,86,7,0,7,0,90,0,0,10,0,29,0,69,0,2,88,0,2,5,5,84,7,7,0,2,88,2,5,3,2,98,2
2,Chernivets'ka oblast,UA-77,28,30,10,5,27,25,36,29,8,2,78,5,11,0,6,72,23,1,1,3,79,8,1,12,0,88,0,0,9,3,7,0,0,93,0,91,0,3,0,6,86,8,5,0,1,100,0
3,Crimea,UA-43,19,34,17,1,29,27,43,30,0,0,100,0,0,0,0,56,0,0,0,44,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,19,3,24,34,32,31,3,0,59,0,37,0,4,63,9,28,0,0,96,1,1,2,0,77,0,2,11,10,84,2,2,0,12,91,3,3,0,3,83,2,7,4,4,100,0
5,Donetsk Oblast,UA-14,20,36,18,2,24,37,35,27,1,0,99,0,0,1,0,94,1,0,0,5,100,0,0,0,0,91,0,0,6,3,98,1,0,0,1,98,1,1,0,0,94,1,4,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,22,33,16,1,28,30,35,25,8,2,86,1,7,0,6,56,42,1,1,0,89,6,1,4,0,87,0,0,8,5,75,1,3,16,5,14,0,0,0,86,86,4,4,1,5,98,2
7,Kharkiv Oblast,UA-63,21,36,16,3,24,27,28,23,0,22,96,0,2,1,1,94,6,0,0,0,99,0,0,1,0,76,0,0,0,24,99,0,0,1,0,97,2,0,0,1,93,1,5,0,1,100,0
8,Khersons'ka oblast,UA-65,19,34,23,1,23,30,34,36,0,0,91,0,5,0,4,87,0,0,4,9,100,0,0,0,0,4,0,0,96,0,96,0,4,0,0,96,0,4,0,0,96,0,0,0,4,100,0
9,Khmel'nyts'ka oblast,UA-68,25,35,13,5,22,29,27,27,14,3,76,5,13,1,5,70,28,1,1,0,83,5,0,12,0,88,0,3,4,5,8,90,0,1,1,80,1,18,0,1,76,16,6,0,2,100,0
10,Kirovohrads'ka oblast,UA-35,18,36,15,2,29,35,31,23,10,1,89,0,9,0,2,80,6,10,4,0,96,2,0,2,0,83,0,0,9,8,89,0,7,0,4,89,5,4,0,2,19,0,1,80,0,100,0
11,Kyiv city,UA-30,18,32,17,3,30,15,15,18,51,1,83,6,8,0,3,51,46,1,1,1,75,1,0,24,0,69,0,4,12,15,53,11,6,8,22,69,2,24,0,5,64,17,9,2,8,96,4
12,Kyivs'ka oblast,UA-32,21,36,13,5,25,18,19,14,49,0,87,5,7,0,1,83,16,0,0,1,94,4,0,2,0,91,0,2,5,2,81,9,1,4,5,96,3,1,0,0,94,0,4,0,2,35,65
13,Luhans'ka oblast,UA-09,28,25,17,2,28,25,42,33,0,0,100,0,0,0,0,98,0,0,0,2,96,2,2,0,0,96,0,0,2,2,96,0,0,0,4,100,0,0,0,0,96,0,2,0,2,100,0
14,Lviv Oblast,UA-46,19,34,17,4,26,26,31,29,12,2,81,5,9,0,5,6,94,0,0,0,87,5,0,8,0,82,0,2,8,8,66,9,3,14,8,78,2,13,0,7,57,12,14,2,15,99,1
15,Mykolaivs'ka oblast,UA-48,18,36,22,0,24,33,31,27,8,1,68,20,10,0,2,40,3,1,56,0,91,3,0,6,0,70,0,0,25,5,88,3,3,0,6,100,0,0,0,0,91,0,0,6,3,100,0
16,Odessa Oblast,UA-51,21,32,20,3,24,32,37,29,2,0,57,42,1,0,0,94,4,0,2,0,96,0,0,4,0,89,0,0,9,2,96,1,1,2,0,97,0,3,0,0,94,0,4,2,0,100,0
17,Poltavs'ka oblast,UA-53,20,37,16,2,25,32,28,25,11,4,83,7,5,3,2,87,9,2,1,1,91,0,0,9,0,6,0,0,0,94,85,5,2,3,5,83,11,4,1,1,80,2,5,2,11,99,1
18,Rivnens'ka oblast,UA-56,18,39,16,3,24,32,29,25,14,0,83,5,11,1,0,72,24,4,0,0,92,3,0,5,0,87,1,3,5,4,77,4,3,3,13,4,0,96,0,0,58,5,0,1,36,100,0
19,Sevastopol' city,UA-40,25,29,20,3,23,26,41,33,0,0,100,0,0,0,0,5,0,0,0,95,100,0,0,0,0,87,0,0,13,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
