,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,35,16,3,25,30,29,28,11,2,83,11,4,0,2,87,11,1,1,0,89,2,0,9,0,89,0,0,6,5,15,0,85,0,0,95,1,4,0,0,90,2,4,1,3,94,6
1,Chernihivs'ka oblast,UA-74,28,35,11,3,23,29,32,16,23,0,88,5,5,0,2,86,5,0,7,2,88,5,0,7,0,25,0,72,0,3,95,0,0,5,0,88,5,5,0,2,95,0,2,0,3,98,2
2,Chernivets'ka oblast,UA-77,28,28,13,5,26,26,36,32,5,1,78,1,14,0,7,70,26,0,1,3,79,6,3,12,0,81,0,0,14,5,6,0,0,93,1,88,0,6,0,6,79,12,7,0,2,100,0
3,Crimea,UA-43,22,32,16,1,29,30,41,28,1,0,100,0,0,0,0,46,0,0,0,54,100,0,0,0,0,87,0,0,12,1,98,0,0,1,1,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,24,32,19,2,23,36,31,31,1,1,60,1,36,0,3,67,7,25,1,0,96,1,0,3,0,78,0,2,10,10,85,1,2,1,11,93,3,2,0,2,85,1,6,5,3,100,0
5,Donetsk Oblast,UA-14,23,33,16,2,26,36,30,33,1,0,97,0,1,2,0,97,1,0,0,2,99,0,0,1,0,91,0,0,5,4,98,1,0,0,1,99,0,1,0,0,98,1,0,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,20,35,18,1,26,31,32,29,7,1,81,0,10,0,9,61,37,2,0,0,89,5,1,5,0,92,0,2,5,1,75,3,2,17,3,15,0,0,0,85,86,4,5,1,4,98,2
7,Kharkiv Oblast,UA-63,22,34,16,3,25,25,32,24,0,19,97,0,1,1,1,91,9,0,0,0,98,1,0,1,0,76,0,0,1,23,97,0,0,2,1,99,0,0,0,1,92,1,6,0,1,100,0
8,Khersons'ka oblast,UA-65,26,35,18,5,16,38,30,32,0,0,87,5,4,0,4,91,0,0,9,0,95,5,0,0,0,4,0,0,96,0,91,5,4,0,0,95,0,5,0,0,95,0,0,0,5,100,0
9,Khmel'nyts'ka oblast,UA-68,25,33,14,5,23,26,32,25,14,3,76,2,17,1,4,70,26,2,2,0,84,4,0,12,0,87,0,2,5,6,9,89,0,1,1,84,1,15,0,0,78,15,4,0,3,100,0
10,Kirovohrads'ka oblast,UA-35,21,36,18,3,22,34,34,21,10,1,88,0,9,1,2,78,11,10,1,0,95,3,0,2,0,82,0,0,10,8,93,2,5,0,0,93,4,3,0,0,23,0,0,76,1,98,2
11,Kyiv city,UA-30,18,31,18,3,30,15,15,19,50,1,81,6,9,0,4,51,45,2,1,1,75,1,0,24,0,69,0,4,11,16,52,12,6,9,21,69,3,23,0,5,62,17,10,2,9,93,7
12,Kyivs'ka oblast,UA-32,21,34,15,3,27,18,19,16,47,0,87,4,9,0,0,77,20,0,1,2,90,4,0,6,0,88,0,3,5,4,82,5,1,4,8,94,3,2,0,1,92,2,3,0,3,35,65
13,Luhans'ka oblast,UA-09,26,26,19,3,26,24,39,36,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,0,3,3,94,0,0,0,6,100,0,0,0,0,97,0,3,0,0,100,0
14,Lviv Oblast,UA-46,20,33,19,3,25,27,30,30,12,1,81,6,8,0,5,6,94,0,0,0,87,4,0,9,0,78,0,4,10,8,61,10,4,16,9,76,4,11,0,9,56,14,13,2,15,98,2
15,Mykolaivs'ka oblast,UA-48,22,34,21,1,22,32,33,28,7,0,75,18,7,0,0,44,4,1,51,0,88,3,0,9,0,66,0,0,27,7,97,0,3,0,0,100,0,0,0,0,91,0,3,6,0,100,0
