,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,to2,Одеса,Дніпро,Донецьк,Запоріжжя,to3,Львів,Кривий Ріг,Миколаїв,Севастополь,to4,Маріуполь,Луганськ,Вінниця,Макіївка,to5,Сімферополь,Чернігів,Херсон,Полтава,to6,Хмельницький,Черкаси,Чернівці,Житомир,to7,Суми,Рівне,Горлівка,Івано-Франківськ,to8,Тернопіль,Ужгород,Кропивницький,луцьк,to9,Біла Церква
0,Cherkas'ka oblast,UA-71,24,31,17,5,23,24,22,32,20,2,81,7,7,0,5,83,10,4,3,0,89,4,0,7,0,83,0,1,9,7,15,0,85,0,0,97,3,0,0,0,93,4,1,1,1,97,3
1,Chernihivs'ka oblast,UA-74,23,31,18,4,24,21,18,23,36,2,85,0,15,0,0,92,8,0,0,0,88,0,0,8,4,21,0,75,1,3,82,3,4,4,7,76,14,7,0,3,88,8,4,0,0,100,0
2,Chernivets'ka oblast,UA-77,18,34,17,2,29,27,33,29,9,2,85,3,6,0,6,77,15,4,4,0,87,6,1,6,0,82,0,2,13,3,7,0,0,93,0,85,6,3,0,6,87,6,3,0,4,100,0
3,Crimea,UA-43,18,31,21,3,27,31,34,35,0,0,100,0,0,0,0,42,0,0,0,58,100,0,0,0,0,86,0,0,12,2,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,23,35,15,3,24,34,31,31,4,0,54,2,41,0,3,67,8,24,0,1,96,2,0,2,0,67,0,0,21,12,89,4,2,1,4,93,4,1,0,2,85,3,7,4,1,100,0
5,Donetsk Oblast,UA-14,18,34,18,2,28,31,35,34,0,0,95,0,4,0,1,92,5,0,0,3,100,0,0,0,0,83,0,0,11,6,100,0,0,0,0,99,0,1,0,0,97,0,2,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,31,14,5,29,23,24,35,16,2,83,4,6,2,5,63,31,3,3,0,86,10,1,3,0,77,0,3,12,8,84,6,0,7,3,16,1,0,0,83,80,11,6,2,1,100,0
7,Kharkiv Oblast,UA-63,20,33,16,1,30,24,28,23,3,22,92,2,5,0,1,95,4,0,0,1,99,0,0,1,0,49,0,0,5,46,92,0,0,3,5,93,6,0,0,1,93,1,6,0,0,100,0
8,Khersons'ka oblast,UA-65,24,29,18,1,28,32,33,33,1,1,83,7,0,0,10,86,11,0,0,3,100,0,0,0,0,4,0,0,96,0,92,0,4,4,0,100,0,0,0,0,82,0,18,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,19,34,16,4,27,29,24,27,18,2,75,11,8,2,4,72,21,4,2,1,84,6,0,10,0,88,0,0,8,4,9,89,0,1,1,77,6,14,0,3,78,12,6,1,3,100,0
10,Kirovohrads'ka oblast,UA-35,21,39,14,3,23,35,27,29,8,1,80,3,8,0,9,73,7,19,0,1,90,2,2,6,0,75,0,1,13,11,81,6,10,2,1,86,6,6,0,2,19,0,1,80,0,100,0
11,Kyiv city,UA-30,20,33,16,3,28,15,17,18,49,1,87,6,6,0,1,80,17,1,2,0,88,2,0,10,0,75,0,1,19,5,80,5,5,3,7,90,3,5,0,2,84,3,8,2,3,97,3
12,Kyivs'ka oblast,UA-32,24,32,16,4,24,16,17,19,47,1,84,5,9,0,2,79,16,4,1,0,96,0,0,4,0,79,0,3,12,6,84,7,3,0,6,96,0,4,0,0,87,1,5,4,3,35,65
13,Luhans'ka oblast,UA-09,23,29,19,4,25,36,36,28,0,0,98,0,2,0,0,93,2,0,0,5,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,98,0,0,0,2,98,0,2,0,0,100,0
14,Lviv Oblast,UA-46,22,33,17,3,25,22,26,30,21,1,76,10,9,1,4,8,91,0,1,0,76,5,1,18,0,69,0,4,11,16,57,11,7,12,13,64,4,22,0,10,53,15,16,2,14,94,6
15,Mykolaivs'ka oblast,UA-48,23,28,21,4,24,23,38,32,6,1,74,24,0,2,0,48,8,0,44,0,91,0,0,9,0,69,0,0,27,4,94,0,0,0,6,97,3,0,0,0,81,8,11,0,0,100,0
16,Odessa Oblast,UA-51,20,31,17,2,30,31,35,31,3,0,54,43,2,1,0,88,4,0,4,4,96,0,0,4,0,74,0,0,23,3,91,0,2,1,6,96,0,3,0,1,86,0,12,0,2,100,0
17,Poltavs'ka oblast,UA-53,22,34,18,2,24,27,30,24,13,6,79,7,13,0,1,77,17,4,1,1,87,4,0,9,0,6,0,0,1,93,88,3,6,3,0,77,14,8,0,1,80,2,7,1,10,100,0
18,Rivnens'ka oblast,UA-56,23,32,14,4,27,26,26,26,21,1,84,5,7,1,3,62,31,3,3,1,90,7,0,3,0,79,0,1,16,4,84,8,0,3,5,6,0,94,0,0,53,7,0,2,38,100,0
19,Sevastopol' city,UA-40,20,28,17,4,31,24,24,52,0,0,100,0,0,0,0,5,0,0,0,95,100,0,0,0,0,89,0,0,11,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,24,39,15,1,21,33,27,34,6,0,98,2,0,0,0,84,14,2,0,0,96,0,0,4,0,77,0,0,11,12,83,2,10,4,1,22,77,0,0,1,94,2,0,0,4,100,0
21,Ternopil's'ka oblast,UA-61,22,29,19,7,23,26,29,28,14,3,84,1,3,8,4,63,31,5,1,0,83,13,1,3,0,91,0,3,2,4,79,6,1,10,4,83,2,8,1,6,7,93,0,0,0,100,0
22,Vinnyts'ka oblast,UA-05,20,32,16,4,28,29,25,26,18,2,78,14,5,2,1,74,23,0,2,1,8,0,0,92,0,72,0,5,14,9,67,7,4,14,8,93,3,4,0,0,84,6,6,1,3,100,0
23,Volyns'ka oblast,UA-07,15,38,16,4,27,27,22,29,19,3,77,11,7,1,4,60,36,4,0,0,84,12,1,3,0,79,0,4,6,11,81,10,5,1,3,68,2,29,0,1,7,0,0,0,93,100,0
24,Zakarpats'ka oblast,UA-21,32,33,10,3,22,32,25,26,14,3,83,8,4,1,4,74,21,1,4,0,88,5,0,7,0,79,0,1,12,8,81,3,3,6,7,91,3,2,0,4,12,0,88,0,0,99,1
