,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,19,30,18,5,28,28,24,32,13,3,73,9,15,1,2,83,16,1,0,0,99,1,0,0,0,91,0,1,7,1,12,0,88,0,0,92,0,5,0,3,94,1,0,5,0,92,8
1,Chernihivs'ka oblast,UA-74,26,31,14,2,27,30,27,30,11,2,92,0,6,0,2,94,6,0,0,0,96,0,0,4,0,25,0,72,0,3,90,4,0,0,6,88,6,6,0,0,100,0,0,0,0,98,2
2,Chernivets'ka oblast,UA-77,22,25,19,2,32,28,34,34,4,0,88,8,3,1,0,77,22,0,1,0,88,0,0,12,0,99,0,1,0,0,8,0,0,92,0,91,3,0,0,6,90,10,0,0,0,99,1
3,Crimea,UA-43,21,34,12,4,29,33,33,34,0,0,100,0,0,0,0,49,1,0,0,50,100,0,0,0,0,96,0,0,3,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,24,32,13,3,28,33,31,33,3,0,67,1,30,0,2,70,7,23,0,0,99,0,0,1,0,87,0,0,5,8,97,1,0,0,2,96,2,2,0,0,99,1,0,0,0,100,0
5,Donetsk Oblast,UA-14,22,33,14,4,27,36,30,34,0,0,96,1,3,0,0,98,1,0,0,1,88,12,0,0,0,94,0,0,3,3,95,2,1,1,1,98,2,0,0,0,98,0,2,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,20,30,17,5,28,30,31,25,12,2,87,4,6,0,3,57,40,1,2,0,95,1,0,4,0,97,0,0,2,1,76,4,1,17,2,12,0,0,0,88,88,5,2,0,5,99,1
7,Kharkiv Oblast,UA-63,18,33,19,2,28,26,32,31,0,11,97,1,2,0,0,93,6,0,0,1,100,0,0,0,0,89,0,0,1,10,96,2,0,0,2,96,3,1,0,0,98,0,1,0,1,100,0
8,Khersons'ka oblast,UA-65,17,34,19,6,24,33,31,33,3,0,94,3,3,0,0,90,5,1,2,2,99,0,0,1,0,4,0,0,96,0,92,5,0,2,1,95,3,2,0,0,97,2,0,0,1,100,0
9,Khmel'nyts'ka oblast,UA-68,24,31,14,3,28,31,29,29,11,0,81,7,10,1,1,79,17,1,2,1,83,0,0,17,0,90,0,4,5,1,10,90,0,0,0,78,4,16,0,2,78,11,2,1,8,95,5
10,Kirovohrads'ka oblast,UA-35,25,32,13,1,29,33,31,26,8,2,70,11,19,0,0,87,7,2,4,0,95,0,0,5,0,73,0,0,20,7,89,2,5,2,2,98,0,0,0,2,17,0,0,83,0,100,0
11,Kyiv city,UA-30,19,32,17,4,28,20,22,25,33,0,90,5,4,0,1,63,34,1,1,1,87,0,0,13,0,71,0,1,14,14,69,8,5,5,13,78,3,13,0,6,70,9,8,3,10,96,4
12,Kyivs'ka oblast,UA-32,22,34,15,5,24,23,23,23,31,0,86,6,7,0,1,87,12,0,0,1,95,1,0,4,0,91,0,3,4,2,82,9,2,2,5,93,5,1,0,1,94,1,3,1,1,44,56
13,Luhans'ka oblast,UA-09,27,30,13,3,27,31,33,35,1,0,95,0,5,0,0,95,5,0,0,0,98,0,2,0,0,91,0,1,6,2,99,1,0,0,0,96,3,0,0,1,98,1,1,0,0,100,0
14,Lviv Oblast,UA-46,18,34,17,4,27,28,30,34,7,1,90,3,6,0,1,6,94,0,0,0,95,0,0,5,0,95,0,2,1,2,90,4,1,3,2,88,2,5,0,5,77,12,2,0,9,100,0
15,Mykolaivs'ka oblast,UA-48,16,34,16,2,32,30,34,33,3,0,85,13,2,0,0,53,2,1,44,0,97,0,0,3,0,76,0,0,20,4,95,5,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
16,Odessa Oblast,UA-51,17,35,17,3,28,35,29,35,1,0,64,35,1,0,0,97,2,0,0,1,99,0,0,1,0,95,0,0,3,2,93,3,1,0,3,98,1,1,0,0,97,1,2,0,0,100,0
17,Poltavs'ka oblast,UA-53,21,28,18,4,29,27,33,33,6,1,88,4,7,0,1,91,3,2,4,0,94,1,0,5,0,6,0,0,0,94,92,2,1,1,4,85,3,10,0,2,88,5,4,0,3,99,1
18,Rivnens'ka oblast,UA-56,19,34,14,6,27,29,22,30,18,1,84,5,11,0,0,75,22,1,2,0,96,0,0,4,0,97,0,1,2,0,88,4,0,0,8,5,0,95,0,0,65,7,0,0,28,100,0
