date,country,topic,caminar a Brasil,caminar a Perú,caminar a Panamá,caminar a Venezuela,caminar a Ecuador,billete de avión a Brasil,billete de avión a Perú,billete de avión a Panamá,billete de avión a Venezuela,billete de avión a Ecuador,aeropuerto cerca de mi,bote a Brasil,bote a Perú,bote a Panamá,bote a Venezuela,bote a Ecuador,tren a Brasil,tren a Perú,tren a Panamá,tren a Venezuela,tren a Ecuador,estación,aplicar,equipaje,hotel en Brasil,hotel en Perú,hotel en Panamá,hotel en Venezuela,hotel en Ecuador,albergue en Brasil,albergue en Perú,albergue en Panamá,albergue en Venezuela,albergue en Ecuador,tráfico,boleto a,motel en Brasil,motel en Perú,motel en Panamá,motel en Venezuela,motel en Ecuador,conduciendo,tarifa aérea,carreteras,camión,Airbnb,como caminar a,pasaje aérea,precio de billete de avión
2019-02-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,65.0,15.0,0.0,0.0,0.26785714285714285,0.5357142857142857,0.26785714285714285,0.0,0.0,0.0,0.0,0.0,41.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,47.0,22.0,434.0,7.0,0.0,0.0
2019-03-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,66.0,18.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,57.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,58.0,26.0,297.0,4.5,0.0,0.0
2019-04-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,70.0,21.0,0.0,0.0,0.27631578947368424,0.27631578947368424,0.5526315789473685,0.0,0.0,0.0,0.0,0.0,64.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,63.0,26.0,241.5,0.0,0.0,0.0
2019-05-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,71.0,18.0,0.0,0.0,0.0,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,48.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,58.0,30.0,300.0,5.0,0.0,0.0
2019-06-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,66.0,21.0,0.0,0.0,0.2727272727272727,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,43.0,18.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,60.0,27.0,360.0,5.0,0.0,0.0
2019-07-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,65.0,23.0,0.0,0.0,0.0,0.27380952380952384,0.27380952380952384,0.0,0.0,0.0,0.0,0.0,50.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,52.0,26.0,333.0,4.5,0.0,0.0
2019-08-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,65.0,19.0,0.0,0.0,0.5507246376811594,0.2753623188405797,0.0,0.0,0.0,0.0,0.0,0.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,51.0,30.0,288.0,0.0,0.0,0.0
2019-09-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,70.0,20.0,0.0,0.0,0.0,0.273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,67.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,53.0,29.0,286.0,4.333333333333333,0.0,0.0
2019-10-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,66.0,19.0,0.0,0.0,0.2714285714285714,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,54.0,28.0,296.0,4.0,0.0,0.0
2019-11-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,65.0,22.0,0.0,0.0,0.0,0.28205128205128205,0.28205128205128205,0.0,0.0,0.0,0.0,0.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,50.0,30.0,319.5,4.5,0.0,0.0
