emotion,model name,accuracy,macro precision,macro recall,macro f1,micro precision,micro recall,micro f1,emoji_flag
anger,LogisticRegression,0.6919191919191918,0.611038961038961,0.6103056426332288,0.7094017094017094,0.7094017094017094,0.7094017094017093,0.7094017094017094,0
anger,MultinomialNB,0.6456140350877193,0.6616883116883117,0.6390247573180826,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,0
anger,DecisionTreeClassifier,0.5804574638844302,0.5650974025974026,0.5646704464918498,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0
anger,KNeighborsClassifier,0.6519495412844036,0.5430194805194806,0.502016129032258,0.6752136752136753,0.6752136752136753,0.6752136752136753,0.6752136752136753,0
anger,RandomForestClassifier,0.8318965517241379,0.5125,0.42335397447238726,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
fear,LogisticRegression,0.42735042735042733,0.5,0.46082949308755755,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,0
fear,MultinomialNB,0.5354938271604939,0.5608823529411764,0.5243406650682789,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
fear,DecisionTreeClassifier,0.8032710280373832,0.6908823529411765,0.7278582930756844,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0
fear,KNeighborsClassifier,0.42735042735042733,0.5,0.46082949308755755,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,0
fear,RandomForestClassifier,0.42735042735042733,0.5,0.46082949308755755,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,0
sadness,LogisticRegression,0.6890440386680988,0.6106222501571339,0.605026256564141,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0
sadness,MultinomialNB,0.5864035087719298,0.5928661219358893,0.5808955223880596,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.5897435897435898,0
sadness,DecisionTreeClassifier,0.6098901098901099,0.5817096165933375,0.5786561264822134,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,0
sadness,KNeighborsClassifier,0.3162393162393162,0.5,0.38743455497382195,0.6324786324786325,0.6324786324786325,0.6324786324786325,0.6324786324786325,0
sadness,RandomForestClassifier,0.6535087719298245,0.5164990571967316,0.4317761332099908,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,0
disgust,LogisticRegression,0.4224137931034483,0.494949494949495,0.4558139534883721,0.8376068376068376,0.8376068376068376,0.8376068376068376,0.8376068376068376,0
disgust,MultinomialNB,0.5783313325330132,0.6464646464646464,0.5503619626418805,0.6324786324786325,0.6324786324786325,0.6324786324786325,0.6324786324786325,0
disgust,DecisionTreeClassifier,0.5865384615384616,0.5656565656565656,0.5723820117590974,0.8034188034188035,0.8034188034188035,0.8034188034188035,0.8034188034188035,0
disgust,KNeighborsClassifier,0.4230769230769231,0.5,0.4583333333333333,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0
disgust,RandomForestClassifier,0.4230769230769231,0.5,0.4583333333333333,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0
joy,LogisticRegression,0.8173076923076923,0.6547619047619048,0.6753006475485661,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,0
joy,MultinomialNB,0.6062646370023419,0.6309523809523809,0.5920185974428516,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0
joy,DecisionTreeClassifier,0.6772287862513426,0.6190476190476191,0.6291208791208792,0.7435897435897436,0.7435897435897436,0.7435897435897437,0.7435897435897436,0
joy,KNeighborsClassifier,0.49759229534510435,0.49783549783549785,0.38348946135831385,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0
joy,RandomForestClassifier,0.7705357142857143,0.5546536796536796,0.528732545649839,0.7435897435897436,0.7435897435897436,0.7435897435897437,0.7435897435897436,0
surprise,LogisticRegression,0.49572649572649574,0.5,0.4978540772532189,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,0
surprise,MultinomialNB,0.49504950495049505,0.43103448275862066,0.4608294930875576,0.8547008547008547,0.8547008547008547,0.8547008547008547,0.8547008547008547,0
surprise,DecisionTreeClassifier,0.4956896551724138,0.4956896551724138,0.4956896551724138,0.9829059829059829,0.9829059829059829,0.9829059829059829,0.9829059829059829,0
surprise,KNeighborsClassifier,0.49572649572649574,0.5,0.4978540772532189,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,0
surprise,RandomForestClassifier,0.49572649572649574,0.5,0.4978540772532189,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,0
anger,LogisticRegression,0.5901960784313726,0.5429638854296388,0.5127360774818402,0.6324786324786325,0.6324786324786325,0.6324786324786325,0.6324786324786325,1
anger,MultinomialNB,0.6680672268907563,0.674346201743462,0.669869595058339,0.6837606837606838,0.6837606837606838,0.6837606837606838,0.6837606837606838,1
anger,DecisionTreeClassifier,0.5294448612153039,0.5244396014943961,0.5192452830188679,0.5811965811965812,0.5811965811965812,0.5811965811965812,0.5811965811965812,1
anger,KNeighborsClassifier,0.8201754385964912,0.5340909090909091,0.4542041187848447,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,1
anger,RandomForestClassifier,0.31196581196581197,0.5,0.3842105263157895,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6239316239316239,1
fear,LogisticRegression,0.4358974358974359,0.5,0.4657534246575343,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,1
fear,MultinomialNB,0.5485714285714285,0.6,0.5245316681534344,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6495726495726496,1
fear,DecisionTreeClassifier,0.5794117647058824,0.5794117647058824,0.5794117647058824,0.811965811965812,0.811965811965812,0.811965811965812,0.811965811965812,1
fear,KNeighborsClassifier,0.5202702702702703,0.5088235294117647,0.5030181086519114,0.8376068376068376,0.8376068376068376,0.8376068376068376,0.8376068376068376,1
fear,RandomForestClassifier,0.9396551724137931,0.5333333333333333,0.5303899082568807,0.8803418803418803,0.8803418803418803,0.8803418803418802,0.8803418803418803,1
sadness,LogisticRegression,0.5941176470588235,0.5477611940298508,0.508535168469032,0.5982905982905983,0.5982905982905983,0.5982905982905983,0.5982905982905983,1
sadness,MultinomialNB,0.5673302107728337,0.5686567164179104,0.5629531970995385,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5641025641025641,1
sadness,DecisionTreeClassifier,0.5714285714285714,0.5504477611940299,0.5323117921385743,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.5897435897435898,1
sadness,KNeighborsClassifier,0.7887931034482758,0.51,0.3857280617164899,0.5811965811965812,0.5811965811965812,0.5811965811965812,0.5811965811965812,1
sadness,RandomForestClassifier,0.2826086956521739,0.48507462686567165,0.35714285714285715,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1
disgust,LogisticRegression,0.40086206896551724,0.4946808510638298,0.4428571428571429,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7948717948717948,1
disgust,MultinomialNB,0.5364249037227214,0.5524976873265495,0.5268382352941177,0.6239316239316239,0.6239316239316239,0.6239316239316239,0.6239316239316239,1
disgust,DecisionTreeClassifier,0.595756880733945,0.5386216466234968,0.5351978388685841,0.7863247863247863,0.7863247863247863,0.7863247863247863,0.7863247863247863,1
disgust,KNeighborsClassifier,0.3894230769230769,0.4308510638297872,0.40909090909090906,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,1
disgust,RandomForestClassifier,0.4017094017094017,0.5,0.44549763033175355,0.8034188034188035,0.8034188034188035,0.8034188034188035,0.8034188034188035,1
joy,LogisticRegression,0.7692307692307693,0.6289865343727853,0.6405734440778246,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,1
joy,MultinomialNB,0.6323185011709602,0.6601700921332389,0.6208333333333333,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411,1
joy,DecisionTreeClassifier,0.7087912087912088,0.6750531537916371,0.6862068965517241,0.7606837606837606,0.7606837606837606,0.7606837606837606,0.7606837606837606,1
joy,KNeighborsClassifier,0.5245098039215687,0.5132884479092842,0.49663541092112523,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
joy,RandomForestClassifier,0.8705357142857143,0.5735294117647058,0.5538461538461539,0.7521367521367521,0.7521367521367521,0.752136752136752,0.7521367521367521,1
