15/04/2023,05/07/2023,Updated with new information,East Darfur,SD05,SD05142,Ad Du'ayn,El Neem IDP Camp,Urban,Camp,2220,444,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,2220,0,2220,444,0,0,0,0,0,0,444,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,East Darfur,SD05,SD05142,Ad Du'ayn,El Neem IDP Camp,Urban,Camp,785,157,Khartoum,SD01,SD01007,Khartoum,Khartoum,785,0,785,157,0,0,0,0,0,0,157,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,Urban,Neighbourhood,7750,1550,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,7750,0,7750,0,1095,0,0,455,0,0,1550,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Al Salam IDP Camp,Urban,Camp,250,50,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,250,0,250,50,0,0,0,0,0,0,50,Food,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Al Salam IDP Camp,Urban,Camp,3640,728,North Darfur,SD02,SD02170,Tawila,Tawila Town,3640,0,3640,728,0,0,0,0,0,0,728,WASH,Return to location of origin
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Zamzam IDP Camp,Rural,Camp,1085,217,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1085,0,1085,217,0,0,0,0,0,0,217,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Abu Shouck IDP Camp,Urban,Camp,445,103,North Darfur,SD02,SD02128,Kutum,Kutum Town,445,0,445,103,0,0,0,0,0,0,103,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Korma Gathering Site,Rural,Village,500,100,North Darfur,SD02,SD02128,Kutum,Kutum Town,500,0,500,0,0,0,0,0,100,0,100,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Korma,Rural,Village,605,121,North Darfur,SD02,SD02128,Kutum,Kutum Town,605,0,605,0,0,0,0,121,0,0,121,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Dekir,Rural,Village,200,40,North Darfur,SD02,SD02128,Kutum,Kutum Town,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay IDP Camp,Rural,Camp,1615,323,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1615,0,1615,323,0,0,0,0,0,0,323,Food,Remain in the same place
15/04/2023,05/07/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay IDP Camp,Rural,Camp,695,139,North Darfur,SD02,SD02170,Tawila,Tabit,695,0,695,139,0,0,0,0,0,0,139,Non-Food Items,Move to another location
15/04/2023,05/07/2023,Updated with same information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay,Rural,Village,825,165,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,825,0,825,0,165,0,0,0,0,0,165,Food,Remain in the same place
