Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
6/4/2023,North Darfur,SD02,Saraf Omra,SD02133,Dar As Salam,Rural,Village,300,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Abudilek,Rural,Village,135,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Wada Shamal,Rural,Village,75,Khartoum,SD01,Um Durman,SD01006
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Bahri Um Dorman,Rural,Village,60,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Eid algideam,Rural,Village,45,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Um Dam,Rural,Village,150,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Sani Karow,Rural,Village,150,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Aldeka,Rural,Village,50,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Um Beteen,Rural,Village,100,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Kelemando,SD02126,Eid albaida,Rural,Village,90,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,At Tawisha,SD02119,At Tewisha town,Urban,Neighbourhood,75,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Al lait,SD02169,Al Lait town,Urban,Neighbourhood,675,North Darfur,SD02,Al Fasher,SD02114
6/4/2023,North Darfur,SD02,Al lait,SD02169,Al Lait town,Urban,Neighbourhood,985,Khartoum,SD01,Khartoum,SD01007
6/4/2023,North Darfur,SD02,Al lait,SD02169,Al Lait town,Urban,Neighbourhood,90,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Nyala Janoub,SD03167,Nyala town,Urban,Neighbourhood,30000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Nyala Janoub,SD03167,"Otash (IDP camp), As Salam, Kalma and Derig IDPs camps",Urban,Camp,20000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Mershing,SD03145,Mershing town,Urban,Neighbourhood,5000,South Darfur,SD03,Mershing,SD03145
6/4/2023,South Darfur,SD03,Sharg Aj Jabal,SD03147,Kyora village,Rural,Village,320,South Darfur,SD03,Mershing,SD03145
6/4/2023,South Darfur,SD03,Kas,SD03144,Kas town,Urban,Neighbourhood,5000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Beliel,SD03162,Beliel town,Urban,Neighbourhood,7000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Buram,SD03161,Buram town,Urban,Neighbourhood,4000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,As Sunta,SD03156,As Sunta town,Urban,Neighbourhood,3000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Rehaid Albirdi,SD03158,Rehaid Albardi town,Urban,Neighbourhood,2000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Al Wihda,SD03150,Malam,Urban,Neighbourhood,7000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,As Salam - SD,SD03166,Nitiga,Rural,Village,3000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,As Salam - SD,SD03166,Abu Agura,Rural,Village,2500,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,South Darfur,SD03,Beliel,SD03162,Um Guina,Rural,Village,1000,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,East Darfur,SD05,Ad Du'ayn,SD05142,El Deain town,Urban,Neighbourhood,4900,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,East Darfur,SD05,Ad Du'ayn,SD05142,El Naem IDP camp,Urban,Camp,2100,South Darfur,SD03,Nyala Janoub,SD03167
6/4/2023,Central Darfur,SD06,Zalingi,SD06138,Hai Alwadi,Urban,Neighbourhood,15000,Central Darfur,SD06,Zalingi,SD06138
6/4/2023,Central Darfur,SD06,Zalingi,SD06138,Hai El estad,Urban,Neighbourhood,15000,Central Darfur,SD06,Zalingi,SD06138
6/4/2023,Central Darfur,SD06,Zalingi,SD06138,Hai Al sawra,Urban,Neighbourhood,40000,Central Darfur,SD06,Zalingi,SD06138
6/4/2023,Central Darfur,SD06,Zalingi,SD06138,Al Himmediya,Urban,Neighbourhood,20000,Central Darfur,SD06,Zalingi,SD06138
6/4/2023,Central Darfur,SD06,Wadi Salih,SD06137,Al Amira Camp,Rural,Camp,280,Central Darfur,SD06,Wadi Salih,SD06137
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Shati area (Ag Geneina town),Urban,Neighbourhood,60000,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Emtidad area (Ag Geneina town),Urban,Neighbourhood,100000,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,Al Salam A (Ag Geneina town),Urban,Neighbourhood,26575,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,As Salam B (Ag Geneina town),Urban,Neighbourhood,26645,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,Hai Alriyad (Ag Geneina town),Urban,Neighbourhood,45000,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,West Darfur,SD04,Ag Geneina,SD04115,Ardamata (Ag Geneina town),Urban,Neighbourhood,15000,West Darfur,SD04,Ag Geneina,SD04115
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Alemtidat,Urban,Neighbourhood,385,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Alemtidat,Urban,Neighbourhood,330,Khartoum,SD01,Bahri,SD01003
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Alnasr,Urban,Neighbourhood,355,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Alnasr,Urban,Neighbourhood,325,Khartoum,SD01,Bahri,SD01003
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Alowla,Urban,Neighbourhood,460,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Alowla,Urban,Neighbourhood,400,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althania,Urban,Neighbourhood,405,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althania,Urban,Neighbourhood,375,Khartoum,SD01,Bahri,SD01003
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althaltha,Urban,Neighbourhood,475,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althaltha,Urban,Neighbourhood,465,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althaltha,Urban,Neighbourhood,415,Khartoum,SD01,Bahri,SD01002
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Aldaraja Althaltha,Urban,Neighbourhood,335,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Artidi/ Terhagah Park Hotel,Urban,Neighbourhood,380,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Artidei,Urban,Neighbourhood,340,Khartoum,SD01,Bahri,SD01003
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Artidei,Urban,Neighbourhood,315,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Agajah,Urban,Neighbourhood,295,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Kabitot,Urban,Neighbourhood,270,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Northern,SD17,Dongola,SD17017,Hai Kabitot,Urban,Neighbourhood,245,Khartoum,SD01,Bahri,SD01003
6/4/2023,Northern,SD17,Dongola,SD17017,Hai jaradah,Urban,Neighbourhood,285,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Northern,SD17,Merwoe,SD17020,"Mereowe East, town",Urban,Neighbourhood,530,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Khartoum,SD01,Jebel Awlia,SD01001,Jebel Awlia Neighbourhoods,Urban,Neighbourhood,280,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Arkawtet school for boys,Urban,Neighbourhood,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Arkawtet school for boys,Urban,Neighbourhood,50,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Arkawtet school for Girls,Urban,Neighbourhood,75,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Arkawtet school for Girls,Urban,Neighbourhood,75,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Technical school for boys,Urban,Neighbourhood,50,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Technical school for boys,Urban,Neighbourhood,45,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Block 91,Urban,Neighbourhood,55,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Block 91,Urban,Neighbourhood,55,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Urban,Neighbourhood,350,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Rural,Village,200,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altaimab,Rural,Village,150,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,500,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,400,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,375,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,250,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altleeh Alkhwalda,Rural,Village,225,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alteboob,Rural,Village,150,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alteboob,Rural,Village,100,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljebiliya,Rural,Village,85,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljebiliya,Rural,Village,50,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hazawe,Rural,Village,40,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Hazawe,Rural,Village,35,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkhoulab,Urban,Neighbourhood,90,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkhoulab,Urban,Neighbourhood,60,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Goz Ahmed Nour,Rural,Village,275,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Goz Ahmed Nour,Rural,Village,175,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almanaseer,Urban,Neighbourhood,50,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almanaseer,Urban,Neighbourhood,45,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umdowina,Rural,Village,75,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umdowina,Rural,Village,25,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,18 Nail,Urban,Neighbourhood,65,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,19 Nail,Urban,Neighbourhood,60,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Hussein,Rural,Village,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Hussein,Rural,Village,75,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Keriee,Rural,Village,275,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Keriee,Rural,Village,125,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Najarow,Rural,Village,175,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Najarow,Rural,Village,100,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alfadleen,Rural,Village,130,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alamousiya,Rural,Village,125,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Aljamousiya,Rural,Village,75,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Wad Karar,Rural,Village,60,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Faris Alketab village,Rural,Village,185,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Faris Alketab village,Rural,Village,150,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud Wast village,Rural,Village,130,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud Wast village,Rural,Village,50,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Umjloud East village,Rural,Village,165,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkabour village,Rural,Village,235,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkabour village,Rural,Village,200,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Shaaeldin Village,Rural,Village,100,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Shaaeldin Village,Rural,Village,80,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkapule Village,Rural,Village,255,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alkapule Village,Rural,Village,150,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altbob Village,Rural,Village,125,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Altbob Village,Rural,Village,125,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Algaradaiya Village,Rural,Village,150,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,22 Um Uwood Village,Rural,Village,75,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,250,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,200,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,150,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,85,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Almuosalamiya,Urban,Neighbourhood,75,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Abduelrahamn Village,Rural,Village,250,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Abduelrahamn Village,Rural,Village,200,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Alfougara 19 village,Rural,Village,260,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,610,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,525,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,465,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Hasahisa,SD15034,Tabta,Rural,Village,400,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Dar Elsalam town,Urban,Neighbourhood,160,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Dar Elsalam town,Urban,Neighbourhood,115,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Dar Elsalam town,Urban,Neighbourhood,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Habiba village,Rural,Village,190,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Habiba village,Rural,Village,115,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Habiba village,Rural,Village,85,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Tabat,Urban,Neighbourhood,225,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Tabat,Urban,Neighbourhood,125,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 10,Urban,Neighbourhood,185,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 10,Urban,Neighbourhood,175,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 10,Urban,Neighbourhood,35,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Althowra,Rural,Village,160,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Althowra,Rural,Village,85,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Althowra,Rural,Village,130,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almahlaj,Urban,Neighbourhood,170,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almahlaj,Urban,Neighbourhood,110,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 5,Urban,Neighbourhood,145,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 5,Urban,Neighbourhood,90,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alkamleen block 5,Urban,Neighbourhood,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Albageer East,Rural,Village,225,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Albageer East,Rural,Village,75,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Wad Aljalal,Rural,Village,125,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Wad Aljalal,Rural,Village,150,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almasoudiya,Urban,Neighbourhood,160,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Almasoudiya,Urban,Neighbourhood,140,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Alashigla,Rural,Village,145,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Aljadid Alashigla,Rural,Village,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alnuba,Rural,Village,160,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alnuba,Rural,Village,125,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alltei,Rural,Village,275,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,Alltei,Rural,Village,100,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Hai Kashkoush,Urban,Neighbourhood,135,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Hai Kashkoush,Urban,Neighbourhood,115,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Hai Almazad,Urban,Neighbourhood,85,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Hai Almazad,Urban,Neighbourhood,65,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Block 40,Urban,Neighbourhood,55,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Dafalla Village,Rural,Village,125,Khartoum,SD01,Bahri,SD01003
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Dafalla Village,Rural,Village,75,Khartoum,SD01,Um Bada,SD01002
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Village 8 Sefir,Rural,Village,75,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Village 8 Sefir,Rural,Village,75,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Village 8 Tambal,Rural,Village,50,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Village 8 Tambal,Rural,Village,50,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Bashair Village,Rural,Village,105,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Sekandar East,Rural,Village,75,Khartoum,SD01,Sharg An Neel,SD01004
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Sekandar West,Rural,Village,60,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Sekandar West,Rural,Village,40,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Aldahiya,Rural,Village,50,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Maktab Alhashaba,Rural,Village,85,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Set Alnour village,Rural,Village,75,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Set Alnour village,Rural,Village,50,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Idriss,Rural,Village,80,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Sarier,Rural,Village,90,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Kubri Alhawa,Rural,Village,50,Khartoum,SD01,Um Durman,SD01006
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Tohami village,Rural,Village,125,Khartoum,SD01,Jebel Awlia,SD01001
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Daoud,Rural,Village,65,Khartoum,SD01,Khartoum,SD01007
6/4/2023,Aj Jazirah,SD15,Al Manaqil,SD15036,Kambo Daoud,Rural,Village,65,Khartoum,SD01,Um Durman,SD01006
