Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,575,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,560,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,400,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,225,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,200,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,350,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Bahri,SD01003,,,,140,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,60,Khartoum,SD01,Bahri,SD01003
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,35,Khartoum,SD01,Bahri,SD01003
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,45,Khartoum,SD01,Bahari,SD01003
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,125,Khartoum,SD01,Bahari,SD01003
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,40,Khartoum,SD01,Bahari,SD01003
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,115,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Sharg An Neel,SD01004,,,,250,Khartoum,SD01,Sharg Alneel,SD01004
4/28/2023,Khartoum,SD01,Khartoum,SD01007,,,,285,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Khartoum,SD01007,,,,440,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,500,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,200,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,150,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,150,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,250,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,225,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,140,Khartoum,SD01,Jabal Alwlia,SD01001
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,1000,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,1000,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,250,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,150,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,100,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Um Durman,SD01006,,,,900,Khartoum,SD01,Omdorman,SD01006
4/28/2023,Khartoum,SD01,Karrari,SD01005,,,,100,Khartoum,SD01,Karrary,SD01005
4/28/2023,Khartoum,SD01,Karrari,SD01005,,,,150,Khartoum,SD01,Karrary,SD01005
4/28/2023,Khartoum,SD01,Karrari,SD01005,,,,125,Khartoum,SD01,Karrary,SD01005
4/28/2023,Khartoum,SD01,Karrari,SD01005,,,,150,Khartoum,SD01,Karrary,SD01005
4/28/2023,Aj Jazirah,SD15,Medani Al Kubra,SD15030,,,,535,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Medani Al Kubra,SD15030,,,,1525,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Medani Al Kubra,SD15030,,,,550,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,125,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,100,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Al Kamlin,SD15035,,,,85,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
