,,,,,,,,,,,,PLACE OF ORIGIN,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,AREA NOT UNDER THE CONTROL OF THE GOVERNMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/CRITICAL SHELTERS/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Dekir,No,Rural,Village,200,40,North Darfur,SD02,SD02128,Kutum,Kutum Town,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay IDP Camp,No,Rural,Camp,"1,615",323,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,615",0,1615,323,0,0,0,0,0,0,323,Food,Remain in same place
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay,No,Rural,Village,825,165,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,825,0,825,0,165,0,0,0,0,0,165,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02113,Dar As Salam,Dar As Salam Town,No,Urban,Neighbourhood,"1,425",285,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"1,425",0,1425,0,285,0,0,0,0,0,285,Food,Move to another location
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02116,Al Koma,Al Koma Town,No,Urban,Neighbourhood,600,120,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,600,0,600,0,120,0,0,0,0,0,120,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02116,Al Koma,Alkibeer,No,Rural,Village,700,140,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,700,0,700,0,140,0,0,0,0,0,140,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with new information,North Darfur,SD02,SD02129,Melit,Melit Town,No,Urban,Neighbourhood,"4,655",931,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,"4,655",0,4655,0,931,0,0,0,0,0,931,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02129,Melit,Sayah,No,Rural,Village,145,29,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,145,0,145,0,29,0,0,0,0,0,29,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiy Town,No,Urban,Neighbourhood,"1,250",250,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiya Town,"1,250",0,1250,0,250,0,0,0,0,0,250,Food,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,North Darfur,SD02,SD02124,Kebkabiya,Sortony Gathering Site,No,Rural,Camp,"1,000",200,West Darfur,SD04,SD04115,Ag Geneina,Ag Geneina Town,"1,000",0,1000,0,0,0,0,0,200,0,200,Food,Remain in same place
