INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Edara,Urban,Neighbourhood,25,5,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,25,0,25,0,5,0,0,0,0,0,5,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Khalwi,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,50,0,50,0,10,0,0,0,0,0,10,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Shatea,Urban,Neighbourhood,525,105,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,525,0,525,0,105,0,0,0,0,0,105,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al Nahda,Urban,Neighbourhood,335,67,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,335,0,335,0,67,0,0,0,0,0,67,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hdi Al-Meia,Urban,Neighbourhood,260,52,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,260,0,260,0,52,0,0,0,0,0,52,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Badr,Urban,Neighbourhood,65,13,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,65,0,65,0,13,0,0,0,0,0,13,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Nasr,Urban,Neighbourhood,840,168,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,840,0,840,0,168,0,0,0,0,0,168,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Sowg,Urban,Neighbourhood,5,1,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,5,0,5,0,1,0,0,0,0,0,1,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Dar Al-Slam,Urban,Neighbourhood,170,34,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,170,0,170,0,34,0,0,0,0,0,34,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Kambo Leimon,Urban,Neighbourhood,14,2,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,14,0,14,0,2,0,0,0,0,0,2,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Arad Al-Hajar,Urban,Neighbourhood,5,1,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,5,0,5,0,1,0,0,0,0,0,1,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11060,Reifi Khashm Elgirba,Hai Al-Arab,Urban,Neighbourhood,5,1,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,5,0,5,0,1,0,0,0,0,0,1,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 12,Rural,Village,605,121,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,605,0,605,0,121,0,0,0,0,0,121,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 13,Rural,Village,755,151,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,755,0,755,0,151,0,0,0,0,0,151,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 15,Rural,Village,250,50,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,250,0,250,0,50,0,0,0,0,0,50,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 33,Rural,Village,575,115,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,575,0,575,0,115,0,0,0,0,0,115,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 1,Rural,Village,1235,247,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1235,0,1235,0,247,0,0,0,0,0,247,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Althoura (Halfa Aljadeda Town),Urban,Neighbourhood,510,102,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,510,0,510,0,102,0,0,0,0,0,102,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Al Masnea (Halfa Aljadeda Town),Urban,Neighbourhood,1600,320,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1600,0,1600,0,320,0,0,0,0,0,320,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Aljabl (Halfa Aljadeda Town),Urban,Neighbourhood,150,30,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Alabasia (Halfa Aljadeda Town),Urban,Neighbourhood,295,59,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,295,0,295,0,59,0,0,0,0,0,59,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Emtdad Almahalg (Halfa Aljadeda Town),Urban,Neighbourhood,280,56,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,280,0,280,0,56,0,0,0,0,0,56,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Alomal (Halfa Aljadeda Town),Urban,Neighbourhood,530,106,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,530,0,530,0,106,0,0,0,0,0,106,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Hai Algafla (Halfa Aljadeda Town),Urban,Neighbourhood,730,146,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,730,0,730,0,146,0,0,0,0,0,146,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 11,Rural,Village,1530,306,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,1530,0,1530,0,306,0,0,0,0,0,306,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 21,Rural,Village,510,102,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,510,0,510,0,102,0,0,0,0,0,102,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Halfa Aljadeda(Town),Urban,Neighbourhood,6000,1200,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,6000,0,6000,0,1200,0,0,0,0,0,1200,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11052,Halfa Aj Jadeedah,Village 15,Rural,Village,840,168,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,840,0,840,0,168,0,0,0,0,0,168,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Elaskan,Rural,Village,100,20,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Awad Village,Rural,Village,275,50,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,275,0,275,0,50,0,0,0,0,0,50,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,Kassala,SD11,SD11056,Reifi Kassla,Wad Shrfi Village,Rural,Village,1035,207,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,1035,0,1035,0,207,0,0,0,0,0,207,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Aljabra Village,Rural,Village,100,20,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,100,0,100,0,20,0,0,0,0,0,20,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Omara Village,Rural,Village,950,190,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,950,0,950,0,190,0,0,0,0,0,190,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Tajjojvillage,Rural,Village,30,6,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,30,0,30,0,6,0,0,0,0,0,6,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11056,Reifi Kassla,Wed Mousa Village,Rural,Village,55,11,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,55,0,55,0,11,0,0,0,0,0,11,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Almazar Village,Rural,Village,25,5,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,25,0,25,0,5,0,0,0,0,0,5,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Elwahda Village,Rural,Village,365,73,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,365,0,365,0,73,0,0,0,0,0,73,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Albrataha Village,Rural,Village,55,11,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,55,0,55,0,11,0,0,0,0,0,11,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Alarid Village,Rural,Village,10,2,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,10,0,10,0,2,0,0,0,0,0,2,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Alaliw Village,Rural,Village,180,36,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,180,0,180,0,36,0,0,0,0,0,36,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,8 Arab Village,Rural,Village,140,27,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,140,0,140,0,27,0,0,0,0,0,27,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,5 Arab Village,Rural,Village,5,2,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,5,0,5,0,2,0,0,0,0,0,2,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Umalgowra Village,Rural,Village,24,4,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,24,0,24,0,4,0,0,0,0,0,4,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Abulljma Village,Rural,Village,131,24,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,131,0,131,0,24,0,0,0,0,0,24,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,Kassala,SD11,SD11062,Reifi Nahr Atbara,Gabli Village,Rural,Village,46,8,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,46,0,46,0,8,0,0,0,0,0,8,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Bgdad,Urban,Neighbourhood,950,190,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,950,0,950,0,114,76,0,0,0,0,190,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alshreif Alaqeb,Urban,Neighbourhood,1350,270,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1350,0,1350,0,162,108,0,0,0,0,270,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Abkr Jbril,Urban,Neighbourhood,1550,310,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,1550,0,1550,0,186,124,0,0,0,0,310,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Altaief,Urban,Neighbourhood,650,130,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,650,0,650,0,78,52,0,0,0,0,130,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Al Jmhoria,Urban,Neighbourhood,1350,270,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1350,0,1350,0,162,108,0,0,0,0,270,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alreyat,Urban,Neighbourhood,750,150,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,750,0,750,0,90,60,0,0,0,0,150,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Althora,Urban,Neighbourhood,750,150,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,750,0,750,0,90,60,0,0,0,0,150,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alska Haded,Urban,Neighbourhood,800,160,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,800,0,800,0,96,64,0,0,0,0,160,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Eshlaq Al Police,Urban,Neighbourhood,900,180,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,900,0,900,0,108,72,0,0,0,0,180,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alban Jaded,Urban,Neighbourhood,2750,550,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2750,0,2750,0,330,220,0,0,0,0,550,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alaml,Urban,Neighbourhood,1250,250,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1250,0,1250,0,150,100,0,0,0,0,250,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Al Khalig,Urban,Neighbourhood,600,120,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,600,0,600,0,72,48,0,0,0,0,120,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alsadaga,Urban,Neighbourhood,950,190,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,950,0,950,0,114,76,0,0,0,0,190,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Deem Alnour,Urban,Neighbourhood,2425,485,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2425,0,2425,0,291,194,0,0,0,0,485,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alwaha,Urban,Neighbourhood,610,122,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,610,0,610,0,73,49,0,0,0,0,122,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai October,Urban,Neighbourhood,1350,270,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1350,0,1350,0,162,108,0,0,0,0,270,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Sawakn,Urban,Neighbourhood,1100,220,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1100,0,1100,0,132,88,0,0,0,0,220,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alshrog,Urban,Neighbourhood,400,80,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,400,0,400,0,48,32,0,0,0,0,80,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alsalam,Urban,Neighbourhood,1200,240,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1200,0,1200,0,144,96,0,0,0,0,240,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alnahda,Urban,Neighbourhood,1075,215,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1075,0,1075,0,129,86,0,0,0,0,215,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alfardos,Urban,Neighbourhood,1000,200,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1000,0,1000,0,120,80,0,0,0,0,200,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alsalma Albai,Urban,Neighbourhood,2000,400,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2000,0,2000,0,320,80,0,0,0,0,400,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Albheos,Urban,Neighbourhood,750,150,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,750,0,750,0,90,60,0,0,0,0,150,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Dar Alsalam,Urban,Neighbourhood,1200,240,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1200,0,1200,0,192,48,0,0,0,0,240,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alasra,Urban,Neighbourhood,900,180,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,900,0,900,0,108,72,0,0,0,0,180,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alneel,Urban,Neighbourhood,300,60,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,300,0,300,0,36,24,0,0,0,0,60,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Almtar,Urban,Neighbourhood,700,140,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,700,0,700,0,84,56,0,0,0,0,140,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alsofi,Urban,Neighbourhood,700,140,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,700,0,700,0,84,56,0,0,0,0,140,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Arkweet,Urban,Neighbourhood,800,160,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,800,0,800,0,96,64,0,0,0,0,160,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alabasia,Urban,Neighbourhood,1000,200,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1000,0,1000,0,120,80,0,0,0,0,200,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Almaemora,Urban,Neighbourhood,950,190,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,950,0,950,0,114,76,0,0,0,0,190,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Aldoha,Urban,Neighbourhood,825,165,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,825,0,825,0,99,66,0,0,0,0,165,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Abayo,Urban,Neighbourhood,300,60,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,300,0,300,0,36,24,0,0,0,0,60,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Karfs,Urban,Neighbourhood,700,140,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,700,0,700,0,84,56,0,0,0,0,140,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Alrabiea,Urban,Neighbourhood,1655,331,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1655,0,1655,0,265,66,0,0,0,0,331,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12080,Madeinat Al Gedaref,Hai Emtad October,Urban,Neighbourhood,1000,200,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1000,0,1000,0,120,80,0,0,0,0,200,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 10,Rural,Village,1525,305,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1525,0,1525,0,305,0,0,0,0,0,305,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 17,Rural,Village,1070,214,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1070,0,1070,0,214,0,0,0,0,0,214,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 7,Rural,Village,750,150,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,750,0,750,0,150,0,0,0,0,0,150,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 6,Rural,Village,1850,370,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1850,0,1850,0,370,0,0,0,0,0,370,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 13,Rural,Village,300,60,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,300,0,300,0,60,0,0,0,0,0,60,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12074,Al Fao,Village 18,Rural,Village,420,84,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,420,0,420,0,84,0,0,0,0,0,84,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12074,Al Fao,Hai Almosasasa (Al Fao Town),Urban,Neighbourhood,380,76,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,380,0,380,0,46,30,0,0,0,0,76,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12074,Al Fao,Hai Al Gabal (Al Fao Town),Urban,Neighbourhood,725,145,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,725,0,725,0,87,58,0,0,0,0,145,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12074,Al Fao,Hai Suko (Al Fao Town),Urban,Neighbourhood,440,88,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,440,0,440,0,53,35,0,0,0,0,88,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12074,Al Fao,Hai Almatar (Al Fao Town),Urban,Neighbourhood,970,194,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,970,0,970,0,116,78,0,0,0,0,194,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Gedaref,SD12,SD12074,Al Fao,Hai Alradwan (Al Fao Town),Urban,Neighbourhood,290,58,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel neighbourhoods,40,250,290,0,35,23,0,0,0,0,58,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,Alhamra,Rural,Village,1585,317,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,1585,0,1585,0,317,0,0,0,0,0,317,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,Tawarit,Rural,Village,510,102,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,510,0,510,0,102,0,0,0,0,0,102,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,Gareb,Rural,Village,120,24,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,120,0,120,0,24,0,0,0,0,0,24,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,Wd Shajra Shrig,Rural,Village,105,21,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,105,0,105,0,21,0,0,0,0,0,21,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Gedaref,SD12,SD12083,Galabat Ash-Shargiah,Wd Qnaofa,Rural,Village,100,20,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in same place
