INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,7/12/23,Updated with same information,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,2345,469,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2345,0,2345,0,469,0,0,0,0,0,469,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,West Darfur,SD04,SD04121,Foro Baranga,Foro Baranga Town,Urban,Neighbourhood,350,70,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,350,0,350,0,70,0,0,0,0,0,70,Non-Food Items,Move to another location
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Tandalti,Rural,Village,205,38,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,205,0,205,0,38,0,0,0,0,0,38,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Al Azhari,Urban,Neighbourhood,180,35,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,180,0,180,0,35,0,0,0,0,0,35,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Falastin,Urban,Neighbourhood,155,30,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,155,0,155,0,30,0,0,0,0,0,30,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Alsmaih,Rural,Village,330,60,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,330,0,330,0,60,0,0,0,0,0,60,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alsafa,Urban,Neighbourhood,220,43,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,220,0,220,0,31,12,0,0,0,0,43,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alwihda,Urban,Neighbourhood,140,30,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,140,0,140,0,30,0,0,0,0,0,30,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alsalam,Urban,Neighbourhood,240,45,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,240,0,240,0,35,10,0,0,0,0,45,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Alban Jadid East,Urban,Neighbourhood,114,23,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,114,0,114,0,23,0,0,0,0,0,23,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Mhila,Rural,Village,140,30,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,140,0,140,0,30,0,0,0,0,0,30,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alshati,Urban,Neighbourhood,355,56,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,355,0,355,0,50,6,0,0,0,0,56,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Ardiba,Urban,Neighbourhood,134,24,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,134,0,134,0,24,0,0,0,0,0,24,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Dakna,Urban,Neighbourhood,142,27,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,142,0,142,0,27,0,0,0,0,0,27,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hi Alsafa,Urban,Neighbourhood,98,20,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,98,0,98,0,20,0,0,0,0,0,20,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Sidra,Rural,Village,132,23,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,132,0,132,0,23,0,0,0,0,0,23,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Al Hgina,Rural,Village,190,34,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,190,0,190,0,34,0,0,0,0,0,34,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Mwailh,Rural,Village,64,13,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,64,0,64,0,13,0,0,0,0,0,13,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Mandor,Rural,Village,28,6,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,28,0,28,0,6,0,0,0,0,0,6,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Alban Jadid Wasat,Urban,Neighbourhood,185,35,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,185,0,185,0,35,0,0,0,0,0,35,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Andraba,Rural,Village,290,56,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,290,0,290,0,56,0,0,0,0,0,56,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Goaz Boshara,Rural,Village,389,65,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,389,0,389,0,65,0,0,0,0,0,65,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Sead,Rural,Village,114,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,114,0,114,0,20,0,0,0,0,0,20,Food,Return to location of origin
