INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,Origin GPS Longitude,Origin GPS Latitude,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hai Alban Jadid,Urban,Neighbourhood,32,6,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,32,0,32,0,6,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Hai Alshifa,Urban,Neighbourhood,0,0,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,0,0,0,0,0,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hai Alwihda,Urban,Neighbourhood,40,7,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,40,0,40,0,7,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hai Alsalam,Urban,Neighbourhood,100,20,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Um Habila,Rural,Village,0,0,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,0,0,0,0,0,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Hai Alsafa,Urban,Neighbourhood,13,3,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,13,0,13,0,3,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Al Dar Alkabira,Rural,Village,0,0,North Kordofan,SD13,SD13024,Sheikan,El Obeid town,,,0,0,0,0,0,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Goaz Boshara,Rural,Village,389,65,Khartoum,SD01,SD01007,Khartoum,,,,389,0,389,0,65,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Sead,Rural,Village,114,20,Khartoum,SD01,SD01001,Jebel Awlia,,,,114,0,114,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Alsodani,Rural,Village,56,12,Khartoum,SD01,SD01007,Khartoum,,,,56,0,56,0,12,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Merikha Al Shargia,Rural,Village,416,68,Khartoum,SD01,SD01001,Jebel Awlia,,,,416,0,416,0,68,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Abu Tlaih,Rural,Village,165,30,Khartoum,SD01,SD01006,Um Durman,,,,165,0,165,0,30,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Al Karnk,Rural,Village,164,31,Khartoum,SD01,SD01007,Khartoum,,,,164,0,164,0,31,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Al Dogag,Rural,Village,255,52,Khartoum,SD01,SD01006,Um Durman,,,,255,0,255,0,52,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Um Sriha,Rural,Village,170,35,Khartoum,SD01,SD01001,Jebel Awlia,,,,170,0,170,0,35,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Fangofa,Rural,Village,107,21,Khartoum,SD01,SD01001,Jebel Awlia,,,,107,0,107,0,21,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,2. updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Noa,Rural,Village,78,14,Khartoum,SD01,SD01001,Jebel Awlia,,,,78,0,78,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,3.updated with same information,North Kordofan,SD13,SD13030,Ar Rahad,Allah Karim,Rural,Village,142,27,Khartoum,SD01,SD01003,Bahri,,,,142,0,142,0,27,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/31/23,1. New Location,North Kordofan,SD13,SD13030,Ar Rahad,Um Shogol,Rural,Village,106,21,Khartoum,SD01,SD01007,Khartoum,,,,106,0,106,0,21,0,0,0,0,0,Food,3-Return to location of origin
