INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,Origin GPS Longitude,Origin GPS Latitude,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhoosh Viillage,Rural,Village,345,69,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,345,0,345,0,69,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhoosh Viillage,Rural,Village,275,55,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,275,0,275,0,55,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhoosh Viillage,Rural,Village,185,37,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,185,0,185,0,37,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Kambo Darelnaeem,Rural,Village,85,17,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,85,0,85,0,17,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Kambo Darelnaeem,Rural,Village,55,11,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,55,0,55,0,11,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Amarah Alkhawalda,Rural,Village,60,12,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,60,0,60,0,12,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alkemeer Adam village,Rural,Village,70,14,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,70,0,70,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alkemeer Fazari village,Rural,Village,55,11,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,55,0,55,0,11,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alkemeer Fazari village,Rural,Village,40,8,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,40,0,40,0,8,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hamad Alneel village,Rural,Village,80,16,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,80,0,80,0,16,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Alhadad village,Rural,Village,325,65,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,325,0,325,0,65,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Alhadad village,Rural,Village,235,47,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,235,0,235,0,47,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Alhadad village,Rural,Village,130,26,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,130,0,130,0,26,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhaj Abdalla town,Urban,Neighbourhood,260,52,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,260,0,260,0,52,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhaj Abdalla town,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,190,0,190,0,38,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alhaj Abdalla town,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,225,0,225,0,45,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Taybah Village,Rural,Village,270,54,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,270,0,270,0,54,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Taybah Village,Rural,Village,240,48,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,240,0,240,0,48,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Taybah Village,Rural,Village,110,22,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,110,0,110,0,22,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Raiya Village,Rural,Village,300,60,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,300,0,300,0,60,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Raiya Village,Rural,Village,150,30,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,150,0,150,0,30,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Raiya Village,Rural,Village,70,14,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,70,0,70,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Almadina Arab village,Rural,Village,250,50,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,250,0,250,0,50,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Almadina Arab village,Rural,Village,180,36,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,180,0,180,0,36,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Almadina Arab village,Rural,Village,100,20,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Barakat Altakamoul,Urban,Neighbourhood,110,22,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,110,0,110,0,22,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Barakat Altakamoul,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Dar Elnaeem Village,Rural,Village,95,19,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,95,0,95,0,19,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Alhindi Village,Rural,Village,65,13,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,65,0,65,0,13,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Wad Maab Village,Rural,Village,40,8,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,40,0,40,0,8,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alteikla Village,Rural,Village,45,9,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,45,0,45,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Ganib Alasad village,Rural,Village,70,14,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,70,0,70,0,14,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Ganib Moohamed Nour Village,Rural,Village,85,17,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,85,0,85,0,17,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Beilala Village,Rural,Village,30,6,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,30,0,30,0,6,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hillat Wad Hamid,Rural,Village,25,5,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,25,0,25,0,5,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hillat Wad Abass,Rural,Village,35,7,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,35,0,35,0,7,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alremitab Village,Rural,Village,45,9,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,45,0,45,0,9,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Abduelaziz Village,Rural,Village,65,13,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,65,0,65,0,13,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alshukaba Alwehda village,Rural,Village,60,12,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,60,0,60,0,12,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alshukaba Aljack Village,Rural,Village,55,11,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,55,0,55,0,11,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alagada Village,Rural,Village,60,12,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,60,0,60,0,12,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Rabiaa Beit Village,Rural,Village,105,21,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,105,0,105,0,21,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alshareif Salih Village,Rural,Village,160,32,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,160,0,160,0,32,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Alshareif Salih Village,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hai Almourada Village,Rural,Village,145,29,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,145,0,145,0,29,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hai Almourada Village,Rural,Village,125,25,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,125,0,125,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15031,Janub Aj Jazirah,Hai Almourada Village,Rural,Village,75,15,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,,,75,0,75,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldaraja Alowla,Urban,Neighbourhood,375,75,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,375,0,375,0,0,0,0,75,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldaraja Alowla,Urban,Neighbourhood,300,60,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,300,0,300,0,0,0,0,60,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldaraja Alowla,Urban,Neighbourhood,270,54,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,270,0,270,0,0,0,0,54,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldaraja Alowla,Urban,Neighbourhood,95,19,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,95,0,95,0,0,0,0,19,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hantoob,Urban,Neighbourhood,330,66,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,330,0,330,0,0,0,0,66,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hantoob,Urban,Neighbourhood,290,58,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,290,0,290,0,0,0,0,58,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hantoob,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,225,0,225,0,0,0,0,45,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hantoob,Urban,Neighbourhood,180,36,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,180,0,180,0,0,0,0,36,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hantoob,Urban,Neighbourhood,120,24,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,120,0,120,0,0,0,0,24,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,1250,250,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,1250,0,1250,0,0,0,0,250,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,955,191,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,955,0,955,0,0,0,0,191,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,725,145,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,725,0,725,0,0,0,0,145,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,495,99,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,,,495,0,495,0,0,0,0,99,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,285,57,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,285,0,285,0,0,0,0,57,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,190,0,190,0,0,0,0,38,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Banat,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,175,0,175,0,0,0,0,35,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Banat,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,225,0,225,0,0,0,0,45,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alban,Urban,Neighbourhood,60,12,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,60,0,60,0,0,0,0,12,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alguba,Urban,Neighbourhood,170,34,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,170,0,170,0,0,0,0,34,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alguba,Urban,Neighbourhood,115,23,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,115,0,115,0,0,0,0,23,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alsalamabi,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,100,0,100,0,0,0,0,20,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Alhelimab,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,150,0,150,0,30,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Alhelimab,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,150,0,150,0,30,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Sherkila,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,75,0,75,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Sherkila,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,,,75,0,75,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Darelsalam,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Darelsalam,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Umsunut,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,125,0,125,0,25,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Umsunut,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Marinjan,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Marinjan,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alkeriba,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alkeriba,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Arkaweit,Urban,Neighbourhood,190,34,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,190,0,190,0,0,34,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Arkaweit,Urban,Neighbourhood,30,6,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,30,0,30,0,0,6,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alhilla Aljadida,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,100,0,100,0,20,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alhilla Aljadida,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,75,0,75,0,15,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hilat Mahajoup,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hilat Mahajoup,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods and villages,,,50,0,50,0,10,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Wad Almajzoub,Urban,Neighbourhood,25,5,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,25,0,25,0,5,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Wad Almajzoub,Urban,Neighbourhood,25,5,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,25,0,25,0,5,0,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,350,70,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,,,350,0,350,0,0,70,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,2. updated with new information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,450,90,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,,,450,0,450,0,0,90,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01003,Bahri,Bahri neighbourhoods,,,225,0,225,0,0,45,0,0,0,0,Food,3-Return to location of origin
4/15/23,5/30/23,3.updated with same information,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods and villages,,,100,0,100,0,0,20,0,0,0,0,Food,3-Return to location of origin
