,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01005,Karrari,Karrari Neighbourhoods,Urban,Neighbourhood,425,85,Khartoum,SD01,SD01003,Bahri,,425,0,425,0,50,35,0,0,0,0,85,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01005,Karrari,Karrari Neighbourhoods,Urban,Neighbourhood,400,80,Khartoum,SD01,SD01006,Um Durman,,400,0,400,0,50,30,0,0,0,0,80,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01005,Karrari,Karrari Neighbourhoods,Urban,Neighbourhood,350,70,Khartoum,SD01,SD01004,Sharg An Neel,,350,0,350,0,40,30,0,0,0,0,70,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,Urban,Neighbourhood,1500,300,Khartoum,SD01,SD01007,Khartoum,,1500,0,1500,0,200,100,0,0,0,0,300,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,Urban,Neighbourhood,1435,287,Khartoum,SD01,SD01003,Bahri,,1435,0,1435,0,166,121,0,0,0,0,287,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01004,Sharg An Neel,,250,0,250,0,30,20,0,0,0,0,50,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,Urban,Neighbourhood,650,130,Khartoum,SD01,SD01006,Um Durman,,650,0,650,0,80,50,0,0,0,0,130,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,Urban,Neighbourhood,400,80,Khartoum,SD01,SD01003,Bahri,,400,0,400,0,50,30,0,0,0,0,80,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,Urban,Neighbourhood,1000,200,Khartoum,SD01,SD01004,Sharg An Neel,,1000,0,1000,0,120,80,0,0,0,0,200,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay IDP Camp,Rural,Camp,1615,323,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1615,0,1615,323,0,0,0,0,0,0,323,Food,Remain in same place
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02113,Dar As Salam,Shangil Tobay,Rural,Village,250,50,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,250,0,250,0,50,0,0,0,0,0,50,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02113,Dar As Salam,Dar As Salam Town,Urban,Neighbourhood,1425,285,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1425,0,1425,0,285,0,0,0,0,0,285,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,Urban,Neighbourhood,5000,1000,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,5000,0,5000,0,645,0,0,355,0,0,1000,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,North Darfur,SD02,SD02114,Al Fasher,Al Salam IDP Camp,Urban,Camp,250,50,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,250,0,250,50,0,0,0,0,0,0,50,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,North Darfur,SD02,SD02114,Al Fasher,Zamzam Camp,Rural,Camp,1085,217,North Darfur,SD02,SD02114,Al Fasher,Al Fasher Town,1085,0,1085,217,0,0,0,0,0,0,217,Food,Remain in same place
