,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alnaziha Awad Alseed,Rural,Village,330,66,Khartoum,SD01,SD01001,Jebel Awlia,,330,0,330,0,66,0,0,0,0,0,66,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alnaziha Awad Alseed,Rural,Village,275,55,Khartoum,SD01,SD01006,Um Durman,,275,0,275,0,55,0,0,0,0,0,55,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alnaziha Awad Alseed,Rural,Village,225,45,Khartoum,SD01,SD01007,Khartoum,,225,0,225,0,45,0,0,0,0,0,45,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Alshagardi Village,Rural,Village,310,62,Khartoum,SD01,SD01001,Jebel Awlia,,310,0,310,0,62,0,0,0,0,0,62,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Alshagardi Village,Rural,Village,260,52,Khartoum,SD01,SD01004,Sharg An Neel,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Shegeel Saeed Village,Rural,Village,285,57,Khartoum,SD01,SD01006,Um Durman,,285,0,285,0,57,0,0,0,0,0,57,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Shegeel Saeed Village,Rural,Village,260,52,Khartoum,SD01,SD01001,Jebel Awlia,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldanmbo Village,Rural,Village,385,77,Khartoum,SD01,SD01006,Um Durman,,385,0,385,0,77,0,0,0,0,0,77,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldanmbo Village,Rural,Village,260,52,Khartoum,SD01,SD01007,Khartoum,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Alzaki Village,Rural,Village,510,102,Khartoum,SD01,SD01005,Karrari,,510,0,510,0,102,0,0,0,0,0,102,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Alzaki Village,Rural,Village,310,62,Khartoum,SD01,SD01001,Jebel Awlia,,310,0,310,0,62,0,0,0,0,0,62,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Alzaki Village,Rural,Village,260,52,Khartoum,SD01,SD01006,Um Durman,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhashaba Albahar Village,Rural,Village,310,62,Khartoum,SD01,SD01003,Bahri,,310,0,310,0,62,0,0,0,0,0,62,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhashaba Albahar Village,Rural,Village,310,62,Khartoum,SD01,SD01006,Um Durman,,310,0,310,0,62,0,0,0,0,0,62,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhashaba Haj Ali Village,Rural,Village,395,79,Khartoum,SD01,SD01007,Khartoum,,395,0,395,0,79,0,0,0,0,0,79,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhashaba Haj Ali Village,Rural,Village,320,64,Khartoum,SD01,SD01001,Jebel Awlia,,320,0,320,0,64,0,0,0,0,0,64,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhashaba Haj Ali Village,Rural,Village,215,43,Khartoum,SD01,SD01004,Sharg An Neel,,215,0,215,0,43,0,0,0,0,0,43,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Nail Village,Rural,Village,440,88,Khartoum,SD01,SD01003,Bahri,,440,0,440,0,88,0,0,0,0,0,88,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Nail Village,Rural,Village,350,70,Khartoum,SD01,SD01006,Um Durman,,350,0,350,0,70,0,0,0,0,0,70,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Nail Village,Rural,Village,290,58,Khartoum,SD01,SD01007,Khartoum,,290,0,290,0,58,0,0,0,0,0,58,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Madinat Alsheikh Alsdig,Rural,Village,630,126,Khartoum,SD01,SD01001,Jebel Awlia,,630,0,630,0,126,0,0,0,0,0,126,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Madinat Alsheikh Alsdig,Rural,Village,605,121,Khartoum,SD01,SD01006,Um Durman,,605,0,605,0,121,0,0,0,0,0,121,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Madinat Alsheikh Alsdig,Rural,Village,570,114,Khartoum,SD01,SD01007,Khartoum,,570,0,570,0,114,0,0,0,0,0,114,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Madinat Alsheikh Alsdig,Rural,Village,465,93,Khartoum,SD01,SD01004,Sharg An Neel,,465,0,465,0,93,0,0,0,0,0,93,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Umbada,Rural,Village,360,72,Khartoum,SD01,SD01007,Khartoum,,360,0,360,0,72,0,0,0,0,0,72,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Umbada,Rural,Village,260,52,Khartoum,SD01,SD01003,Bahri,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Umbada,Rural,Village,210,42,Khartoum,SD01,SD01006,Um Durman,,210,0,210,0,42,0,0,0,0,0,42,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldeheer,Rural,Village,285,57,Khartoum,SD01,SD01001,Jebel Awlia,,285,0,285,0,57,0,0,0,0,0,57,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldeheer,Rural,Village,285,57,Khartoum,SD01,SD01004,Sharg An Neel,,285,0,285,0,57,0,0,0,0,0,57,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alsheteeb,Rural,Village,460,92,Khartoum,SD01,SD01001,Jebel Awlia,,460,0,460,0,92,0,0,0,0,0,92,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alsheteeb,Rural,Village,410,82,Khartoum,SD01,SD01006,Um Durman,,410,0,410,0,82,0,0,0,0,0,82,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alsheteeb,Rural,Village,210,42,Khartoum,SD01,SD01004,Sharg An Neel,,210,0,210,0,42,0,0,0,0,0,42,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Goz Abulhassan,Rural,Village,435,87,Khartoum,SD01,SD01007,Khartoum,,435,0,435,0,87,0,0,0,0,0,87,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Goz Abulhassan,Rural,Village,210,42,Khartoum,SD01,SD01003,Bahri,,210,0,210,0,42,0,0,0,0,0,42,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Almuntazah,Rural,Village,435,87,Khartoum,SD01,SD01007,Khartoum,,435,0,435,0,87,0,0,0,0,0,87,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Almuntazah,Rural,Village,335,67,Khartoum,SD01,SD01006,Um Durman,,335,0,335,0,67,0,0,0,0,0,67,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Almuntazah,Rural,Village,260,52,Khartoum,SD01,SD01003,Bahri,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Almohamadiya,Rural,Village,335,67,Khartoum,SD01,SD01001,Jebel Awlia,,335,0,335,0,67,0,0,0,0,0,67,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Almohamadiya,Rural,Village,360,72,Khartoum,SD01,SD01006,Um Durman,,360,0,360,0,72,0,0,0,0,0,72,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Sharasha,Rural,Village,410,82,Khartoum,SD01,SD01001,Jebel Awlia,,410,0,410,0,82,0,0,0,0,0,82,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Sharasha,Rural,Village,260,52,Khartoum,SD01,SD01007,Khartoum,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Wad Sharasha,Rural,Village,260,52,Khartoum,SD01,SD01002,Um Bada,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Albanonawab,Rural,Village,385,77,Khartoum,SD01,SD01001,Jebel Awlia,,385,0,385,0,77,0,0,0,0,0,77,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Albanonawab,Rural,Village,260,52,Khartoum,SD01,SD01006,Um Durman,,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Saada,Rural,Village,310,62,Khartoum,SD01,SD01001,Jebel Awlia,,310,0,310,0,62,0,0,0,0,0,62,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Saada,Rural,Village,160,32,Khartoum,SD01,SD01007,Khartoum,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Abusagida,Rural,Village,310,62,Khartoum,SD01,SD01006,Um Durman,,310,0,310,0,62,0,0,0,0,0,62,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Abusagida,Rural,Village,310,62,Khartoum,SD01,SD01004,Sharg An Neel,,310,0,310,0,62,0,0,0,0,0,62,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Goz Alrahma,Rural,Village,235,47,Khartoum,SD01,SD01006,Um Durman,,235,0,235,0,47,0,0,0,0,0,47,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Goz Alrahma,Rural,Village,210,42,Khartoum,SD01,SD01003,Bahri,,210,0,210,0,42,0,0,0,0,0,42,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldradar,Rural,Village,235,47,Khartoum,SD01,SD01001,Jebel Awlia,,235,0,235,0,47,0,0,0,0,0,47,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aldradar,Rural,Village,235,47,Khartoum,SD01,SD01006,Um Durman,,235,0,235,0,47,0,0,0,0,0,47,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alnawajeer,Rural,Village,255,51,Khartoum,SD01,SD01006,Um Durman,,255,0,255,0,51,0,0,0,0,0,51,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Blcok 5,Urban,Neighbourhood,220,44,Khartoum,SD01,SD01003,Bahri,,220,0,220,0,24,20,0,0,0,0,44,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Block 9,Urban,Neighbourhood,220,44,Khartoum,SD01,SD01007,Khartoum,,220,0,220,0,22,22,0,0,0,0,44,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Blcok 13,Urban,Neighbourhood,180,36,Khartoum,SD01,SD01003,Bahri,,180,0,180,0,20,16,0,0,0,0,36,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Block 14 Wad Alsheikh,Urban,Neighbourhood,260,52,Khartoum,SD01,SD01006,Um Durman,,260,0,260,0,31,21,0,0,0,0,52,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Jeridana Village,Rural,Village,290,58,Khartoum,SD01,SD01001,Jebel Awlia,,290,0,290,0,30,28,0,0,0,0,58,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Althani,Urban,Neighbourhood,210,42,Khartoum,SD01,SD01004,Sharg An Neel,,210,0,210,0,22,20,0,0,0,0,42,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Althalith,Urban,Neighbourhood,195,39,Khartoum,SD01,SD01007,Khartoum,,195,0,195,0,20,19,0,0,0,0,39,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Alrabia,Urban,Neighbourhood,245,49,Khartoum,SD01,SD01003,Bahri,,245,0,245,0,25,24,0,0,0,0,49,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Alkhamis,Urban,Neighbourhood,235,47,Khartoum,SD01,SD01006,Um Durman,,235,0,235,0,23,24,0,0,0,0,47,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Alsadis,Urban,Neighbourhood,295,59,Khartoum,SD01,SD01003,Bahri,,295,0,295,0,30,29,0,0,0,0,59,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Althamin,Urban,Neighbourhood,285,57,Khartoum,SD01,SD01007,Khartoum,,285,0,285,0,30,27,0,0,0,0,57,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Altasia,Urban,Neighbourhood,240,48,Khartoum,SD01,SD01006,Um Durman,,240,0,240,0,26,22,0,0,0,0,48,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Alasher,Urban,Neighbourhood,195,39,Khartoum,SD01,SD01003,Bahri,,195,0,195,0,21,18,0,0,0,0,39,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Alhai Alhadiasher,Urban,Neighbourhood,290,58,Khartoum,SD01,SD01006,Um Durman,,290,0,290,0,29,29,0,0,0,0,58,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Aljamalab,Rural,Village,410,82,Khartoum,SD01,SD01007,Khartoum,,0,410,410,0,82,0,0,0,0,0,82,Food,Move to another location
15/04/2023,14/06/2023,Updated with new information,White Nile,SD09,SD09050,Al Gitaina,Algitaina Town,Urban,Neighbourhood,1060,212,Khartoum,SD01,SD01007,Khartoum,,1060,0,1060,0,102,110,0,0,0,0,212,Food,Move to another location
15/04/2023,14/06/2023,New Location,White Nile,SD09,SD09050,Al Gitaina,Algitaina Town/Basher Sinada School,Urban,Neighbourhood,11,2,Khartoum,SD01,SD01001,Jebel Awlia,,11,0,11,0,0,0,0,2,0,0,2,Food,Move to another location
15/04/2023,14/06/2023,New Location,White Nile,SD09,SD09050,Al Gitaina,Algitaina Town/Ali Ibn Abi Talib School,Urban,Neighbourhood,7,1,Khartoum,SD01,SD01001,Jebel Awlia,,7,0,7,0,0,0,0,1,0,0,1,Food,Move to another location
15/04/2023,14/06/2023,New Location,White Nile,SD09,SD09050,Al Gitaina,Algitaina Town/Abubaker Alsidig School,Urban,Neighbourhood,14,2,Khartoum,SD01,SD01001,Jebel Awlia,,14,0,14,0,0,0,0,2,0,0,2,Food,Move to another location
15/04/2023,14/06/2023,New Location,White Nile,SD09,SD09050,Al Gitaina,Algitaina Town/Algitina Model School,Urban,Neighbourhood,23,4,Khartoum,SD01,SD01001,Jebel Awlia,,23,0,23,0,0,0,0,4,0,0,4,Food,Move to another location
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Shendi Foog,Urban,Neighbourhood,205,41,Khartoum,SD01,SD01007,Khartoum,,205,0,205,0,22,19,0,0,0,0,41,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Shendi Foog,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01003,Bahri,,175,0,175,0,18,17,0,0,0,0,35,Food,Return to location of origin
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,10900,2180,Khartoum,SD01,SD01001,Jebel Awlia,,0,10900,10900,2180,0,0,0,0,0,0,2180,Food,Remain in same place
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,9820,1964,Khartoum,SD01,SD01004,Sharg An Neel,,0,9820,9820,1964,0,0,0,0,0,0,1964,Food,Remain in same place
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,6725,1345,Khartoum,SD01,SD01006,Um Durman,,0,6725,6725,1345,0,0,0,0,0,0,1345,Food,Remain in same place
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,6430,1286,Khartoum,SD01,SD01007,Khartoum,,0,6430,6430,1286,0,0,0,0,0,0,1286,Food,Remain in same place
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,4670,934,Khartoum,SD01,SD01003,Bahri,,0,4670,4670,934,0,0,0,0,0,0,934,Food,Remain in same place
15/04/2023,19/05/2023,Location was not coverd in this update,White Nile,SD09,SD09051,Aj Jabalain,Aj Jabaleen Idps Gathering Site,Urban,Camp,4070,814,Khartoum,SD01,SD01002,Um Bada,,0,4070,4070,814,0,0,0,0,0,0,814,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alhijra Shamal,Urban,Neighbourhood,145,29,Khartoum,SD01,SD01006,Um Durman,,145,0,145,0,15,14,0,0,0,0,29,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alhijra Shamal,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01004,Sharg An Neel,,250,0,250,0,25,25,0,0,0,0,50,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alhijra Janoub,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01001,Jebel Awlia,,175,0,175,0,16,19,0,0,0,0,35,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alhijra Janoub,Urban,Neighbourhood,185,37,Khartoum,SD01,SD01006,Um Durman,,185,0,185,0,19,18,0,0,0,0,37,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 1,Urban,Neighbourhood,140,28,Khartoum,SD01,SD01007,Khartoum,,140,0,140,0,14,14,0,0,0,0,28,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 1,Urban,Neighbourhood,130,26,Khartoum,SD01,SD01003,Bahri,,130,0,130,0,14,12,0,0,0,0,26,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 2,Urban,Neighbourhood,140,28,Khartoum,SD01,SD01007,Khartoum,,140,0,140,0,18,10,0,0,0,0,28,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 2,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01004,Sharg An Neel,,125,0,125,0,13,12,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 3,Urban,Neighbourhood,185,37,Khartoum,SD01,SD01007,Khartoum,,185,0,185,0,37,0,0,0,0,0,37,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 3,Urban,Neighbourhood,180,36,Khartoum,SD01,SD01006,Um Durman,,180,0,180,0,36,0,0,0,0,0,36,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 4,Urban,Neighbourhood,205,41,Khartoum,SD01,SD01003,Bahri,,205,0,205,0,41,0,0,0,0,0,41,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 4,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01004,Sharg An Neel,,175,0,175,0,35,0,0,0,0,0,35,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 5,Urban,Neighbourhood,160,32,Khartoum,SD01,SD01001,Jebel Awlia,,160,0,160,0,32,0,0,0,0,0,32,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Almurabaat Aloumaliya/Block 5,Urban,Neighbourhood,120,24,Khartoum,SD01,SD01006,Um Durman,,120,0,120,0,13,11,0,0,0,0,24,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Umalgura Janoub,Urban,Neighbourhood,140,28,Khartoum,SD01,SD01007,Khartoum,,140,0,140,0,16,12,0,0,0,0,28,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Umalgura Janoub,Urban,Neighbourhood,135,27,Khartoum,SD01,SD01003,Bahri,,135,0,135,0,13,14,0,0,0,0,27,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Umalgura Shamal,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01001,Jebel Awlia,,150,0,150,0,15,15,0,0,0,0,30,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Umalgura Shamal,Urban,Neighbourhood,145,29,Khartoum,SD01,SD01007,Khartoum,,145,0,145,0,19,10,0,0,0,0,29,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Umalgura Shamal,Urban,Neighbourhood,130,26,Khartoum,SD01,SD01006,Um Durman,,130,0,130,0,13,13,0,0,0,0,26,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Block 13,Urban,Neighbourhood,120,24,Khartoum,SD01,SD01004,Sharg An Neel,,120,0,120,0,14,10,0,0,0,0,24,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Block 13,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01003,Bahri,,175,0,175,0,18,17,0,0,0,0,35,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Block 10,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01007,Khartoum,,125,0,125,0,12,13,0,0,0,0,25,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Almostashaf,Urban,Neighbourhood,210,42,Khartoum,SD01,SD01003,Bahri,,210,0,210,0,21,21,0,0,0,0,42,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Almostashaf,Urban,Neighbourhood,160,32,Khartoum,SD01,SD01006,Um Durman,,160,0,160,0,17,15,0,0,0,0,32,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alshati Shamal,Urban,Neighbourhood,195,39,Khartoum,SD01,SD01004,Sharg An Neel,,195,0,195,0,39,0,0,0,0,0,39,Food,Return to location of origin
15/04/2023,14/06/2023,Updated with same information,White Nile,SD09,SD09051,Aj Jabalain,Hai Alshati Shamal,Urban,Neighbourhood,170,34,Khartoum,SD01,SD01006,Um Durman,,170,0,170,0,34,0,0,0,0,0,34,Food,Return to location of origin
