,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,status,PREVIOUS REPORT IDP,PREVIOUS REPORT HH,Difference IDPs,Difference HH,OK CHECK,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),VALIDATION,Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),VALIDATION,priority need,return Intention
,,,,,,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,,
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,725,145,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,725,-,725,TRUE,-,-,-,-,145,-,-,145,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,495,99,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,495,-,495,TRUE,-,-,-,-,99,-,-,99,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,285,57,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,285,-,285,TRUE,-,-,-,-,57,-,-,57,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alandalous,Urban,Neighbourhood,190,38,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,190,-,190,TRUE,-,-,-,-,38,-,-,38,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Banat,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,175,-,175,TRUE,-,-,-,-,35,-,-,35,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Banat,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,225,-,225,TRUE,-,-,-,-,45,-,-,45,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alban,Urban,Neighbourhood,60,12,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,60,-,60,TRUE,-,-,-,-,12,-,-,12,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alguba,Urban,Neighbourhood,170,34,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,170,-,170,TRUE,-,-,-,-,34,-,-,34,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alguba,Urban,Neighbourhood,115,23,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,115,-,115,TRUE,-,-,-,-,23,-,-,23,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alsalamabi,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,-,-,-,20,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Alhelimab,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,150,-,150,TRUE,-,30,-,-,-,-,-,30,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Alhelimab,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,150,-,150,TRUE,-,30,-,-,-,-,-,30,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Sherkila,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Sherkila,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Darelsalam,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Fadasi Darelsalam,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Umsunut,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,125,-,125,TRUE,-,25,-,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Umsunut,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Marinjan,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Marinjan,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alkeriba,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alkeriba,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Arkaweit,Urban,Neighbourhood,190,34,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,190,-,190,TRUE,-,-,34,-,-,-,-,34,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Arkaweit,Urban,Neighbourhood,30,6,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,30,-,30,TRUE,-,-,6,-,-,-,-,6,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alhilla Aljadida,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alhilla Aljadida,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hilat Mahajoup,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hilat Mahajoup,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,50,-,50,TRUE,-,10,-,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Wad Almajzoub,Urban,Neighbourhood,25,5,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,25,-,25,TRUE,-,5,-,-,-,-,-,5,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Wad Almajzoub,Urban,Neighbourhood,25,5,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,25,-,25,TRUE,-,5,-,-,-,-,-,5,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,350,70,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,350,-,350,TRUE,-,-,70,-,-,-,-,70,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,450,90,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,450,-,450,TRUE,-,-,90,-,-,-,-,90,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,225,45,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,225,-,225,TRUE,-,-,45,-,-,-,-,45,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alzamalik,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,-,20,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almakki,Urban,Neighbourhood,140,28,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,140,-,140,TRUE,-,28,-,-,-,-,-,28,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almakki,Urban,Neighbourhood,110,22,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,110,-,110,TRUE,-,22,-,-,-,-,-,22,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Jazeira Alfeil,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Jazeira Alfeil,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alseneet,Urban,Neighbourhood,115,23,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,115,-,115,TRUE,-,23,-,-,-,-,-,23,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Alseneet,Urban,Neighbourhood,135,27,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,135,-,135,TRUE,-,27,-,-,-,-,-,27,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Janoub/Habiballah,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,50,-,50,TRUE,-,-,10,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Janoub/Habiballah,Urban,Neighbourhood,50,10,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,50,-,50,TRUE,-,-,10,-,-,-,-,10,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Taraf,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,175,-,175,TRUE,-,-,35,-,-,-,-,35,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Taraf,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,100,-,100,TRUE,-,-,20,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Taraf,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,-,20,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Wasat,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,100,-,100,TRUE,-,-,20,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo Wasat,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,125,-,125,TRUE,-,-,25,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo 40,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,75,-,75,TRUE,-,-,15,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mayo 40,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,75,-,75,TRUE,-,-,15,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almuneera,Urban,Neighbourhood,320,64,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,320,-,320,TRUE,-,-,64,-,-,-,-,64,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almuneera,Urban,Neighbourhood,280,56,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,280,-,280,TRUE,-,-,56,-,-,-,-,56,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almuneera,Urban,Neighbourhood,235,47,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,235,-,235,TRUE,-,-,47,-,-,-,-,47,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almuneera,Urban,Neighbourhood,165,33,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,165,-,165,TRUE,-,-,33,-,-,-,-,33,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Wad Azrag,Urban,Neighbourhood,205,41,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,205,-,205,TRUE,-,-,41,-,-,-,-,41,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Wad Azrag,Urban,Neighbourhood,65,13,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,65,-,65,TRUE,-,-,13,-,-,-,-,13,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Wad Azrag,Urban,Neighbourhood,55,11,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,55,-,55,TRUE,-,-,11,-,-,-,-,11,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alusheer,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,125,-,125,TRUE,-,25,-,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alusheer,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Shandi Fog,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,175,-,175,TRUE,-,35,-,-,-,-,-,35,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alwaha,Urban,Neighbourhood,325,65,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,325,-,325,TRUE,-,-,65,-,-,-,-,65,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alwaha,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,125,-,125,TRUE,-,-,25,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alwaha,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,75,-,75,TRUE,-,-,15,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldebagha,Urban,Neighbourhood,300,60,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,300,-,300,TRUE,-,60,-,-,-,-,-,60,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldebagha,Urban,Neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,100,-,100,TRUE,-,20,-,-,-,-,-,20,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Aldebagha,Urban,Neighbourhood,185,37,Khartoum,SD01,SD01004,Sharg An Neel,Sharg An Neel nighbourhoods and villages,185,-,185,TRUE,-,37,-,-,-,-,-,37,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Umbarona,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Umbarona,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,75,-,75,TRUE,-,15,-,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Altekilat,Urban,Neighbourhood,145,29,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,145,-,145,TRUE,-,29,-,-,-,-,-,29,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Altekilat,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,125,-,125,TRUE,-,25,-,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alengaz,Urban,Neighbourhood,375,75,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,375,-,375,TRUE,-,75,-,-,-,-,-,75,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alengaz,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,250,-,250,TRUE,-,50,-,-,-,-,-,50,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alengaz,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01002,Um Bada,Um Bada Neighbourhoods and villages,150,-,150,TRUE,-,30,-,-,-,-,-,30,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,2. updated with new information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alriad,Urban,Neighbourhood,325,65,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,325,-,325,TRUE,-,-,65,-,-,-,-,65,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Alriad,Urban,Neighbourhood,200,40,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,200,-,200,TRUE,-,-,40,-,-,-,-,40,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mobi Althowra,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,250,-,250,TRUE,-,50,-,-,-,-,-,50,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mobi Althowra,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,250,-,250,TRUE,-,50,-,-,-,-,-,50,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Mobi Althowra,Urban,Neighbourhood,250,50,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,250,-,250,TRUE,-,50,-,-,-,-,-,50,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Algudaa,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,125,-,125,TRUE,-,-,25,-,-,-,-,25,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Algudaa,Urban,Neighbourhood,75,15,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,75,-,75,TRUE,-,-,15,-,-,-,-,15,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almadnieen,Urban,Neighbourhood,200,40,Khartoum,SD01,SD01003,Bahri,Bahri Neighbourhoods,200,-,200,TRUE,-,-,40,-,-,-,-,40,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hai Almadnieen,Urban,Neighbourhood,150,30,Khartoum,SD01,SD01007,Khartoum,Khartoum Neighbourhoods,150,-,150,TRUE,-,-,30,-,-,-,-,30,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hillta Radowan,Urban,Neighbourhood,175,35,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia Neighbourhoods and villages,175,-,175,TRUE,-,35,-,-,-,-,-,35,TRUE,Food,3-Return to location of origin
4/15/23,5/25/23,3.updated with same information,,,,,,Aj Jazirah,SD15,SD15030,Medani Al Kubra,Hillta Radowan,Urban,Neighbourhood,125,25,Khartoum,SD01,SD01006,Um Durman,Um Durman Neighbourhoods,125,-,125,TRUE,-,25,-,-,-,-,-,25,TRUE,Food,3-Return to location of origin
