STATE OF DISPLACEMENT,STATE OF DISPLACEMENT PCODE,LOCALITY OF DISPLACEMENT,LOCALITY OF DISPLACEMENT PCODE,LOCATION OF DISPLACEMENT,IDPs,HHs,STATE OF ORIGIN,LOCALITY OF ORIGIN,LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL,VALIDATION CHECK,Update date
Northern,SD17,Halfa,SD17014,Halfa Neighborhoods,10750,2150,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,10750,0,10750,TRUE,5/12/23
Northern,SD17,Al Burgaig,SD17016,Alburgig Neighborhoods & villages,12440,2488,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,12440,0,12440,TRUE,5/12/23
White Nile,SD09,Kosti,SD09047,Kosti Neighborhoods & villages,3500,700,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,3500,0,3500,TRUE,5/12/23
White Nile,SD09,Kosti,SD09047,Kosti/DR Jaber Studants Residance,0,0,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,0,0,0,TRUE,5/12/23
White Nile,SD09,Rabak,SD09046,Rabak Neighborhoods & villages,3905,781,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,3905,0,3905,TRUE,5/12/23
White Nile,SD09,Rabak,SD09046,Assalaiya Boarding House for Studaets,175,35,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,0,175,175,TRUE,5/12/23
White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen Neighborhoods & villages,4300,860,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,4300,0,4300,TRUE,5/12/23
White Nile,SD09,Aj Jabalain,SD09051,AJ jabaleen IDPs Gathering site,42615,8523,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,0,42615,42615,TRUE,5/12/23
White Nile,SD09,Al Gitaina,SD09050,AL Getina Neighborhoods & Villages,29385,5877,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,28135,1250,29385,TRUE,5/12/23
White Nile,SD09,Tendalti,SD09048,Tandalti Neighborhoods & villages,2000,400,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,2000,0,2000,TRUE,5/12/23
White Nile,SD09,Ad Diwaim,SD09044,AD dowim Neighborhoods & villages,67410,13482,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,67135,275,67410,TRUE,5/12/23
White Nile,SD09,Um Rimta,SD09045,Um Reimta Neighborhoods & villages,15975,3195,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,15975,0,15975,TRUE,5/12/23
White Nile,SD09,As Salam / Ar Rawat,SD09049,AS Salam /Alrawat Neighbourhoods & villages,41500,8300,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,1750,39750,41500,TRUE,5/12/23
White Nile,SD09,Guli,SD09052,Gulli Neighborhoods & villages,1500,300,Khartoum,"Jabal Awlia, Bahri,Omdorman/ Khartoum",Affected neighbourhoods across the Khartoum localites,1500,0,1500,TRUE,5/12/23
North Darfur,SD02,Al Fasher,SD02114,Al Fasher Town,"7,500",1500,North Darfur,Al Fasher,Al Fasher Town,7500,0,7500,TRUE,5/12/23
North Darfur,SD02,Dar As Salam,SD02113,,"3,110",622,North Darfur,Al Fasher,Al Fasher Town,3110,0,3110,TRUE,5/12/23
North Darfur,SD02,Dar As Salam,SD02113,,900,180,South Darfur,Nyala,Nyala Town,900,0,900,TRUE,5/12/23
North Darfur,SD02,Al Koma,SD02116,,700,140,North Darfur,Al Fasher,Al Fasher Town,700,0,700,TRUE,5/12/23
North Darfur,SD02,Melit,SD02129,,250,50,North Darfur,Al Fasher,Al Fasher Town,250,0,250,TRUE,5/12/23
North Darfur,SD02,Kebkabiya,SD02124,,"1,250",250,North Darfur,Kebkebyia,Al Fasher Town,1250,0,1250,TRUE,5/12/23
North Darfur,SD02,Tawila,SD02170,,"3,660",732,North Darfur,Tawila,Al Fasher Town,3660,0,3660,TRUE,5/12/23
North Darfur,SD02,Kutum,SD02128,,40,8,North Darfur,Al Fasher,Al Fasher Town,40,0,40,TRUE,5/12/23
North Darfur,SD02,Um Kadadah,SD02136,,450,90,North Darfur,Al Fasher,Al Fasher Town,450,0,450,TRUE,5/12/23
North Darfur,SD02,As Serief,SD02118,,750,150,North Darfur,As Serief,Al Fasher Town,750,0,750,TRUE,5/12/23
North Darfur,SD02,Al Malha,SD02117,,250,50,North Darfur,Al Malha,Al Fasher Town,250,0,250,TRUE,5/12/23
North Darfur,SD02,Saraf Omra,SD02133,,"3,800",760,West Darfur,Ag Geneina,,3800,0,3800,TRUE,5/12/23
North Darfur,SD02,Kelemando,SD02126,,735,147,North Darfur,Al Fasher,Al Fasher Town,735,0,735,TRUE,5/12/23
North Darfur,SD02,At Tawisha,SD02119,,75,15,North Darfur,Al Fasher,Al Fasher Town,75,0,75,TRUE,5/12/23
North Darfur,SD02,Al Lait,SD02169,,120,24,Khartoum,Khartoum,Khartoum,120,0,120,TRUE,5/12/23
North Darfur,SD02,Dar As Salam,SD02113,Shangil Tobay,710,142,South Darfur,Al Wihda,Turba area,710,0,710,TRUE,5/12/23
South Darfur,SD03,Nyala Janoub,SD03167,Nyala town,45000,9000,South Darfur,Nyala,"Hai Aljer, Hai Alwadi, Hai Aljamhowria, Hai As Serief",45000,0,45000,TRUE,5/12/23
South Darfur,SD03,Mershing,SD03145,Mershing,170,34,South Darfur,Mershing,Keila area,170,0,170,TRUE,5/12/23
South Darfur,SD03,Sharg Aj Jabal,SD03147,Kyora village,320,64,South Darfur,Mershing,,320,0,320,TRUE,5/12/23
Red Sea,SD10,Port Sudan,SD10064,"Salalb, Dar alneem, Dar alsalam, korea, Hai almatar, Hai alsoug, Hai althoura",8650,1730,Khartoum,Khartoum,,8650,0,8650,TRUE,5/12/23
Red Sea,SD10,Port Sudan,SD10064,Port Sudan,6080,1216,Khartoum,Khartoum,,1,6079,6080,TRUE,5/12/23
Red Sea,SD10,Sawakin,SD10068,Suakin,60,12,Khartoum,Khartoum,,60,0,60,TRUE,5/12/23
Red Sea,SD10,Sinkat,SD10071,Sinkat,100,20,Khartoum,Khartoum,,100,0,100,TRUE,5/12/23
Red Sea,SD10,Sinkat,SD10071,Gebeit,35,7,Khartoum,Khartoum,,35,0,35,TRUE,5/12/23
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,"Hai alarab, Hai alsoug, altourea, banat, alsoriba, halat Gadid, alkhatmia, alshebia, almorbeat, abu khamsa",1525,305,Khartoum,Khartoum,,1525,0,1525,TRUE,5/12/23
Kassala,SD11,Reifi Shamal Ad Delta,SD11057,"Wagar, Awaleib",170,34,Khartoum,Khartoum,,170,0,170,TRUE,5/12/23
Gedaref,SD12,Madeinat Al Gedaref,SD12080,Gedaref,880,176,Khartoum,Khartoum,,880,0,880,TRUE,5/12/23
Gedaref,SD12,Al Fao,SD12074,Al Fao,290,58,Khartoum,Khartoum,,90,200,290,TRUE,5/12/23
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,Galabat Ash-Shargiah,400,80,Khartoum,Khartoum,,400,0,400,TRUE,5/12/23
Gedaref,SD12,Galabat Ash-Shargiah,SD12083,Galabat Ash-Shargiah,600,120,Khartoum,Khartoum,,600,0,600,TRUE,5/12/23
Gedaref,SD12,Ar Rahad,SD12084,Ar Rahad,1895,379,Khartoum,Khartoum,,1895,0,1895,TRUE,5/12/23
Gedaref,SD12,Gala'a Al Nahal,SD12079,Gala'a Al Nahal,540,108,Khartoum,Khartoum,,540,0,540,TRUE,5/12/23
Gedaref,SD12,Al Mafaza,SD12082,Al Mafaza,390,78,Khartoum,Khartoum,,390,0,390,TRUE,5/12/23
Gedaref,SD12,Al Qureisha,SD12076,Al Qureisha,875,175,Khartoum,Khartoum,,875,0,875,TRUE,5/12/23
Blue Nile,SD08,Ar Rusayris,SD08107,,455,91,Khartoum,Khartoum,,455,0,455,TRUE,5/12/23
Blue Nile,SD08,At Tadamon - BN,SD08108,,110,22,Khartoum,Khartoum,,110,0,110,TRUE,5/12/23
Blue Nile,SD08,Ed Damazine,SD08105,"Shamar, Damazine, alsirew",550,110,Khartoum,Khartoum,,550,0,550,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"80,000","16,000",West Darfur,Ag Geneina,Ag Geneina Town,80000,0,80000,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"31,558","6,151",West Darfur,Ag Geneina,Hai EL Madaris area,31558,0,31558,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"11,745","2,367",West Darfur,Ag Geneina,Al Jamarik Area,11745,0,11745,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"6,955","1,315",West Darfur,Ag Geneina,Al Souk area,6955,0,6955,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"7,271","1,329",West Darfur,Ag Geneina,Athora Area,7271,0,7271,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"12,148","2,444",West Darfur,Ag Geneina,Ministries Area,12148,0,12148,TRUE,5/12/23
West Darfur,SD04,Ag Geneina,SD04115,Across Ag Geneina locality (northern region),"6,888","1,435",West Darfur,Ag Geneina,Hai Al Jabal area,6888,0,6888,TRUE,5/12/23
Central Darfur,SD06,Zalingi,SD06138,Hai Alwadi,250,50,Central Darfur,Zalingi,Hai El Estad,250,0,250,TRUE,5/12/23
Central Darfur,SD06,Zalingi,SD06138,Hai El estad,400,80,Central Darfur,Zalingi,Hai El Estad,400,0,400,TRUE,5/12/23
Central Darfur,SD06,Zalingi,SD06138,Hai Al sawra,400,80,Central Darfur,Zalingi,Hai El Estad,400,0,400,TRUE,5/12/23
Central Darfur,SD06,Zalingi,SD06138,Al Himmediya,450,90,Central Darfur,Zalingi,Hai El Estad,450,0,450,TRUE,5/12/23
Central Darfur,SD06,Wadi Salih,SD06137,Al Amira Camp,280,56,Central Darfur,Wadi Salih,Al Amira Camp,280,0,280,TRUE,5/12/23
