,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: With Host Community,SHELTER CATEGORY: In Rented accomodation (paying rent),SHELTER CATEGORY: In Abandoned buildings/critical shelters/no rent,SHELTER CATEGORY: In schools or other public buildings/no rent,SHELTER CATEGORY: Gathering sites (informal settlements or open area),SHELTER CATEGORY: Unknown,total,TOP PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,neighbourhood,45,9,Khartoum,SD01,SD01003,Bahri,,45,0,45,0,9,0,0,0,0,0,9,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,260,52,Khartoum,SD01,SD01007,Khartoum,,260,0,260,0,52,0,0,0,0,0,52,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,250,50,Khartoum,SD01,SD01001,Jebel Awlia,,250,0,250,0,50,0,0,0,0,0,50,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,225,45,Khartoum,SD01,SD01006,Um Durman,,225,0,225,0,45,0,0,0,0,0,45,Food,Remain in the same place
4/15/23,6/7/23,New Location,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alrahmaniya/ gathering point,Urban,neighbourhood,400,80,Khartoum,SD01,SD01006,Um Durman,,400,0,400,0,0,0,0,80,0,0,80,Food,Remain in the same place
4/15/23,6/7/23,New Location,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alrahmaniya/Alrahmaniya Hosing for Students,Urban,neighbourhood,450,90,Khartoum,SD01,SD01001,Jebel Awlia,,450,,450,0,0,0,0,90,0,0,90,Food,Remain in the same place
4/15/23,6/7/23,New Location,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alrahmaniya/Alrahmaniya Hosing for Students,Urban,neighbourhood,400,80,Khartoum,SD01,SD01007,Khartoum,,400,,400,0,0,0,0,80,0,0,80,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Urban,neighbourhood,350,70,Khartoum,SD01,SD01006,Um Durman,,350,0,350,0,70,0,0,0,0,0,70,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,200,40,Khartoum,SD01,SD01001,Jebel Awlia,,200,0,200,0,40,0,0,0,0,0,40,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,150,30,Khartoum,SD01,SD01007,Khartoum,,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altbob Village,Rural,Village,125,40,Khartoum,SD01,SD01001,Jebel Awlia,,125,0,125,0,40,0,0,0,0,0,40,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altbob Village,Rural,Village,125,20,Khartoum,SD01,SD01006,Um Durman,,125,0,125,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alteboob,Rural,Village,150,30,Khartoum,SD01,SD01001,Jebel Awlia,,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alteboob,Rural,Village,100,20,Khartoum,SD01,SD01007,Khartoum,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,500,100,Khartoum,SD01,SD01001,Jebel Awlia,,500,0,500,0,100,0,0,0,0,0,100,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,400,80,Khartoum,SD01,SD01006,Um Durman,,400,0,400,0,80,0,0,0,0,0,80,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,375,75,Khartoum,SD01,SD01007,Khartoum,,375,0,375,0,75,0,0,0,0,0,75,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,250,50,Khartoum,SD01,SD01003,Bahri,,250,0,250,0,50,0,0,0,0,0,50,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,225,45,Khartoum,SD01,SD01004,Sharg An Neel,,225,0,225,0,45,0,0,0,0,0,45,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Arkawtet school for boys,Urban,neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,0,0,0,20,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Arkawtet school for boys,Urban,neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,,50,0,50,0,0,0,0,10,0,0,10,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Arkawtet school for Girls,Urban,neighbourhood,75,15,Khartoum,SD01,SD01001,Jebel Awlia,,75,0,75,0,0,0,0,15,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Arkawtet school for Girls,Urban,neighbourhood,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,0,0,0,15,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Block 91,Urban,neighbourhood,55,11,Khartoum,SD01,SD01001,Jebel Awlia,,55,0,55,0,0,0,0,11,0,0,11,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Block 91,Urban,neighbourhood,55,11,Khartoum,SD01,SD01002,Um Bada,,55,0,55,0,0,0,0,11,0,0,11,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Faris Alketab village,Rural,Village,185,37,Khartoum,SD01,SD01006,Um Durman,,185,0,185,0,37,0,0,0,0,0,37,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Faris Alketab village,Rural,Village,150,30,Khartoum,SD01,SD01007,Khartoum,,150,0,150,0,30,0,0,0,0,0,30,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Goz Ahmed Nour,Rural,Village,275,55,Khartoum,SD01,SD01003,Bahri,,275,0,275,0,55,0,0,0,0,0,55,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Goz Ahmed Nour,Rural,Village,175,35,Khartoum,SD01,SD01007,Khartoum,,175,0,175,0,35,0,0,0,0,0,35,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hazawe,Rural,Village,40,8,Khartoum,SD01,SD01001,Jebel Awlia,,40,0,40,0,8,0,0,0,0,0,8,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hazawe,Rural,Village,35,7,Khartoum,SD01,SD01002,Um Bada,,35,0,35,0,7,0,0,0,0,0,7,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Najarow,Rural,Village,175,35,Khartoum,SD01,SD01006,Um Durman,,175,0,175,0,35,0,0,0,0,0,35,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Najarow,Rural,Village,100,20,Khartoum,SD01,SD01001,Jebel Awlia,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Shaaeldin Village,Rural,Village,100,20,Khartoum,SD01,SD01001,Jebel Awlia,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Shaaeldin Village,Rural,Village,80,16,Khartoum,SD01,SD01007,Khartoum,,80,0,80,0,16,0,0,0,0,0,16,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Tabta,Rural,Village,610,122,Khartoum,SD01,SD01001,Jebel Awlia,,610,,610,0,52,70,0,0,0,0,122,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Tabta,Rural,Village,525,105,Khartoum,SD01,SD01007,Khartoum,,525,,525,0,50,55,0,0,0,0,105,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Tabta,Rural,Village,465,93,Khartoum,SD01,SD01003,Bahri,,465,,465,0,43,50,0,0,0,0,93,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Tabta,Rural,Village,400,80,Khartoum,SD01,SD01004,Sharg An Neel,,400,,400,0,35,45,0,0,0,0,80,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Technical school for boys,Urban,neighbourhood,50,10,Khartoum,SD01,SD01001,Jebel Awlia,,50,0,50,0,0,0,0,10,0,0,10,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Technical school for boys,Urban,neighbourhood,45,9,Khartoum,SD01,SD01006,Um Durman,,45,0,45,0,0,0,0,9,0,0,9,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umdowina,Rural,Village,75,15,Khartoum,SD01,SD01003,Bahri,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umdowina,Rural,Village,25,5,Khartoum,SD01,SD01004,Sharg An Neel,,25,0,25,0,5,0,0,0,0,0,5,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umjloud East village,Rural,Village,165,33,Khartoum,SD01,SD01007,Khartoum,,165,0,165,0,33,0,0,0,0,0,33,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umjloud Wast village,Rural,Village,130,26,Khartoum,SD01,SD01001,Jebel Awlia,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Umjloud Wast village,Rural,Village,50,10,Khartoum,SD01,SD01006,Um Durman,,50,0,50,0,10,0,0,0,0,0,10,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Karar,Rural,Village,60,12,Khartoum,SD01,SD01001,Jebel Awlia,,60,0,60,0,12,0,0,0,0,0,12,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Hussein,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Hussein,Rural,Village,75,15,Khartoum,SD01,SD01007,Khartoum,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Keriee,Rural,Village,275,55,Khartoum,SD01,SD01001,Jebel Awlia,,275,0,275,0,55,0,0,0,0,0,55,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Wad Keriee,Rural,Village,125,25,Khartoum,SD01,SD01007,Khartoum,,125,0,125,0,25,0,0,0,0,0,25,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Albageer East,Rural,Village,225,45,Khartoum,SD01,SD01001,Jebel Awlia,,225,0,225,0,45,0,0,0,0,0,45,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Albageer East,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,,75,0,75,0,15,0,0,0,0,0,15,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Aljadid Alashigla,Rural,Village,145,29,Khartoum,SD01,SD01001,Jebel Awlia,,145,0,145,0,29,0,0,0,0,0,29,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Aljadid Alashigla,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Aljadid Althowra,Rural,Village,160,32,Khartoum,SD01,SD01001,Jebel Awlia,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Aljadid Althowra,Rural,Village,85,17,Khartoum,SD01,SD01006,Um Durman,,85,0,85,0,17,0,0,0,0,0,17,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Aljadid Althowra,Rural,Village,130,26,Khartoum,SD01,SD01007,Khartoum,,130,0,130,0,26,0,0,0,0,0,26,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 10,Urban,neighbourhood,185,37,Khartoum,SD01,SD01001,Jebel Awlia,,185,0,185,0,37,0,0,0,0,0,37,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 10,Urban,neighbourhood,175,35,Khartoum,SD01,SD01006,Um Durman,,175,0,175,0,35,0,0,0,0,0,35,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 10,Urban,neighbourhood,35,7,Khartoum,SD01,SD01007,Khartoum,,35,0,35,0,7,0,0,0,0,0,7,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 5,Urban,neighbourhood,145,29,Khartoum,SD01,SD01007,Khartoum,,145,0,145,0,29,0,0,0,0,0,29,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 5,Urban,neighbourhood,90,18,Khartoum,SD01,SD01001,Jebel Awlia,,90,0,90,0,18,0,0,0,0,0,18,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alkamleen block 5,Urban,neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alltei,Rural,Village,275,55,Khartoum,SD01,SD01001,Jebel Awlia,,275,0,275,0,55,0,0,0,0,0,55,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alltei,Rural,Village,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Almahlaj,Urban,neighbourhood,170,34,Khartoum,SD01,SD01007,Khartoum,,170,0,170,0,34,0,0,0,0,0,34,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Almahlaj,Urban,neighbourhood,110,22,Khartoum,SD01,SD01001,Jebel Awlia,,110,0,110,0,22,0,0,0,0,0,22,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Almasoudiya,Urban,neighbourhood,160,32,Khartoum,SD01,SD01001,Jebel Awlia,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Almasoudiya,Urban,neighbourhood,140,28,Khartoum,SD01,SD01006,Um Durman,,140,0,140,0,28,0,0,0,0,0,28,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alnuba,Rural,Village,160,32,Khartoum,SD01,SD01006,Um Durman,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Alnuba,Rural,Village,125,25,Khartoum,SD01,SD01001,Jebel Awlia,,125,0,125,0,25,0,0,0,0,0,25,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Dar Elsalam town,Urban,neighbourhood,160,32,Khartoum,SD01,SD01001,Jebel Awlia,,160,0,160,0,32,0,0,0,0,0,32,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Dar Elsalam town,Urban,neighbourhood,115,23,Khartoum,SD01,SD01007,Khartoum,,115,0,115,0,23,0,0,0,0,0,23,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Dar Elsalam town,Urban,neighbourhood,100,20,Khartoum,SD01,SD01006,Um Durman,,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Dar Elsalam town,Urban,neighbourhood,325,65,Gazera,SD15,SD15035,Al Kamlin,Arak Saah village,325,0,325,0,65,0,0,0,0,0,65,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Habiba village,Rural,Village,100,20,Gazera,SD15,SD15035,Al Kamlin,Arak Saah village,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Habiba village,Rural,Village,190,38,Khartoum,SD01,SD01001,Jebel Awlia,,190,0,190,0,38,0,0,0,0,0,38,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Habiba village,Rural,Village,115,23,Khartoum,SD01,SD01007,Khartoum,,115,0,115,0,23,0,0,0,0,0,23,Food,Remain in the same place
4/15/23,6/7/23,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Habiba village,Rural,Village,85,17,Khartoum,SD01,SD01006,Um Durman,,85,0,85,0,17,0,0,0,0,0,17,Food,Remain in the same place
