param_alpha,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
0.0,{'alpha': 0.0},0.7,0.6851851851851852,0.6584507042253521,0.696113074204947,0.7246963562753036,0.6928890639781576,0.021531436864481304,20,0.6847826086956522,0.6727272727272727,0.68,0.7137681159420289,0.6485507246376812,0.6799657444005269,0.021000488640876846,20,0.6956521739130435,0.6823956442831216,0.6642468239564429,0.7005444646098004,0.7005444646098004,0.6886767142744417,0.013904067134474635,20,0.6923076923076924,0.6788990825688074,0.669051878354204,0.7048300536672629,0.6845124282982791,0.6859202270392493,0.01211776225206011,20,anger
0.05,{'alpha': 0.05},0.7279693486590039,0.7115384615384616,0.6859205776173285,0.725925925925926,0.751004016064257,0.7204716659609953,0.021409196376416625,19,0.6884057971014492,0.6727272727272727,0.6909090909090909,0.7101449275362319,0.677536231884058,0.6879446640316206,0.01297502699784623,19,0.7155797101449275,0.7005444646098004,0.6878402903811253,0.720508166969147,0.7259528130671506,0.7100850890344302,0.013974767706817865,19,0.707635009310987,0.6915887850467289,0.6884057971014493,0.7179487179487181,0.7123809523809523,0.7035918523577671,0.01161382698410654,19,anger
0.1,{'alpha': 0.1},0.7290076335877863,0.7198443579766537,0.6967509025270758,0.724907063197026,0.753968253968254,0.7248956422513592,0.01832903271971393,18,0.6920289855072463,0.6727272727272727,0.7018181818181818,0.7065217391304348,0.6884057971014492,0.692300395256917,0.011757410992220121,15,0.717391304347826,0.705989110707804,0.6987295825771325,0.7186932849364791,0.7313974591651543,0.7144401483468792,0.011248029131913834,18,0.7100371747211898,0.6954887218045113,0.6992753623188406,0.7155963302752294,0.7196969696969696,0.7080189117633482,0.009287873933956046,18,anger
0.15,{'alpha': 0.15},0.7364341085271318,0.7131782945736435,0.7043795620437956,0.7330827067669173,0.7628458498023716,0.7299841043427719,0.020342694187097735,17,0.6884057971014492,0.6690909090909091,0.7018181818181818,0.7065217391304348,0.6992753623188406,0.6930223978919632,0.013362086303921054,14,0.7210144927536232,0.7005444646098004,0.7041742286751361,0.7241379310344828,0.7404718693284936,0.7180685972803071,0.01447460131136066,17,0.7116104868913857,0.6904315196998124,0.7030965391621128,0.7195571955719559,0.7296786389413988,0.7108748760533331,0.013475449069099475,16,anger
0.2,{'alpha': 0.2},0.7411764705882353,0.7159533073929961,0.7078651685393258,0.7396226415094339,0.7649402390438247,0.7339115654147632,0.020243950434076025,15,0.6847826086956522,0.6690909090909091,0.6872727272727273,0.7101449275362319,0.6956521739130435,0.6893886693017128,0.013474018112398553,18,0.7228260869565217,0.7023593466424682,0.7023593466424682,0.7295825771324864,0.7404718693284936,0.7195198453404876,0.015100612868786008,16,0.7118644067796609,0.6917293233082707,0.6974169741697417,0.7245841035120149,0.72865275142315,0.7108495118385676,0.014509576406927582,17,anger
0.25,{'alpha': 0.25},0.7480314960629921,0.7131782945736435,0.7078651685393258,0.7433962264150943,0.7568627450980392,0.733866786137819,0.019618160814417952,16,0.6884057971014492,0.6690909090909091,0.6872727272727273,0.7137681159420289,0.6992753623188406,0.691562582345191,0.014737143181141226,16,0.7282608695652174,0.7005444646098004,0.7023593466424682,0.7332123411978222,0.7368421052631579,0.7202438254556932,0.015594086632644964,15,0.7169811320754716,0.6904315196998124,0.6974169741697417,0.7282809611829943,0.7269303201506591,0.7120081814557359,0.015431522826611171,15,anger
0.3,{'alpha': 0.3},0.7470355731225297,0.7159533073929961,0.7116104868913857,0.7480916030534351,0.7568627450980392,0.7359107431116773,0.01843867279261013,12,0.6847826086956522,0.6690909090909091,0.6909090909090909,0.7101449275362319,0.6992753623188406,0.690840579710145,0.013809817386834417,17,0.7264492753623188,0.7023593466424682,0.705989110707804,0.73502722323049,0.7368421052631579,0.7213334122412477,0.014489132679539525,14,0.7145557655954632,0.6917293233082707,0.7011070110701106,0.7286245353159851,0.7269303201506591,0.7125893910880978,0.014378054139181902,14,anger
0.35,{'alpha': 0.35},0.75,0.7181467181467182,0.7116104868913857,0.7452471482889734,0.7689243027888446,0.7387857312231845,0.021167456134257856,5,0.6956521739130435,0.6763636363636364,0.6909090909090909,0.7101449275362319,0.6992753623188406,0.6944690382081686,0.011051813140863965,13,0.7318840579710145,0.705989110707804,0.705989110707804,0.7332123411978222,0.7441016333938294,0.7242352507956549,0.015489408103878766,13,0.7218045112781954,0.6966292134831461,0.7011070110701106,0.7272727272727272,0.7324478178368121,0.7158522561881983,0.014340270508708319,13,anger
0.4,{'alpha': 0.4},0.75,0.7213740458015268,0.7078651685393258,0.7368421052631579,0.7747035573122529,0.7381569753832526,0.02313827587964875,7,0.6956521739130435,0.6872727272727273,0.6872727272727273,0.7101449275362319,0.7101449275362319,0.6980974967061924,0.010301573174493593,12,0.7318840579710145,0.7114337568058077,0.7023593466424682,0.7277676950998185,0.7513611615245009,0.7249612036087221,0.01700938470547762,12,0.7218045112781954,0.7039106145251397,0.6974169741697417,0.7232472324723246,0.7410207939508507,0.7174800252792505,0.01544528779692533,12,anger
0.45,{'alpha': 0.45},0.75,0.7224334600760456,0.7116104868913857,0.7368421052631579,0.77431906614786,0.7390410236756899,0.02189849402091975,3,0.7065217391304348,0.6909090909090909,0.6909090909090909,0.7101449275362319,0.7210144927536232,0.7038998682476942,0.011630184316204073,10,0.7355072463768116,0.7132486388384754,0.705989110707804,0.7277676950998185,0.7549909255898367,0.7275007233225492,0.017238087454661054,7,0.7276119402985075,0.7063197026022304,0.7011070110701106,0.7232472324723246,0.7467166979362102,0.7210005168758766,0.016256435648406037,10,anger
0.5,{'alpha': 0.5},0.7471264367816092,0.7224334600760456,0.7116104868913857,0.7388059701492538,0.77734375,0.7394640207796588,0.02262688172669899,2,0.7065217391304348,0.6909090909090909,0.6909090909090909,0.717391304347826,0.7210144927536232,0.7053491436100131,0.012718663634925343,9,0.7336956521739131,0.7132486388384754,0.705989110707804,0.7313974591651543,0.7568058076225045,0.7282273337015702,0.017751513939613852,3,0.7262569832402235,0.7063197026022304,0.7011070110701106,0.7279411764705882,0.7481203007518797,0.7219490348270066,0.016840815426775218,8,anger
