param_C,param_max_iter,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
2,5000,"{'C': 2, 'max_iter': 5000}",0.7857142857142857,0.8148148148148148,0.7946428571428571,0.7563025210084033,0.7837837837837838,0.7870516524928289,0.018901831514442954,16,0.704,0.6984126984126984,0.712,0.72,0.696,0.7060825396825395,0.00887167494197912,4,0.7569721115537849,0.7689243027888446,0.764,0.744,0.752,0.7571792828685258,0.008775295585115585,13,0.7426160337552741,0.7521367521367521,0.7510548523206751,0.7377049180327868,0.7372881355932204,0.7441601383677418,0.006363049559335989,4,fear
2,10000,"{'C': 2, 'max_iter': 10000}",0.7857142857142857,0.8148148148148148,0.7946428571428571,0.7563025210084033,0.7837837837837838,0.7870516524928289,0.018901831514442954,16,0.704,0.6984126984126984,0.712,0.72,0.696,0.7060825396825395,0.00887167494197912,4,0.7569721115537849,0.7689243027888446,0.764,0.744,0.752,0.7571792828685258,0.008775295585115585,13,0.7426160337552741,0.7521367521367521,0.7510548523206751,0.7377049180327868,0.7372881355932204,0.7441601383677418,0.006363049559335989,4,fear
1.0,1000,"{'C': 1.0, 'max_iter': 1000}",0.7837837837837838,0.8035714285714286,0.7946428571428571,0.7542372881355932,0.7946428571428571,0.786175642955304,0.0171568079098887,19,0.696,0.7142857142857143,0.712,0.712,0.712,0.7092571428571427,0.00668742346894986,1,0.7529880478087649,0.7689243027888446,0.764,0.74,0.764,0.7579824701195219,0.010396716017147305,4,0.7372881355932204,0.7563025210084034,0.7510548523206751,0.7325102880658436,0.7510548523206751,0.7456421298617636,0.009104653287475502,1,fear
1.0,5000,"{'C': 1.0, 'max_iter': 5000}",0.7837837837837838,0.8035714285714286,0.7946428571428571,0.7542372881355932,0.7946428571428571,0.786175642955304,0.0171568079098887,19,0.696,0.7142857142857143,0.712,0.712,0.712,0.7092571428571427,0.00668742346894986,1,0.7529880478087649,0.7689243027888446,0.764,0.74,0.764,0.7579824701195219,0.010396716017147305,4,0.7372881355932204,0.7563025210084034,0.7510548523206751,0.7325102880658436,0.7510548523206751,0.7456421298617636,0.009104653287475502,1,fear
1.0,10000,"{'C': 1.0, 'max_iter': 10000}",0.7837837837837838,0.8035714285714286,0.7946428571428571,0.7542372881355932,0.7946428571428571,0.786175642955304,0.0171568079098887,19,0.696,0.7142857142857143,0.712,0.712,0.712,0.7092571428571427,0.00668742346894986,1,0.7529880478087649,0.7689243027888446,0.764,0.74,0.764,0.7579824701195219,0.010396716017147305,4,0.7372881355932204,0.7563025210084034,0.7510548523206751,0.7325102880658436,0.7510548523206751,0.7456421298617636,0.009104653287475502,1,fear
0.5,1000,"{'C': 0.5, 'max_iter': 1000}",0.7719298245614035,0.7857142857142857,0.7857142857142857,0.7627118644067796,0.7981651376146789,0.7808470796022867,0.012293884590685323,28,0.704,0.6984126984126984,0.704,0.72,0.696,0.7044825396825395,0.008367242273310076,7,0.749003984063745,0.7529880478087649,0.756,0.748,0.76,0.753198406374502,0.004444580087487773,22,0.7364016736401674,0.7394957983193275,0.7426160337552741,0.7407407407407408,0.7435897435897435,0.7405687980090507,0.002524405060404936,22,fear
0.5,5000,"{'C': 0.5, 'max_iter': 5000}",0.7719298245614035,0.7857142857142857,0.7857142857142857,0.7627118644067796,0.7981651376146789,0.7808470796022867,0.012293884590685323,28,0.704,0.6984126984126984,0.704,0.72,0.696,0.7044825396825395,0.008367242273310076,7,0.749003984063745,0.7529880478087649,0.756,0.748,0.76,0.753198406374502,0.004444580087487773,22,0.7364016736401674,0.7394957983193275,0.7426160337552741,0.7407407407407408,0.7435897435897435,0.7405687980090507,0.002524405060404936,22,fear
0.5,10000,"{'C': 0.5, 'max_iter': 10000}",0.7719298245614035,0.7857142857142857,0.7857142857142857,0.7627118644067796,0.7981651376146789,0.7808470796022867,0.012293884590685323,28,0.704,0.6984126984126984,0.704,0.72,0.696,0.7044825396825395,0.008367242273310076,7,0.749003984063745,0.7529880478087649,0.756,0.748,0.76,0.753198406374502,0.004444580087487773,22,0.7364016736401674,0.7394957983193275,0.7426160337552741,0.7407407407407408,0.7435897435897435,0.7405687980090507,0.002524405060404936,22,fear
0.4,1000,"{'C': 0.4, 'max_iter': 1000}",0.7787610619469026,0.7837837837837838,0.7857142857142857,0.7627118644067796,0.7962962962962963,0.7814534584296096,0.010976258439737688,22,0.704,0.6904761904761905,0.704,0.72,0.688,0.701295238095238,0.011474447605257738,16,0.7529880478087649,0.749003984063745,0.756,0.748,0.756,0.7523984063745021,0.0033810859724792562,25,0.7394957983193277,0.7341772151898734,0.7426160337552741,0.7407407407407408,0.7381974248927038,0.7390454425795839,0.0028370671266872505,25,fear
0.4,5000,"{'C': 0.4, 'max_iter': 5000}",0.7787610619469026,0.7837837837837838,0.7857142857142857,0.7627118644067796,0.7962962962962963,0.7814534584296096,0.010976258439737688,22,0.704,0.6904761904761905,0.704,0.72,0.688,0.701295238095238,0.011474447605257738,16,0.7529880478087649,0.749003984063745,0.756,0.748,0.756,0.7523984063745021,0.0033810859724792562,25,0.7394957983193277,0.7341772151898734,0.7426160337552741,0.7407407407407408,0.7381974248927038,0.7390454425795839,0.0028370671266872505,25,fear
0.4,10000,"{'C': 0.4, 'max_iter': 10000}",0.7787610619469026,0.7837837837837838,0.7857142857142857,0.7627118644067796,0.7962962962962963,0.7814534584296096,0.010976258439737688,22,0.704,0.6904761904761905,0.704,0.72,0.688,0.701295238095238,0.011474447605257738,16,0.7529880478087649,0.749003984063745,0.756,0.748,0.756,0.7523984063745021,0.0033810859724792562,25,0.7394957983193277,0.7341772151898734,0.7426160337552741,0.7407407407407408,0.7381974248927038,0.7390454425795839,0.0028370671266872505,25,fear
