param_criterion,param_max_depth,param_splitter,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
gini,,best,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.60828025477707,0.6331360946745562,0.6144200626959248,0.636085626911315,0.6144200626959248,0.6212684203509582,0.011161395559879704,4,0.6970802919708029,0.7781818181818182,0.7153284671532847,0.7591240875912408,0.7153284671532847,0.7330086264100861,0.030458679701598323,14,0.6247723132969034,0.663023679417122,0.6332116788321168,0.6624087591240876,0.6332116788321168,0.6433256219004694,0.016130645028291382,2,0.6496598639455782,0.6982055464926591,0.6610455311973019,0.6921797004991681,0.6610455311973019,0.6724272346664018,0.01914220877716474,13,anger
gini,,random,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}",0.6257668711656442,0.6265060240963856,0.610223642172524,0.6509433962264151,0.6257861635220126,0.6278452194365963,0.013072095801679128,3,0.7445255474452555,0.7563636363636363,0.6970802919708029,0.7554744525547445,0.7262773722627737,0.7359442601194426,0.02225252604097755,13,0.6502732240437158,0.6520947176684881,0.6259124087591241,0.6751824817518248,0.6459854014598541,0.6498896467366014,0.015715521274727605,1,0.68,0.685337726523888,0.6507666098807496,0.6993243243243243,0.6722972972972973,0.677545191605252,0.016035667373398406,12,anger
gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.5463709677419355,0.5333333333333333,0.5390946502057613,0.5607675906183369,0.5428571428571428,0.5444847369513018,0.00921677916029506,15,0.9890510948905109,0.96,0.9562043795620438,0.9598540145985401,0.9708029197080292,0.967182481751825,0.011976285018532104,3,0.5846994535519126,0.5591985428051002,0.5693430656934306,0.6040145985401459,0.5766423357664233,0.5787795992714025,0.015158388412957241,15,0.7038961038961039,0.6857142857142858,0.6894736842105262,0.7079407806191117,0.6963350785340314,0.6966719865948118,0.00838061886007274,11,anger
gini,10,random,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}",0.5465587044534413,0.532258064516129,0.5413223140495868,0.5583864118895966,0.5493827160493827,0.5455816421916273,0.008660537378826102,13,0.9854014598540146,0.96,0.9562043795620438,0.9598540145985401,0.9744525547445255,0.9671824817518248,0.011050776687894937,4,0.5846994535519126,0.5573770491803278,0.572992700729927,0.6003649635036497,0.5875912408759124,0.5806050815683459,0.01451559897872355,14,0.7031250000000001,0.6848249027237353,0.6912928759894459,0.7060402684563758,0.7026315789473684,0.697582925223385,0.008124801650278558,7,anger
gini,20,best,"{'criterion': 'gini', 'max_depth': 20, 'splitter': 'best'}",0.5665236051502146,0.5543478260869565,0.5444915254237288,0.5666666666666667,0.5553145336225597,0.5574688313900251,0.008359201453966835,9,0.9635036496350365,0.9272727272727272,0.9379562043795621,0.9306569343065694,0.9343065693430657,0.9387392169873922,0.012886755045019932,8,0.6138433515482696,0.5901639344262295,0.5766423357664233,0.6094890510948905,0.593065693430657,0.596640873253294,0.013532738690197912,8,0.7135135135135136,0.6938775510204082,0.6890080428954424,0.7044198895027625,0.6965986394557823,0.6994835272775818,0.008610383340820942,6,anger
gini,20,random,"{'criterion': 'gini', 'max_depth': 20, 'splitter': 'random'}",0.5611814345991561,0.5572354211663066,0.5470085470085471,0.5644444444444444,0.5548387096774193,0.5569417113791747,0.005957229094827407,10,0.9708029197080292,0.9381818181818182,0.9343065693430657,0.927007299270073,0.9416058394160584,0.9423808891838089,0.01501723427444817,7,0.6065573770491803,0.5956284153005464,0.5802919708029197,0.6058394160583942,0.593065693430657,0.5962765745283395,0.009626840215441392,9,0.7112299465240642,0.6991869918699186,0.6900269541778976,0.7016574585635359,0.6982408660351827,0.7000684434341199,0.0068125270318776234,4,anger
gini,30,best,"{'criterion': 'gini', 'max_depth': 30, 'splitter': 'best'}",0.5743243243243243,0.5730593607305936,0.5640449438202247,0.5750577367205543,0.5688888888888889,0.5710750508969171,0.004112390047818579,7,0.9306569343065694,0.9127272727272727,0.916058394160584,0.9087591240875912,0.9343065693430657,0.9205016589250166,0.010117074445235637,10,0.6211293260473588,0.6156648451730419,0.6040145985401459,0.6186131386861314,0.6131386861313869,0.6145121189156131,0.005899471550118874,5,0.7103064066852368,0.7040673211781208,0.6981919332406119,0.7043847241867044,0.707182320441989,0.7048265411465325,0.004009195970837836,1,anger
gini,30,random,"{'criterion': 'gini', 'max_depth': 30, 'splitter': 'random'}",0.5717439293598234,0.5605381165919282,0.564625850340136,0.5871121718377088,0.5714285714285714,0.5710897279116336,0.009059577457359183,6,0.9452554744525548,0.9090909090909091,0.9087591240875912,0.8978102189781022,0.9343065693430657,0.9190444591904445,0.01775220303251809,11,0.6193078324225865,0.5974499089253188,0.6040145985401459,0.6332116788321168,0.6167883211678832,0.6141544679776102,0.012478228068312376,6,0.7125171939477304,0.6934812760055479,0.6965034965034964,0.70995670995671,0.709141274238227,0.7043199901303423,0.007756118072479959,2,anger
entropy,,best,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.6259842519685039,0.6474820143884892,0.6,0.6641221374045801,0.6465256797583081,0.6368228167039762,0.02202912287397173,1,0.5802919708029197,0.6545454545454545,0.6788321167883211,0.635036496350365,0.781021897810219,0.6659455872594559,0.06607646605574588,15,0.6174863387978142,0.6484517304189436,0.6131386861313869,0.656934306569343,0.677007299270073,0.6426036722375121,0.02417536871775373,3,0.6022727272727273,0.650994575045208,0.6369863013698629,0.6492537313432836,0.7074380165289256,0.6493890703120014,0.03390001350385214,14,anger
entropy,,random,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}",0.6012461059190031,0.6294964028776978,0.6398467432950191,0.6599326599326599,0.6167883211678832,0.6294620466384526,0.019965289917815134,2,0.7043795620437956,0.6363636363636364,0.6094890510948905,0.7153284671532847,0.6167883211678832,0.656469807564698,0.04459990211719057,16,0.6193078324225865,0.6302367941712204,0.6332116788321168,0.6733576642335767,0.6167883211678832,0.6345804581654767,0.02036774862487188,4,0.6487394957983192,0.6329113924050633,0.6242990654205607,0.6865148861646235,0.6167883211678832,0.64185063219129,0.02473232282939756,15,anger
entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.5463709677419355,0.5353535353535354,0.5389344262295082,0.553941908713693,0.5437881873727087,0.5436778050822761,0.006393907133757973,16,0.9890510948905109,0.9636363636363636,0.9598540145985401,0.9744525547445255,0.9744525547445255,0.972289316522893,0.010196339939983546,2,0.5846994535519126,0.5628415300546448,0.5693430656934306,0.5948905109489051,0.5784671532846716,0.5780483427067129,0.011270317722111746,16,0.7038961038961039,0.6883116883116883,0.6902887139107611,0.7063492063492063,0.6980392156862745,0.6973769856308069,0.007153480379286556,9,anger
entropy,10,random,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'random'}",0.5463709677419355,0.5342741935483871,0.5505154639175258,0.553941908713693,0.5426829268292683,0.545557092150162,0.006798788421713092,14,0.9890510948905109,0.9636363636363636,0.9744525547445255,0.9744525547445255,0.9744525547445255,0.9752090245520902,0.00809006961198039,1,0.5846994535519126,0.5610200364298725,0.5894160583941606,0.5948905109489051,0.5766423357664233,0.5813336790182548,0.011790621385647395,13,0.7038961038961039,0.6874189364461738,0.7035573122529645,0.7063492063492063,0.6971279373368147,0.6996698992562524,0.00684300502528959,5,anger
entropy,20,best,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'best'}",0.5478615071283096,0.5491452991452992,0.5429769392033543,0.5676274944567627,0.548936170212766,0.5513094820292983,0.008460657503773679,12,0.9817518248175182,0.9345454545454546,0.9452554744525548,0.9343065693430657,0.9416058394160584,0.9474930325149303,0.017634359330332132,6,0.5865209471766849,0.5828779599271403,0.5748175182481752,0.6113138686131386,0.583941605839416,0.5878943799609109,0.012346270463661475,12,0.7032679738562091,0.6917900403768507,0.6897470039946738,0.7062068965517241,0.6935483870967742,0.6969120603752463,0.006567785554509208,10,anger
entropy,20,random,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'random'}",0.5467479674796748,0.5458422174840085,0.5452631578947369,0.5638766519823789,0.5581896551724138,0.5519839300026426,0.007619088854973516,11,0.9817518248175182,0.9309090909090909,0.9452554744525548,0.9343065693430657,0.9452554744525548,0.9474956867949569,0.01806979843351708,5,0.5846994535519126,0.5774134790528234,0.5784671532846716,0.6058394160583942,0.5985401459854015,0.5889919295866406,0.01129834519115736,11,0.7023498694516971,0.6881720430107526,0.691588785046729,0.7032967032967032,0.7018970189701897,0.6974608839552143,0.006299243956618093,8,anger
entropy,30,best,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'best'}",0.5655913978494623,0.5548245614035088,0.5614035087719298,0.5789473684210527,0.5579868708971554,0.5637507414686218,0.008399212849970344,8,0.9598540145985401,0.92,0.9343065693430657,0.9233576642335767,0.9306569343065694,0.9336350364963504,0.014059114215515414,9,0.6120218579234973,0.5901639344262295,0.6021897810218978,0.6259124087591241,0.5967153284671532,0.6054006621195804,0.012509793227367151,7,0.7117726657645468,0.6922024623803009,0.7013698630136986,0.7116736990154712,0.6976744186046512,0.7029386217557336,0.00774312424315277,3,anger
entropy,30,random,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'random'}",0.6666666666666666,0.5584988962472406,0.5619469026548672,0.5769230769230769,0.5592105263157895,0.584649213761528,0.04155217593853958,5,0.21897810218978103,0.92,0.927007299270073,0.9306569343065694,0.9306569343065694,0.7854598540145986,0.2832676082933821,12,0.5555555555555556,0.5956284153005464,0.6021897810218978,0.6240875912408759,0.5985401459854015,0.5952002978208555,0.02220978188174166,10,0.3296703296703296,0.695054945054945,0.6997245179063362,0.7122905027932961,0.6986301369863015,0.6270740864822417,0.14881571345584874,16,anger
gini,,best,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'best'}",0.7802197802197802,0.7777777777777778,0.7920792079207921,0.6956521739130435,0.7040816326530612,0.7499621144968909,0.04127390283865687,14,0.5725806451612904,0.6774193548387096,0.64,0.64,0.5564516129032258,0.6172903225806452,0.045491237106567585,3,0.7068273092369478,0.7429718875502008,0.7349397590361446,0.678714859437751,0.6612903225806451,0.7049488275683379,0.031442086113066266,3,0.6604651162790698,0.7241379310344828,0.7079646017699115,0.6666666666666666,0.6216216216216216,0.6761711874743505,0.03639863020287659,2,fear
gini,,random,"{'criterion': 'gini', 'max_depth': None, 'splitter': 'random'}",0.8210526315789474,0.7758620689655172,0.7669902912621359,0.6875,0.7428571428571429,0.7588524269327487,0.043752568285320134,13,0.6290322580645161,0.7258064516129032,0.632,0.616,0.6290322580645161,0.6463741935483871,0.0401003195692073,1,0.7469879518072289,0.7590361445783133,0.7188755020080321,0.6666666666666666,0.7056451612903226,0.7194422852701127,0.03256496655072091,1,0.7123287671232877,0.7500000000000001,0.6929824561403508,0.6497890295358649,0.6812227074235808,0.6972645920446169,0.03327930410522791,1,fear
gini,10,best,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'best'}",0.9761904761904762,0.8703703703703703,0.926829268292683,0.6853932584269663,0.8421052631578947,0.860177727287678,0.0988751741479934,4,0.33064516129032256,0.3790322580645161,0.304,0.488,0.25806451612903225,0.35194838709677423,0.0784992151846079,15,0.6626506024096386,0.6626506024096386,0.6385542168674698,0.6305220883534136,0.6048387096774194,0.639843243943516,0.02169891311530804,15,0.49397590361445776,0.5280898876404495,0.45783132530120485,0.5700934579439252,0.3950617283950617,0.48901046057901976,0.059874556301170875,15,fear
gini,10,random,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}",0.9767441860465116,0.6818181818181818,0.926829268292683,0.8888888888888888,0.8541666666666666,0.8656894383425863,0.10054935459018952,3,0.3387096774193548,0.6048387096774194,0.304,0.32,0.33064516129032256,0.37963870967741936,0.11319768863258026,14,0.6666666666666666,0.6626506024096386,0.6385542168674698,0.6385542168674698,0.6370967741935484,0.6487044954009586,0.013099076284379348,13,0.5029940119760479,0.641025641025641,0.45783132530120485,0.47058823529411764,0.4767441860465116,0.5098366799287046,0.06722719105527618,14,fear
gini,20,best,"{'criterion': 'gini', 'max_depth': 20, 'splitter': 'best'}",0.9322033898305084,0.84,0.8805970149253731,0.7142857142857143,0.8,0.8334172238083193,0.07394186856956203,7,0.4435483870967742,0.5080645161290323,0.472,0.56,0.41935483870967744,0.4805935483870968,0.049510425646107005,8,0.7068273092369478,0.7068273092369478,0.7028112449799196,0.6666666666666666,0.657258064516129,0.6880781189273222,0.021579876364956705,8,0.6010928961748634,0.6331658291457286,0.6145833333333333,0.6278026905829596,0.5502645502645502,0.605381859900287,0.02971741152991442,8,fear
gini,20,random,"{'criterion': 'gini', 'max_depth': 20, 'splitter': 'random'}",0.9298245614035088,0.8507462686567164,0.890625,0.7326732673267327,0.819672131147541,0.8447082457068997,0.06718368352002457,6,0.4274193548387097,0.4596774193548387,0.456,0.592,0.4032258064516129,0.4676645161290323,0.06546936308382308,10,0.6987951807228916,0.6907630522088354,0.6987951807228916,0.6867469879518072,0.657258064516129,0.686471693224511,0.01533404277857542,9,0.585635359116022,0.5968586387434555,0.6031746031746033,0.6548672566371682,0.5405405405405405,0.5962152796423579,0.036607408520020104,10,fear
gini,30,best,"{'criterion': 'gini', 'max_depth': 30, 'splitter': 'best'}",0.8805970149253731,0.8160919540229885,0.8461538461538461,0.7238095238095238,0.7714285714285715,0.8076161820680607,0.05516573458266683,10,0.47580645161290325,0.5725806451612904,0.528,0.608,0.43548387096774194,0.5239741935483871,0.06259360823505428,6,0.7068273092369478,0.7228915662650602,0.714859437751004,0.6867469879518072,0.6532258064516129,0.6969102215312865,0.024928588822006804,4,0.617801047120419,0.6729857819905214,0.6502463054187192,0.6608695652173913,0.5567010309278351,0.6317207461349771,0.041754925159196966,6,fear
gini,30,random,"{'criterion': 'gini', 'max_depth': 30, 'splitter': 'random'}",0.9354838709677419,0.8372093023255814,0.8666666666666667,0.7333333333333333,0.7808219178082192,0.8307030182203086,0.06969034733479361,9,0.46774193548387094,0.5806451612903226,0.52,0.616,0.4596774193548387,0.5288129032258064,0.06144138395943892,5,0.7188755020080321,0.7349397590361446,0.7188755020080321,0.6947791164658634,0.6653225806451613,0.7065584920326466,0.024281959817490876,2,0.6236559139784946,0.6857142857142857,0.65,0.6695652173913044,0.5786802030456852,0.641523124025954,0.03762856656894333,5,fear
entropy,,best,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}",0.7446808510638298,0.7203389830508474,0.7798165137614679,0.7931034482758621,0.6808510638297872,0.7437581719963589,0.04059993671758065,15,0.5645161290322581,0.6854838709677419,0.68,0.552,0.5161290322580645,0.5996258064516129,0.06971977685046821,4,0.6867469879518072,0.7108433734939759,0.7429718875502008,0.7028112449799196,0.6370967741935484,0.6960940536338904,0.03472244526765489,5,0.6422018348623854,0.7024793388429752,0.7264957264957266,0.6509433962264152,0.5871559633027522,0.661855251946051,0.04881396625627064,4,fear
entropy,,random,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'random'}",0.7849462365591398,0.71900826446281,0.7307692307692307,0.7684210526315789,0.6333333333333333,0.7272956235512186,0.05277225094306323,16,0.5887096774193549,0.7016129032258065,0.608,0.584,0.6129032258064516,0.6190451612903226,0.04272131992177304,2,0.714859437751004,0.714859437751004,0.6907630522088354,0.7028112449799196,0.6290322580645161,0.6904650861510558,0.031989615715957744,6,0.6728110599078342,0.710204081632653,0.6637554585152838,0.6636363636363636,0.6229508196721313,0.6666715566728532,0.02779206037150742,3,fear
entropy,10,best,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'best'}",0.9761904761904762,0.8333333333333334,0.9473684210526315,0.8913043478260869,0.8857142857142857,0.9067821728233628,0.050085740641320826,1,0.33064516129032256,0.3629032258064516,0.288,0.328,0.25,0.3119096774193549,0.03902496546110419,16,0.6626506024096386,0.6465863453815262,0.6345381526104418,0.642570281124498,0.6088709677419355,0.639043269853608,0.017648273816034215,16,0.49397590361445776,0.5056179775280899,0.441717791411043,0.4795321637426901,0.38993710691823896,0.4621561886429039,0.04203967105294942,16,fear
entropy,10,random,"{'criterion': 'entropy', 'max_depth': 10, 'splitter': 'random'}",0.975609756097561,0.6788990825688074,0.7096774193548387,0.8913043478260869,0.6336633663366337,0.7778307944367856,0.13206769360264511,12,0.3225806451612903,0.5967741935483871,0.528,0.328,0.5161290322580645,0.45829677419354836,0.1120492949344947,11,0.6586345381526104,0.6586345381526104,0.6546184738955824,0.642570281124498,0.6088709677419355,0.6446657598134473,0.01884127503411953,14,0.48484848484848486,0.6351931330472104,0.6055045871559633,0.4795321637426901,0.5688888888888889,0.5547934515366475,0.06291417840576893,13,fear
entropy,20,best,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'best'}",0.9285714285714286,0.7184466019417476,0.8771929824561403,0.9032258064516129,0.8135593220338984,0.8481992282909655,0.0753178860730988,5,0.41935483870967744,0.5967741935483871,0.4,0.448,0.3870967741935484,0.45024516129032255,0.07608193622517156,12,0.6947791164658634,0.6827309236947792,0.6706827309236948,0.6987951807228916,0.6491935483870968,0.6792363000388653,0.017955900545556902,12,0.5777777777777778,0.6519823788546256,0.5494505494505494,0.5989304812834224,0.5245901639344263,0.5805462702601603,0.043696203644022,12,fear
entropy,20,random,"{'criterion': 'entropy', 'max_depth': 20, 'splitter': 'random'}",0.9285714285714286,0.8142857142857143,0.875,0.9032258064516129,0.8360655737704918,0.8714297046158496,0.04196420641211767,2,0.41935483870967744,0.4596774193548387,0.448,0.448,0.4112903225806452,0.4372645161290323,0.0185916902655536,13,0.6947791164658634,0.678714859437751,0.6907630522088354,0.6987951807228916,0.6653225806451613,0.6856749578961004,0.01219489142500081,10,0.5777777777777778,0.5876288659793814,0.5925925925925927,0.5989304812834224,0.5513513513513514,0.5816562137969051,0.01665595524879764,11,fear
entropy,30,best,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'best'}",0.9047619047619048,0.7155963302752294,0.8133333333333334,0.8493150684931506,0.7162162162162162,0.7998445706159669,0.07446931118826493,11,0.4596774193548387,0.6290322580645161,0.488,0.496,0.4274193548387097,0.5000258064516129,0.06885227789010011,7,0.7068273092369478,0.6907630522088354,0.6867469879518072,0.7028112449799196,0.6290322580645161,0.6832361704884052,0.028095441902745145,11,0.6096256684491979,0.6695278969957081,0.61,0.6262626262626263,0.5353535353535354,0.6101539454122136,0.04331318470411894,7,fear
entropy,30,random,"{'criterion': 'entropy', 'max_depth': 30, 'splitter': 'random'}",0.9047619047619048,0.8235294117647058,0.855072463768116,0.8472222222222222,0.7272727272727273,0.8315717459579354,0.058475610178288825,8,0.4596774193548387,0.5645161290322581,0.472,0.488,0.3870967741935484,0.474258064516129,0.056833341623410194,9,0.7068273092369478,0.7228915662650602,0.6947791164658634,0.6987951807228916,0.6209677419354839,0.6888521829252493,0.03528193265388912,7,0.6096256684491979,0.6698564593301435,0.6082474226804123,0.6192893401015228,0.505263157894737,0.6024564096912026,0.053586521691339206,9,fear
