,emoji flag,threshold,coverage,top emotion flag,Baseline Prevalence,0-baseline Accuracy,Random baseline Accuracy,Accuracy,Precision,Recall,F1
fear,1,0.3333333333333333,0.2929530201342282,0,0.17804154302670394,82.19584569732937,49.60054782013239,74.36658297192422,30.355097365406642,33.97435897435897,32.06291591046582
sadness,1,0.3333333333333333,0.22679640718562874,0,0.37388724035607657,62.611275964391695,49.98858708057521,65.30472494864186,59.73597359735974,22.1001221001221,32.263814616755795
disgust,1,0.3333333333333333,0.11594827586206896,0,0.19516092216388686,80.48390778361104,49.646199497831546,78.22414973750286,31.598513011152416,9.941520467836257,15.124555160142348
joy,1,0.3333333333333333,0.3487060384870604,0,0.26866012325952554,73.13398767404702,49.235334398539145,72.15247660351518,47.95432921027593,42.820730671197964,45.24236983842011
anger-disgust,1,0.3333333333333333,0.1753024423647569,0,0.4147454918968198,58.52545081031728,48.870120976945906,61.994978315453096,59.895833333333336,25.31645569620253,35.58994197292069
anger,1,0.4444444444444444,0.09550789154188588,0,0.3932892033782172,60.67107966217758,49.8972837251769,62.58845012554212,67.79661016949153,9.286128845037725,16.33486472690148
fear,1,0.4444444444444444,0.18355704697986577,0,0.17804154302670394,82.19584569732937,49.66902533668112,77.33394202236933,30.53016453382084,21.41025641025641,25.169555388093443
sadness,1,0.4444444444444444,0.13959580838323354,0,0.37388724035607657,62.611275964391695,49.41794110933577,64.91668568819904,63.53887399463807,14.468864468864469,23.570363003480857
disgust,1,0.4444444444444444,0.06465517241379311,0,0.19516092216388686,80.48390778361104,49.0755535265921,78.97740241953892,28.0,4.912280701754386,8.358208955223882
joy,1,0.4444444444444444,0.29362972793629727,0,0.26866012325952554,73.13398767404702,51.56356996119607,73.29376854599407,50.3954802259887,37.892948173322004,43.25897187196896
anger-disgust,1,0.4444444444444444,0.11549874457886328,0,0.4147454918968198,58.52545081031728,51.76900251084227,62.086281670851406,65.41501976284584,18.2168409466153,28.49763237193285
anger,1,0.5555555555555556,0.039660056657223795,0,0.3932892033782172,60.67107966217758,50.422278018717186,61.401506505364075,66.3265306122449,3.772489843296576,7.138934651290499
fear,1,0.5555555555555556,0.04194630872483222,0,0.17804154302670394,82.19584569732937,50.03423875827437,82.62953663547135,57.6,9.23076923076923,15.911602209944748
sadness,1,0.5555555555555556,0.07148203592814371,0,0.37388724035607657,62.611275964391695,49.34946359278703,64.1406071673134,67.53926701570681,7.875457875457876,14.10606889010388
disgust,1,0.5555555555555556,0.020689655172413793,0,0.19516092216388686,80.48390778361104,51.266834056151566,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,1,0.5555555555555556,0.13835434638354346,0,0.26866012325952554,73.13398767404702,49.09837936544168,75.07418397626112,60.19184652278177,21.325403568394222,31.4930991217064
anger-disgust,1,0.5555555555555556,0.05683633873544853,0,0.4147454918968198,58.52545081031728,51.15270486190367,60.51129879023054,67.46987951807229,9.246009906439186,16.263310745401743
anger,1,0.6666666666666666,0.03925536220153784,0,0.3932892033782172,60.67107966217758,48.43643003880393,61.3786806665145,65.97938144329896,3.7144515380150898,7.032967032967034
fear,1,0.6666666666666666,0.040268456375838924,0,0.17804154302670394,82.19584569732937,50.764665601460855,82.56105911892261,56.666666666666664,8.717948717948717,15.111111111111109
sadness,1,0.6666666666666666,0.06998502994011976,0,0.37388724035607657,62.611275964391695,49.66902533668112,64.04930381191508,66.84491978609626,7.631257631257632,13.698630136986303
disgust,1,0.6666666666666666,0.020689655172413793,0,0.19516092216388686,80.48390778361104,48.59621091075097,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,1,0.6666666666666666,0.13039150630391505,0,0.26866012325952554,73.13398767404702,50.69618808491212,74.75462223236704,59.033078880407125,19.711129991503824,29.554140127388532
anger-disgust,1,0.6666666666666666,0.05501027162748231,0,0.4147454918968198,58.52545081031728,49.12120520429126,60.465647112531386,67.63485477178423,8.970831040176115,15.840621963070946
anger,1,0.7777777777777777,0.03520841764467827,0,0.3932892033782172,60.67107966217758,50.513581374115496,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,1,0.7777777777777777,0.032550335570469796,0,0.17804154302670394,82.19584569732937,51.51791828349692,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,1,0.7777777777777777,0.061377245508982034,0,0.37388724035607657,62.611275964391695,50.9244464734079,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,1,0.7777777777777777,0.01896551724137931,0,0.19516092216388686,80.48390778361104,50.21684546907099,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,1,0.7777777777777777,0.09522229595222297,0,0.26866012325952554,73.13398767404702,50.65053640721297,73.84158867838393,55.400696864111495,13.5089209855565,21.721311475409834
