date,location,arriving_IDP,leaving_IDP
7/5/2023,North Darfur,170414,179469
7/5/2023,North Kordofan,46153,8698
7/5/2023,Northern,355095,
7/5/2023,Red Sea,41580,
7/5/2023,River Nile,399987,
7/5/2023,Sennar,209200,
7/5/2023,South Darfur,152785,160805
7/5/2023,South Kordofan,37847,4759
7/5/2023,West Darfur,195425,202990
7/5/2023,West Kordofan,2290,
7/5/2023,White Nile,261131,
7/12/2023,Aj Jazirah,211760,425
7/12/2023,Blue Nile,38360,
7/12/2023,Central Darfur,191430,119705
7/12/2023,East Darfur,8610,
7/12/2023,Gedaref,130080,
7/12/2023,Kassala,60955,
7/12/2023,Khartoum,37430,1910879
7/12/2023,North Darfur,185114,189638
7/12/2023,North Kordofan,51497,9585
7/12/2023,Northern,358645,
7/12/2023,Red Sea,74785,
7/12/2023,River Nile,427895,
7/12/2023,Sennar,211011,
7/12/2023,South Darfur,154710,165536
7/12/2023,South Kordofan,47590,8078
7/12/2023,West Darfur,150190,209190
7/12/2023,West Kordofan,5075,
7/12/2023,White Nile,267899,
7/23/2023,Aj Jazirah,215164,425
7/23/2023,Blue Nile,40095,
7/23/2023,Central Darfur,192430,123205
7/23/2023,East Darfur,8670,
7/23/2023,Gedaref,140980,
7/23/2023,Kassala,63810,
7/23/2023,Khartoum,38100,1975088
7/23/2023,North Darfur,195870,194276
7/23/2023,North Kordofan,54032,12082
7/23/2023,Northern,360355,
7/23/2023,Red Sea,81269,
7/23/2023,River Nile,449138,
7/23/2023,Sennar,217426,
7/23/2023,South Darfur,184960,196344
7/23/2023,South Kordofan,48354,7114
7/23/2023,West Darfur,115900,177900
7/23/2023,West Kordofan,7825,
7/23/2023,White Nile,272056,
7/27/2023,Aj Jazirah,218140,425
7/27/2023,Blue Nile,42144,
7/27/2023,Central Darfur,202635,146910
7/27/2023,East Darfur,9420,
7/27/2023,Gedaref,221422,
7/27/2023,Kassala,71255,
7/27/2023,Khartoum,38365,2157070
7/27/2023,North Darfur,296970,281379
7/27/2023,North Kordofan,59503,12451
7/27/2023,Northern,360965,
7/27/2023,Red Sea,96328,
7/27/2023,River Nile,467670,
7/27/2023,Sennar,245896,
7/27/2023,South Darfur,213410,225369
7/27/2023,South Kordofan,60900,15358
7/27/2023,West Darfur,119555,181555
7/27/2023,West Kordofan,23619,
7/27/2023,White Nile,272320,
8/4/2023,Aj Jazirah,221445,425
8/4/2023,Blue Nile,44064,
8/4/2023,Central Darfur,217135,146910
8/4/2023,East Darfur,134960,
8/4/2023,Gedaref,226367,
8/4/2023,Kassala,75440,
8/4/2023,Khartoum,38545,2338166
8/4/2023,North Darfur,276975,280387
8/4/2023,North Kordofan,66187,16503
8/4/2023,Northern,360755,
8/4/2023,Red Sea,96938,
8/4/2023,River Nile,489231,
8/4/2023,Sennar,259934,
8/4/2023,South Darfur,222810,246899
8/4/2023,South Kordofan,66085,15388
8/4/2023,West Darfur,175625,237625
8/4/2023,West Kordofan,33129,
8/4/2023,White Nile,276678,
8/10/2023,Aj Jazirah,238529,425
8/10/2023,Blue Nile,45259,
8/10/2023,Central Darfur,217635,146910
8/10/2023,East Darfur,260055,
8/10/2023,Gedaref,232842,
8/10/2023,Kassala,78695,
8/10/2023,Khartoum,39690,2553817
8/10/2023,North Darfur,275105,277942
8/10/2023,North Kordofan,77912,17561
8/10/2023,Northern,362136,
8/10/2023,Red Sea,102273,
8/10/2023,River Nile,500979,
8/10/2023,Sennar,282352,
8/10/2023,South Darfur,230585,254949
8/10/2023,South Kordofan,69455,16566
8/10/2023,West Darfur,103355,164855
8/10/2023,West Kordofan,36273,
8/10/2023,White Nile,279895,
4/27/2023,South Sudan,13290
5/5/2023,South Sudan,38335
5/12/2023,South Sudan,54115
5/21/2023,South Sudan,69119
5/29/2023,South Sudan,85215
6/4/2023,South Sudan,96586
6/8/2023,South Sudan,104360
6/14/2023,South Sudan,116985
6/21/2023,South Sudan,129415
6/28/2023,South Sudan,139501
7/5/2023,South Sudan,151941
7/12/2023,South Sudan,167313
7/23/2023,South Sudan,189922
