param_C,param_kernel,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
100,linear,"{'C': 100, 'kernel': 'linear'}",0.7159090909090909,0.7126865671641791,0.7211895910780669,0.7251908396946565,0.7316176470588235,0.7213187471809633,0.006706057459486593,4,0.6923076923076923,0.6996336996336996,0.708029197080292,0.6934306569343066,0.7289377289377289,0.7044677949787439,0.013450027835461599,9,0.7093235831809872,0.7093235831809872,0.716636197440585,0.7148080438756855,0.7307692307692307,0.7161721276894951,0.007860745861245338,4,0.7039106145251396,0.7060998151571165,0.714548802946593,0.708955223880597,0.7302752293577982,0.7127579371734489,0.009456522203268748,6,anger
100,poly,"{'C': 100, 'kernel': 'poly'}",0.5454545454545454,0.6938775510204082,0.5853658536585366,0.5531914893617021,0.6304347826086957,0.6016648444207776,0.05496510449765414,15,0.10989010989010989,0.12454212454212454,0.08759124087591241,0.0948905109489051,0.10622710622710622,0.10462821849683164,0.012742755994949284,19,0.5100548446069469,0.5356489945155393,0.5118829981718465,0.5082266910420475,0.521978021978022,0.5175583100628804,0.010221516422110622,19,0.18292682926829268,0.21118012422360247,0.1523809523809524,0.16199376947040497,0.1818181818181818,0.17805997143228686,0.020259762270764217,19,anger
100,rbf,"{'C': 100, 'kernel': 'rbf'}",0.6597938144329897,0.6910299003322259,0.6883116883116883,0.696969696969697,0.7272727272727273,0.6926755654638657,0.021533064616998814,8,0.7032967032967034,0.7619047619047619,0.7737226277372263,0.7554744525547445,0.7619047619047619,0.7512606614796397,0.02469587413183114,2,0.6709323583180987,0.7111517367458866,0.7111517367458866,0.7129798903107861,0.7380952380952381,0.7088621920431792,0.021543828521451314,6,0.6808510638297872,0.7247386759581881,0.7285223367697594,0.7250437828371279,0.7441860465116279,0.7206683811812982,0.021146609190442162,2,anger
100,sigmoid,"{'C': 100, 'kernel': 'sigmoid'}",0.6484375,0.6628787878787878,0.6332179930795848,0.6415770609318996,0.6277372262773723,0.6427697136335289,0.012289280950630452,14,0.608058608058608,0.6410256410256411,0.6678832116788321,0.6532846715328468,0.63003663003663,0.6400577524665116,0.020369155673318082,13,0.6398537477148081,0.6581352833638026,0.6398537477148081,0.643510054844607,0.6282051282051282,0.6419115923686307,0.009613530474262158,12,0.6275992438563327,0.6517690875232774,0.650088809946714,0.6473779385171791,0.6288848263254114,0.6411439812337829,0.010634959872698031,11,anger
10,linear,"{'C': 10, 'kernel': 'linear'}",0.7159090909090909,0.7126865671641791,0.7211895910780669,0.7251908396946565,0.7316176470588235,0.7213187471809633,0.006706057459486593,4,0.6923076923076923,0.6996336996336996,0.708029197080292,0.6934306569343066,0.7289377289377289,0.7044677949787439,0.013450027835461599,9,0.7093235831809872,0.7093235831809872,0.716636197440585,0.7148080438756855,0.7307692307692307,0.7161721276894951,0.007860745861245338,4,0.7039106145251396,0.7060998151571165,0.714548802946593,0.708955223880597,0.7302752293577982,0.7127579371734489,0.009456522203268748,6,anger
10,poly,"{'C': 10, 'kernel': 'poly'}",0.55,0.8484848484848485,0.59375,0.675,0.6590909090909091,0.6652651515151515,0.10208116178046739,11,0.08058608058608059,0.10256410256410256,0.06934306569343066,0.09854014598540146,0.10622710622710622,0.0914521002112243,0.014134338199997544,20,0.5082266910420475,0.5429616087751371,0.5100548446069469,0.5246800731261426,0.5256410256410257,0.5223128486382599,0.012583563150277234,16,0.1405750798722045,0.1830065359477124,0.1241830065359477,0.17197452229299362,0.1829652996845426,0.16054088886668016,0.023911572967934766,20,anger
10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.6597938144329897,0.6910299003322259,0.6883116883116883,0.696969696969697,0.7272727272727273,0.6926755654638657,0.021533064616998814,8,0.7032967032967034,0.7619047619047619,0.7737226277372263,0.7554744525547445,0.7619047619047619,0.7512606614796397,0.02469587413183114,2,0.6709323583180987,0.7111517367458866,0.7111517367458866,0.7129798903107861,0.7380952380952381,0.7088621920431792,0.021543828521451314,6,0.6808510638297872,0.7247386759581881,0.7285223367697594,0.7250437828371279,0.7441860465116279,0.7206683811812982,0.021146609190442162,2,anger
10,sigmoid,"{'C': 10, 'kernel': 'sigmoid'}",0.696969696969697,0.6961538461538461,0.7045454545454546,0.7056603773584905,0.7011494252873564,0.7008957600629689,0.0038467106147517098,7,0.673992673992674,0.663003663003663,0.6788321167883211,0.6824817518248175,0.6703296703296703,0.6737279751878292,0.0067721529822927585,12,0.6910420475319927,0.6873857404021938,0.696526508226691,0.6983546617915904,0.6923076923076923,0.6931233300520321,0.003920851700993811,8,0.6852886405959032,0.6791744840525328,0.6914498141263941,0.6938775510204082,0.6853932584269663,0.687036749644441,0.005173854857889034,10,anger
1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.7230769230769231,0.7074074074074074,0.7279411764705882,0.7224334600760456,0.7306273062730627,0.7222972546608054,0.008044595692035363,3,0.6886446886446886,0.6996336996336996,0.7226277372262774,0.6934306569343066,0.7252747252747253,0.7059223015427396,0.015150521391211659,8,0.7129798903107861,0.7056672760511883,0.7257769652650823,0.7129798903107861,0.7289377289377289,0.7172683501751144,0.00871708240524689,3,0.7054409005628518,0.7034990791896869,0.7252747252747253,0.707635009310987,0.7279411764705883,0.7139581781617679,0.010445168391026806,5,anger
1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.6923076923076923,0.8260869565217391,0.7333333333333333,0.75,0.7076923076923077,0.7418840579710145,0.04659614436988495,1,0.0989010989010989,0.1391941391941392,0.08029197080291971,0.09854014598540146,0.1684981684981685,0.11708510467634556,0.03212606666856898,18,0.5283363802559415,0.5557586837294333,0.5246800731261426,0.5319926873857403,0.5494505494505495,0.5380436747895614,0.012274935408493266,14,0.17307692307692307,0.23824451410658307,0.14473684210526316,0.17419354838709677,0.2721893491124261,0.20048823535765842,0.04715420395268204,18,anger
1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.6566666666666666,0.7056737588652482,0.6550632911392406,0.6631944444444444,0.6972789115646258,0.6755754145360451,0.021487338072788156,10,0.7216117216117216,0.7289377289377289,0.7554744525547445,0.6970802919708029,0.7509157509157509,0.7308039891981497,0.021158370386381554,6,0.6727605118829981,0.7129798903107861,0.6782449725776966,0.6709323583180987,0.7124542124542125,0.6894743891087585,0.019130296710372516,9,0.68760907504363,0.7171171171171171,0.7016949152542372,0.6797153024911031,0.7231040564373898,0.7018480932686953,0.016598750498968876,8,anger
1.0,sigmoid,"{'C': 1.0, 'kernel': 'sigmoid'}",0.693950177935943,0.7362637362637363,0.7021276595744681,0.7024221453287197,0.7243816254416962,0.7118290689089127,0.015854853774103266,6,0.7142857142857143,0.7362637362637363,0.7226277372262774,0.7408759124087592,0.7509157509157509,0.7329937702200476,0.013049630127610378,5,0.70018281535649,0.7367458866544789,0.7074954296160878,0.7129798903107861,0.7326007326007326,0.7180009509077151,0.014265968058864932,2,0.703971119133574,0.7362637362637363,0.7122302158273383,0.7211367673179397,0.737410071942446,0.7222023820970069,0.013129768433954905,1,anger
0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.7099236641221374,0.732824427480916,0.7256317689530686,0.7241379310344828,0.7432950191570882,0.7271625621495386,0.010963432076888607,2,0.6813186813186813,0.7032967032967034,0.7335766423357665,0.6897810218978102,0.7106227106227107,0.7037191518943344,0.018085131302839324,11,0.7020109689213894,0.7239488117001828,0.7276051188299817,0.7129798903107861,0.7326007326007326,0.7198291044726145,0.010999550546510693,1,0.6953271028037383,0.7177570093457945,0.7295825771324863,0.7065420560747664,0.7265917602996254,0.7151601011312823,0.01275188692607936,4,anger
0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.5074906367041199,0.49907578558225507,0.6888888888888889,0.5018315018315018,0.5238095238095238,0.544219267363258,0.07284161715459198,16,0.9926739926739927,0.989010989010989,0.11313868613138686,1.0,0.9267399267399268,0.8043127189112591,0.34658242806500505,1,0.5155393053016454,0.4990859232175503,0.5301645338208409,0.5027422303473492,0.5421245421245421,0.5179313069623855,0.016288294421665944,18,0.6716232961586122,0.6633906633906633,0.1943573667711599,0.6682926829268293,0.6693121693121693,0.5733952357118868,0.18953797434421046,14,anger
0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.5121293800539084,0.5502793296089385,0.5249343832020997,0.5532467532467532,0.5773809523809523,0.5435941596985303,0.022880695075475938,17,0.6959706959706959,0.7216117216117216,0.7299270072992701,0.7773722627737226,0.7106227106227107,0.7271008796556242,0.027589665474704095,7,0.5173674588665448,0.56672760511883,0.5338208409506399,0.5740402193784278,0.5952380952380952,0.5574388439105076,0.028121863794180073,13,0.5900621118012422,0.6244057052297939,0.6106870229007633,0.6464339908952959,0.6371100164203614,0.6217397694494913,0.019893684820539218,13,anger
0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.6345514950166113,0.6805555555555556,0.6666666666666666,0.6425992779783394,0.6763485477178424,0.6601443085870031,0.01835515038918392,12,0.6996336996336996,0.717948717948718,0.4744525547445255,0.6496350364963503,0.5970695970695971,0.627747921178578,0.08743388775444734,14,0.6489945155393053,0.6910420475319927,0.6179159049360147,0.643510054844607,0.6556776556776557,0.651428035705915,0.023575447197968818,11,0.6655052264808362,0.698752228163993,0.554371002132196,0.6460980036297641,0.6342412451361868,0.6397935411085952,0.04796832694059262,12,anger
0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.6455696202531646,0.6904024767801857,0.6445993031358885,0.6412698412698413,0.674496644295302,0.6592675771468764,0.01963678814679441,13,0.7472527472527473,0.8168498168498168,0.6751824817518248,0.7372262773722628,0.7362637362637363,0.7425550118980776,0.045052902546542095,4,0.6691042047531993,0.7257769652650823,0.6508226691042047,0.6617915904936015,0.6904761904761905,0.6795943240184557,0.026480330133061416,10,0.6926994906621393,0.7483221476510067,0.6595365418894831,0.6859083191850595,0.7040280210157619,0.69809890408069,0.029059760582224137,9,anger
0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.4990859232175503,0.4990859232175503,0.0,0.0,0.0,0.1996343692870201,0.24450116993777246,20,1.0,1.0,0.0,0.0,0.0,0.4,0.48989794855663565,17,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.5,0.49926873857404025,0.0003656307129798808,20,0.6658536585365853,0.6658536585365853,0.0,0.0,0.0,0.2663414634146341,0.3262003413560037,17,anger
0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.4990859232175503,0.4990859232175503,0.0,0.0,0.5777126099706745,0.31517689128115506,0.2589374492956523,19,1.0,1.0,0.0,0.0,0.7216117216117216,0.5443223443223444,0.45591433496317463,15,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.5970695970695971,0.5186826579879596,0.039193469540818704,17,0.6658536585365853,0.6658536585365853,0.0,0.0,0.6416938110749186,0.39468022562961785,0.3223757850179613,15,anger
0.01,sigmoid,"{'C': 0.01, 'kernel': 'sigmoid'}",0.4990859232175503,0.4990859232175503,0.0,0.0,0.7435897435897436,0.34835231800496885,0.298111568706253,18,1.0,1.0,0.0,0.0,0.4249084249084249,0.4849816849816849,0.4482211498177628,16,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.4990859232175503,0.6391941391941391,0.527107566412868,0.05604328639063554,15,0.6658536585365853,0.6658536585365853,0.0,0.0,0.5407925407925408,0.37449997157314224,0.3091690857147723,16,anger
100,linear,"{'C': 100, 'kernel': 'linear'}",0.7543859649122807,0.7676767676767676,0.7394957983193278,0.7355371900826446,0.7747747747747747,0.7543740991531591,0.015292754333320365,6,0.7107438016528925,0.6333333333333333,0.7333333333333333,0.7355371900826446,0.7107438016528925,0.7047382920110192,0.037247950081932074,1,0.7396694214876033,0.7219917012448133,0.7385892116182573,0.7344398340248963,0.7510373443983402,0.7371455025547821,0.009363717945148434,2,0.7319148936170212,0.6940639269406391,0.7364016736401673,0.7355371900826446,0.7413793103448275,0.7278593989250599,0.01716559292895243,1,fear
100,poly,"{'C': 100, 'kernel': 'poly'}",0.7575757575757576,0.7272727272727273,0.825,0.5161290322580645,0.7241379310344828,0.7100230896282064,0.10351099495012207,13,0.2066115702479339,0.2,0.275,0.1322314049586777,0.34710743801652894,0.2321900826446281,0.07310388026837572,16,0.5702479338842975,0.5643153526970954,0.6099585062240664,0.5020746887966805,0.6058091286307054,0.5704811220465691,0.03879186282989743,12,0.32467532467532473,0.3137254901960785,0.4125,0.21052631578947367,0.4692737430167598,0.34614017473552733,0.08884601549528193,14,fear
100,rbf,"{'C': 100, 'kernel': 'rbf'}",0.7024793388429752,0.7142857142857143,0.7416666666666667,0.7073170731707317,0.7657657657657657,0.7263029117463706,0.023940758299264585,11,0.7024793388429752,0.625,0.7416666666666667,0.71900826446281,0.7024793388429752,0.6981267217630854,0.03928657178841473,4,0.7024793388429752,0.6887966804979253,0.7427385892116183,0.7095435684647303,0.7427385892116183,0.7172593532457735,0.02184714549451163,6,0.7024793388429752,0.6666666666666666,0.7416666666666667,0.7131147540983608,0.7327586206896551,0.7113372093928649,0.026290042844321748,5,fear
100,sigmoid,"{'C': 100, 'kernel': 'sigmoid'}",0.6363636363636364,0.6796116504854369,0.5939849624060151,0.6048387096774194,0.656,0.6341597917865016,0.03169058490061633,15,0.6942148760330579,0.5833333333333334,0.6583333333333333,0.6198347107438017,0.6776859504132231,0.6466804407713498,0.040224876159756014,8,0.6487603305785123,0.6556016597510373,0.6058091286307054,0.6058091286307054,0.6597510373443983,0.6351462569870717,0.024209485408894303,10,0.6640316205533597,0.6278026905829597,0.624505928853755,0.6122448979591838,0.6666666666666666,0.639050360923185,0.022105687560656163,10,fear
10,linear,"{'C': 10, 'kernel': 'linear'}",0.7543859649122807,0.7676767676767676,0.7394957983193278,0.7355371900826446,0.7747747747747747,0.7543740991531591,0.015292754333320365,6,0.7107438016528925,0.6333333333333333,0.7333333333333333,0.7355371900826446,0.7107438016528925,0.7047382920110192,0.037247950081932074,1,0.7396694214876033,0.7219917012448133,0.7385892116182573,0.7344398340248963,0.7510373443983402,0.7371455025547821,0.009363717945148434,2,0.7319148936170212,0.6940639269406391,0.7364016736401673,0.7355371900826446,0.7413793103448275,0.7278593989250599,0.01716559292895243,1,fear
10,poly,"{'C': 10, 'kernel': 'poly'}",0.8181818181818182,0.7368421052631579,0.9,0.5238095238095238,0.7857142857142857,0.7529095465937571,0.12626733935656848,9,0.1487603305785124,0.11666666666666667,0.225,0.09090909090909091,0.18181818181818182,0.15263085399449036,0.04734379190366782,19,0.5578512396694215,0.5394190871369294,0.6016597510373444,0.5020746887966805,0.5643153526970954,0.5530640238674943,0.03254888976317743,14,0.2517482517482518,0.20143884892086328,0.36000000000000004,0.15492957746478872,0.2953020134228188,0.25268373831134455,0.07143652732723223,18,fear
10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.7024793388429752,0.7142857142857143,0.7416666666666667,0.7073170731707317,0.7657657657657657,0.7263029117463706,0.023940758299264585,11,0.7024793388429752,0.625,0.7416666666666667,0.71900826446281,0.7024793388429752,0.6981267217630854,0.03928657178841473,4,0.7024793388429752,0.6887966804979253,0.7427385892116183,0.7095435684647303,0.7427385892116183,0.7172593532457735,0.02184714549451163,6,0.7024793388429752,0.6666666666666666,0.7416666666666667,0.7131147540983608,0.7327586206896551,0.7113372093928649,0.026290042844321748,5,fear
10,sigmoid,"{'C': 10, 'kernel': 'sigmoid'}",0.7054263565891473,0.7238095238095238,0.6829268292682927,0.6747967479674797,0.671875,0.6917668915268887,0.019875266494150678,14,0.7520661157024794,0.6333333333333333,0.7,0.6859504132231405,0.7107438016528925,0.6964187327823692,0.038481210056143585,6,0.71900826446281,0.6970954356846473,0.6887966804979253,0.6763485477178424,0.6804979253112033,0.6923493707348858,0.015115068316598335,9,0.7280000000000001,0.6755555555555555,0.6913580246913581,0.680327868852459,0.6907630522088354,0.6932009002616416,0.018424927481836908,7,fear
1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.7543859649122807,0.7676767676767676,0.7394957983193278,0.7355371900826446,0.7747747747747747,0.7543740991531591,0.015292754333320365,6,0.7107438016528925,0.6333333333333333,0.7333333333333333,0.7355371900826446,0.7107438016528925,0.7047382920110192,0.037247950081932074,1,0.7396694214876033,0.7219917012448133,0.7385892116182573,0.7344398340248963,0.7510373443983402,0.7371455025547821,0.009363717945148434,2,0.7319148936170212,0.6940639269406391,0.7364016736401673,0.7355371900826446,0.7413793103448275,0.7278593989250599,0.01716559292895243,1,fear
1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.9,0.7777777777777778,0.9090909090909091,0.6153846153846154,0.8571428571428571,0.8118792318792318,0.10866206257540612,1,0.0743801652892562,0.058333333333333334,0.08333333333333333,0.06611570247933884,0.09917355371900827,0.07626721763085399,0.014162405561997816,20,0.5330578512396694,0.5228215767634855,0.5394190871369294,0.5103734439834025,0.5394190871369294,0.5290182092520832,0.011123855042760892,16,0.13740458015267176,0.10852713178294573,0.15267175572519082,0.11940298507462686,0.17777777777777778,0.13915684610264262,0.024518132091743597,20,fear
1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.7474747474747475,0.7252747252747253,0.7339449541284404,0.6842105263157895,0.75,0.7281809906387405,0.02376295271470392,10,0.6115702479338843,0.55,0.6666666666666666,0.6446280991735537,0.6198347107438017,0.6185399449035812,0.03935670281589064,9,0.7024793388429752,0.6721991701244814,0.7136929460580913,0.6721991701244814,0.7053941908713693,0.6931929632042797,0.017531883651498808,8,0.6727272727272727,0.6255924170616115,0.6986899563318778,0.6638297872340425,0.6787330316742083,0.6679144930058026,0.0240631490207309,9,fear
1.0,sigmoid,"{'C': 1.0, 'kernel': 'sigmoid'}",0.7777777777777778,0.7777777777777778,0.8350515463917526,0.7653061224489796,0.8181818181818182,0.7948190085156213,0.026893476954669534,2,0.6363636363636364,0.525,0.675,0.6198347107438017,0.5950413223140496,0.6102479338842975,0.049930386619343396,10,0.7272727272727273,0.6887966804979253,0.7717842323651453,0.7136929460580913,0.7302904564315352,0.7263674085250849,0.027022580920216473,5,0.7000000000000001,0.6268656716417911,0.7465437788018435,0.6849315068493151,0.6889952153110048,0.689467234520791,0.038231982313881,8,fear
0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.8,0.8045977011494253,0.8018867924528302,0.7567567567567568,0.7878787878787878,0.79022400764756,0.017684742456289156,3,0.6942148760330579,0.5833333333333334,0.7083333333333334,0.6942148760330579,0.6446280991735537,0.6649449035812672,0.046193591223635935,7,0.7603305785123967,0.7219917012448133,0.7676348547717843,0.7344398340248963,0.7344398340248963,0.7437673605157574,0.01727531365865962,1,0.743362831858407,0.6763285024154589,0.7522123893805309,0.7241379310344828,0.7090909090909092,0.7210265127559576,0.026912902997788764,4,fear
0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.0,0.5,0.4979253112033195,1.0,0.0,0.3995850622406639,0.37405574603461084,17,0.0,0.008333333333333333,1.0,0.008264462809917356,0.0,0.20331955922865014,0.3983575102757116,17,0.49586776859504134,0.5020746887966805,0.4979253112033195,0.5020746887966805,0.4979253112033195,0.4991735537190083,0.002485059497057867,19,0.0,0.01639344262295082,0.6648199445983379,0.01639344262295082,0.0,0.13952136596884793,0.26275159023257505,19,fear
0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.5668789808917197,0.5047619047619047,0.5046296296296297,0.5647058823529412,0.75,0.578195279527239,0.0901457151526809,16,0.7355371900826446,0.8833333333333333,0.9083333333333333,0.39669421487603307,0.024793388429752067,0.5897382920110192,0.33626981045656307,11,0.5867768595041323,0.5103734439834025,0.5103734439834025,0.5435684647302904,0.5062240663900415,0.5314632557182538,0.0307659157022005,15,0.6402877697841726,0.6424242424242425,0.6488095238095238,0.46601941747572817,0.048,0.48910819069873346,0.23107363328470287,11,fear
0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.8947368421052632,0.68,0.8333333333333334,0.5384615384615384,0.84,0.757306342780027,0.13067119452504536,5,0.14049586776859505,0.14166666666666666,0.2916666666666667,0.11570247933884298,0.17355371900826447,0.17261707988980718,0.06229390581312766,18,0.5619834710743802,0.5394190871369294,0.6182572614107884,0.5062240663900415,0.5684647302904564,0.5588697232605192,0.03681991772353361,13,0.24285714285714285,0.23448275862068965,0.4320987654320988,0.1904761904761905,0.28767123287671237,0.2775172180525668,0.08322017159318681,16,fear
0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.75,0.7619047619047619,0.8636363636363636,0.627906976744186,0.8,0.7606896204570622,0.0773179318097289,4,0.2727272727272727,0.26666666666666666,0.31666666666666665,0.2231404958677686,0.3305785123966942,0.28195592286501375,0.03833321207350635,15,0.5909090909090909,0.5933609958506224,0.6348547717842323,0.5435684647302904,0.6224066390041494,0.597019992455677,0.03157134631232309,11,0.39999999999999997,0.3950617283950617,0.46341463414634154,0.32926829268292684,0.4678362573099415,0.4111161825068542,0.051054259388495116,12,fear
0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.0,0.4979253112033195,0.4979253112033195,0.0,0.0,0.19917012448132781,0.2439325884929306,20,0.0,1.0,1.0,0.0,0.0,0.4,0.48989794855663565,14,0.5,0.4979253112033195,0.4979253112033195,0.4979253112033195,0.4979253112033195,0.4983402489626556,0.0008298755186721963,20,0.0,0.6648199445983379,0.6648199445983379,0.0,0.0,0.2659279778393352,0.3256939270182619,17,fear
